Orthogroup	Vanessa_tameamea	Heliconius_melpomene_melpomene
OG0003659	XP_026496772.1, XP_026496771.1	HMEL036968g1.t1
OG0003660	XP_026485419.1, XP_026485428.1	HMEL016418g1.t1
OG0003661	XP_026500330.1	HMEL016417g1.t1
OG0003662	XP_026500386.1	HMEL016416g1.t1
OG0003663	XP_026488264.1	HMEL030200g1.t1
OG0003664	XP_026491337.1	HMEL021103g1.t1
OG0003665	XP_026498324.1	HMEL003557g1.t1
OG0003666	XP_026490570.1	HMEL011200g1.t1
OG0003667	XP_026485401.1	HMEL025053-RA
OG0003668	XP_026494639.1	HMEL004396g1.t1
OG0003669	XP_026500366.1	HMEL034836g1.t1
OG0003670	XP_026483077.1	HMEL022551g1.t1
OG0003671	XP_026497289.1	HMEL009460g1.t1
OG0003672	XP_026483072.1	HMEL011521g1.t1
OG0003673	XP_026497299.1	HMEL009459g1.t1
OG0003674	XP_026497936.1	HMEL014115g1.t1
OG0003675	XP_026494649.1	HMEL004402g1.t1
OG0003677	XP_026500258.1	HMEL010547g1.t1
OG0003678	XP_026483788.1	HMEL011245g1.t1
OG0003679	XP_026497845.1	HMEL030743g1.t1
OG0003680	XP_026497297.1	HMEL014454g1.t1
OG0003681	XP_026497841.1, XP_026497839.1	HMEL030745g1.t1
OG0003682	XP_026499058.1	HMEL007118g1.t1
OG0003683	XP_026497832.1	HMEL014109g1.t1
OG0003684	XP_026489104.1	HMEL015728g1.t1
OG0003685	XP_026487190.1	HMEL032850g1.t1
OG0003686	XP_026492298.1	HMEL011896g1.t1
OG0003687	XP_026490341.1	HMEL004784g1.t1
OG0003688	XP_026489380.1	HMEL006475g1.t1
OG0003689	XP_026487175.1	HMEL014758g1.t1, HMEL020751g1.t1
OG0003690	XP_026499077.1	HMEL010862g1.t1, HMEL037535g1.t1
OG0003691	XP_026501721.1	HMEL014466g1.t1
OG0003692	XP_026487135.1	HMEL017188g1.t1
OG0003693	XP_026488617.1	HMEL006473g1.t1
OG0003694	XP_026491455.1	HMEL033898g1.t1
OG0003695	XP_026494834.1	HMEL007727g1.t1, HMEL036957g1.t1
OG0003696	XP_026484634.1	HMEL013582g1.t1
OG0003697	XP_026483631.1, XP_026483632.1	HMEL005798g1.t1
OG0003698	XP_026499260.1	HMEL010864g1.t1
OG0003699	XP_026485728.1	HMEL015363g1.t1
OG0003700	XP_026499387.1	HMEL016860g1.t1
OG0003701	XP_026491864.1	HMEL007866g1.t1
OG0003702	XP_026488613.1	HMEL017185g1.t1
OG0003703	XP_026496906.1	HMEL008975g1.t1
OG0003704	XP_026483816.1	HMEL034839g1.t1
OG0003705	XP_026491007.1	HMEL037859g1.t1
OG0003706	XP_026500856.1	HMEL008403g1.t1
OG0003707	XP_026494676.1	HMEL010234g1.t1
OG0003708	XP_026496635.1	HMEL008902g1.t1
OG0003709	XP_026483640.1	HMEL008502g1.t1
OG0003710	XP_026491395.1, XP_026491404.1	HMEL032489g1.t1
OG0003711	XP_026494638.1	HMEL010235g1.t1
OG0003712	XP_026492342.1	HMEL011901g1.t1
OG0003713	XP_026490953.1	HMEL020064g1.t1
OG0003714	XP_026487802.1	HMEL012384g1.t1
OG0003715	XP_026491832.1	HMEL004092g1.t1
OG0003716	XP_026494974.1	HMEL003819g1.t1
OG0003717	XP_026497853.1	HMEL014096g1.t1
OG0003718	XP_026497949.1, XP_026497948.1	HMEL014095g1.t1
OG0003719	XP_026493062.1	HMEL007433g1.t1
OG0003720	XP_026488642.1	HMEL034651g1.t1
OG0003721	XP_026489478.1	HMEL034845g1.t1
OG0003722	XP_026488635.1	HMEL005224-RA
OG0003723	XP_026497195.1, XP_026497188.1	HMEL008607g1.t1
OG0003724	XP_026487997.1	HMEL012386g1.t1
OG0003725	XP_026495605.1, XP_026495606.1	HMEL007214g1.t1
OG0003726	XP_026493437.1	HMEL007431g1.t1
OG0003727	XP_026483747.1	HMEL008760g1.t1
OG0003728	XP_026486307.1, XP_026486316.1	HMEL016322g1.t1
OG0003729	XP_026496467.1, XP_026496459.1, XP_026496475.1	HMEL012731g1.t1
OG0003730	XP_026497415.1	HMEL017597g1.t1
OG0003731	XP_026499950.1	HMEL037747g1.t1
OG0003732	XP_026491854.1	HMEL032201g1.t1
OG0003733	XP_026500131.1	HMEL008761g1.t1
OG0003734	XP_026492359.1	HMEL031562g1.t1, HMEL013508g1.t1
OG0003735	XP_026488594.1	HMEL015532g1.t1
OG0003736	XP_026487299.1	HMEL030214g1.t1
OG0003737	XP_026491856.1, XP_026491857.1	HMEL032199g1.t1
OG0003738	XP_026497449.1	HMEL017602g1.t1
OG0003739	XP_026499374.1	HMEL016848g1.t1
OG0003740	XP_026497882.1	HMEL004518g1.t1
OG0003741	XP_026494420.1	HMEL005600g1.t1
OG0003742	XP_026497579.1	HMEL010529g1.t1
OG0003743	XP_026488653.1	HMEL012391g1.t1
OG0003744	XP_026483745.1	HMEL008497g1.t1
OG0003745	XP_026483273.1	HMEL034846g1.t1
OG0003746	XP_026490950.1	HMEL037848g1.t1
OG0003747	XP_026497855.1	HMEL030763g1.t1
OG0003748	XP_026497585.1	HMEL010527g1.t1
OG0003749	XP_026499245.1	HMEL037558g1.t1
OG0003750	XP_026490951.1	HMEL008589g1.t1
OG0003752	XP_026488922.1	HMEL014162g1.t1
OG0003753	XP_026496629.1	HMEL022054g1.t1, HMEL037055g1.t1
OG0003754	XP_026495058.1, XP_026495067.1	HMEL032502g1.t1
OG0003755	XP_026496534.1	HMEL011846g1.t1
OG0003756	XP_026495171.1	HMEL006220g1.t1
OG0003757	XP_026496729.1	HMEL002655g1.t1
OG0003759	XP_026496730.1	HMEL002656g1.t1
OG0003760	XP_026485495.1	HMEL025033-RA
OG0003761	XP_026499365.1	HMEL031373g1.t1
OG0003762	XP_026493467.1, XP_026493466.1	HMEL007427g1.t1
OG0003763	XP_026488340.1	HMEL032833g1.t1
OG0003764	XP_026500669.1	HMEL016436g1.t1
OG0003765	XP_026492354.1	HMEL011918g1.t1
OG0003767	XP_026499383.1	HMEL016838g1.t1
OG0003768	XP_026486120.1, XP_026486112.1	HMEL016316g1.t1
OG0003769	XP_026487096.1	HMEL012401g1.t1
OG0003770	XP_026485092.1	HMEL009769g1.t1
OG0003771	XP_026493464.1, XP_026493465.1	HMEL007425g1.t1
OG0003772	XP_026487610.1, XP_026487618.1	HMEL030218g1.t1
OG0003773	XP_026485095.1	HMEL031188g1.t1
OG0003774	XP_026500648.1	HMEL016439g1.t1
OG0003775	XP_026495551.1	HMEL032503g1.t1
OG0003776	XP_026500592.1	HMEL016441g1.t1
OG0003777	XP_026485094.1	HMEL009772g1.t1
OG0003778	XP_026485093.1	HMEL031187g1.t1
OG0003779	XP_026491521.1, XP_026491522.1	HMEL014849g1.t1
OG0003780	XP_026491841.1	HMEL012216g1.t1
OG0003781	XP_026485097.1	HMEL031186g1.t1
OG0003782	XP_026499167.1	HMEL010962-RA, HMEL022525g1.t1
OG0003783	XP_026489420.1	HMEL013449g1.t1
OG0003784	XP_026500565.1	HMEL034822g1.t1
OG0003785	XP_026492345.1	HMEL011920g1.t1
OG0003786	XP_026500615.1	HMEL002362g1.t1
OG0003787	XP_026488435.1	HMEL005571g1.t1
OG0003788	XP_026488429.1	HMEL005570g1.t1
OG0003789	XP_026501119.1	HMEL034819g1.t1
OG0003790	XP_026497786.1	HMEL034818g1.t1
OG0003791	XP_026499184.1	HMEL007783g1.t1
OG0003792	XP_026495140.1	HMEL007684g1.t1
OG0003793	XP_026493937.1	HMEL006406g1.t1
OG0003794	XP_026485913.1	HMEL005399g1.t1
OG0003796	XP_026491572.1	HMEL007683g1.t1
OG0003797	XP_026492351.1	HMEL011923g1.t1
OG0003798	XP_026483826.1	HMEL035566g1.t1, HMEL037638g1.t1
OG0003799	XP_026499398.1	HMEL016832g1.t1
OG0003800	XP_026499195.1	HMEL007779g1.t1
OG0003801	XP_026492163.1	HMEL011927g1.t1
OG0003802	XP_026491737.1	HMEL007707g1.t1
OG0003803	XP_026497802.1	HMEL002143g1.t1
OG0003804	XP_026499408.1	HMEL016830g1.t1
OG0003805	XP_026486213.1	HMEL011044g1.t1
OG0003806	XP_026489424.1	HMEL013443g1.t1
OG0003807	XP_026484780.1	HMEL009790g1.t1
OG0003808	XP_026500395.1	HMEL030227g1.t1
OG0003809	XP_026492422.1, XP_026492421.1	HMEL008625g1.t1
OG0003812	XP_026499885.1, XP_026499884.1	HMEL016825g1.t1
OG0003813	XP_026498196.1	HMEL025041g1.t1
OG0003814	XP_026492425.1	HMEL034604g1.t1
OG0003815	XP_026500392.1	HMEL012418g1.t1
OG0003816	XP_026500418.1	HMEL012421g1.t1
OG0003817	XP_026491415.1	HMEL010081g1.t1
OG0003818	XP_026497566.1	HMEL015716g1.t1
OG0003819	XP_026500398.1	HMEL012424g1.t1
OG0003820	XP_026499222.1	HMEL037578g1.t1
OG0003821	XP_026484796.1	HMEL006348g1.t1
OG0003822	XP_026496776.1	HMEL003215g1.t1
OG0003823	XP_026500404.1	HMEL012423g1.t1
OG0003824	XP_026492203.1	HMEL011936g1.t1
OG0003825	XP_026499157.1	HMEL013687g1.t1
OG0003826	XP_026483074.1	HMEL022588g1.t1
OG0003827	XP_026497575.1	HMEL015722g1.t1
OG0003828	XP_026491453.1	HMEL017765g1.t1
OG0003829	XP_026483821.1	HMEL009319g1.t1
OG0003830	XP_026500401.1	HMEL012425g1.t1
OG0003831	XP_026491443.1	HMEL017769g1.t1
OG0003832	XP_026486370.1, XP_026486369.1	HMEL007126g1.t1
OG0003833	XP_026500375.1	HMEL037895g1.t1
OG0003834	XP_026497262.1, XP_026497186.1	HMEL008524g1.t1
OG0003835	XP_026497992.1	HMEL008466g1.t1
OG0003837	XP_026483116.1	HMEL007183g1.t1
OG0003838	XP_026483140.1	HMEL007182g1.t1
OG0003840	XP_026483115.1	HMEL010824g1.t1
OG0003841	XP_026499566.1	HMEL031629g1.t1
OG0003842	XP_026484565.1	HMEL006551g1.t1
OG0003843	XP_026492445.1	HMEL010653g1.t1
OG0003844	XP_026486131.1	HMEL007837g1.t1
OG0003845	XP_026499580.1	HMEL031628g1.t1
OG0003846	XP_026501206.1	HMEL004306g1.t1
OG0003847	XP_026483822.1	HMEL010309g1.t1
OG0003848	XP_026486135.1	HMEL007838g1.t1
OG0003849	XP_026483756.1	HMEL010308g1.t1
OG0003850	XP_026486013.1	HMEL015847g1.t1
OG0003851	XP_026499634.1, XP_026499630.1	HMEL031626g1.t1
OG0003852	XP_026485366.1	HMEL006041g1.t1
OG0003853	XP_026496273.1	HMEL015751g1.t1
OG0003854	XP_026499208.1	HMEL037573g1.t1
OG0003855	XP_026485553.1, XP_026485552.1	HMEL036106g1.t1
OG0003856	XP_026499672.1	HMEL017575-RA
OG0003857	XP_026483142.1	HMEL037187g1.t1
OG0003858	XP_026497559.1	HMEL008472g1.t1
OG0003859	XP_026491809.1	HMEL033867g1.t1
OG0003860	XP_026496373.1	HMEL034327g1.t1
OG0003861	XP_026485546.1	HMEL006046g1.t1
OG0003862	XP_026495214.1, XP_026495215.1	HMEL012277g1.t1
OG0003863	XP_026491575.1	HMEL004810g1.t1
OG0003864	XP_026484355.1	HMEL006557g1.t1
OG0003865	XP_026487920.1	HMEL030782g1.t1
OG0003866	XP_026496755.1	HMEL003208-RA
OG0003867	XP_026496376.1	HMEL034324g1.t1
OG0003868	XP_026483750.1	HMEL007128g1.t1
OG0003869	XP_026485624.1	HMEL036110g1.t1
OG0003870	XP_026496746.1	HMEL003206g1.t1
OG0003871	XP_026487093.1	HMEL014272g1.t1
OG0003872	XP_026483754.1	HMEL007132g1.t1
OG0003873	XP_026495887.1	HMEL036641g1.t1
OG0003874	XP_026483329.1	HMEL015030g1.t1
OG0003875	XP_026483767.1, XP_026483766.1	HMEL037407g1.t1
OG0003876	XP_026492486.1	HMEL010662g1.t1
OG0003877	XP_026487676.1	HMEL012437g1.t1
OG0003878	XP_026496966.1	HMEL002773g1.t1
OG0003879	XP_026487089.1	HMEL014270g1.t1
OG0003880	XP_026495988.1	HMEL003429g1.t1
OG0003881	XP_026492467.1	HMEL010664g1.t1
OG0003883	XP_026495381.1, XP_026495380.1	HMEL016161g1.t1
OG0003884	XP_026485994.1	HMEL010107g1.t1
OG0003885	XP_026485682.1, XP_026485681.1	HMEL010105g1.t1
OG0003886	XP_026497640.1	HMEL031352g1.t1
OG0003888	XP_026487906.1	HMEL005928g1.t1
OG0003889	XP_026499700.1, XP_026499699.1	HMEL017585g1.t1
OG0003890	XP_026485124.1	HMEL004486g1.t1
OG0003891	XP_026499239.1	HMEL007901g1.t1
OG0003892	XP_026495948.1	HMEL008354g1.t1
OG0003893	XP_026483710.1	HMEL037416g1.t1
OG0003894	XP_026491870.1	HMEL032539g1.t1
OG0003895	XP_026492456.1	HMEL010671g1.t1
OG0003896	XP_026500007.1, XP_026500008.1	HMEL007856-RA
OG0003897	XP_026483358.1	HMEL022008g1.t1
OG0003899	XP_026497613.1	HMEL031355g1.t1
OG0003900	XP_026496098.1	HMEL003058-RA
OG0003901	XP_026499705.1	HMEL017588g1.t1
OG0003902	XP_026483819.1	HMEL009336g1.t1
OG0003903	XP_026497578.1	HMEL008463g1.t1
OG0003904	XP_026498615.1	HMEL006496g1.t1
OG0003905	XP_026499710.1	HMEL017590g1.t1
OG0003906	XP_026499246.1	HMEL007904g1.t1
OG0003907	XP_026491718.1	HMEL033855g1.t1
OG0003908	XP_026491722.1	HMEL018050g1.t1
OG0003909	XP_026485269.1	HMEL002199g1.t1
OG0003910	XP_026487664.1	HMEL012454g1.t1
OG0003911	XP_026497978.1	HMEL002163g1.t1
OG0003912	XP_026487667.1	HMEL012456g1.t1
OG0003913	XP_026488803.1	HMEL011508g1.t1
OG0003914	XP_026495631.1	HMEL008933g1.t1
OG0003915	XP_026489658.1	HMEL009961g1.t1
OG0003916	XP_026483352.1	HMEL035318g1.t1
OG0003917	XP_026486339.1	HMEL016600g1.t1
OG0003918	XP_026485295.1, XP_026485296.1	HMEL036098g1.t1
OG0003920	XP_026485274.1	HMEL002202g1.t1
OG0003922	XP_026486087.1	HMEL011807g1.t1
OG0003923	XP_026497639.1	HMEL002165g1.t1, HMEL035648g1.t1
OG0003924	XP_026497650.1	HMEL002166g1.t1
OG0003925	XP_026485273.1	HMEL002204g1.t1
OG0003926	XP_026499050.1	HMEL005477g1.t1
OG0003927	XP_026484393.1	HMEL013080g1.t1
OG0003928	XP_026491736.1	HMEL032575g1.t1
OG0003929	XP_026497790.1	HMEL002167g1.t1
OG0003930	XP_026487571.1	HMEL012463g1.t1
OG0003931	XP_026485268.1	HMEL002205g1.t1
OG0003932	XP_026485907.1	HMEL031893g1.t1
OG0003933	XP_026487538.1	HMEL030240g1.t1
OG0003934	XP_026483434.1	HMEL014879g1.t1
OG0003935	XP_026494768.1, XP_026494767.1	HMEL006709g1.t1
OG0003936	XP_026494735.1	HMEL006710g1.t1
OG0003937	XP_026484406.1	HMEL013081-RA
OG0003939	XP_026496148.1	HMEL032178g1.t1
OG0003940	XP_026493084.1	HMEL036486g1.t1
OG0003941	XP_026498031.1, XP_026498029.1	HMEL033643g1.t1
OG0003942	XP_026497655.1	HMEL007959g1.t1
OG0003943	XP_026489661.1	HMEL013039g1.t1, HMEL017963g1.t1
OG0003944	XP_026485333.1	HMEL021532g1.t1, HMEL036129g1.t1
OG0003945	XP_026493497.1	HMEL007156g1.t1
OG0003947	XP_026496855.1	HMEL005355g1.t1
OG0003948	XP_026486676.1	HMEL009223g1.t1
OG0003949	XP_026494734.1	HMEL006719g1.t1
OG0003950	XP_026483654.1	HMEL009348g1.t1
OG0003951	XP_026488377.1	HMEL016735g1.t1
OG0003952	XP_026484421.1	HMEL031156g1.t1
OG0003953	XP_026497602.1	HMEL007536g1.t1
OG0003954	XP_026485740.1	HMEL011325g1.t1
OG0003955	XP_026487392.1	HMEL030247g1.t1
OG0003956	XP_026483659.1	HMEL009352g1.t1
OG0003957	XP_026497712.1	HMEL004581g1.t1
OG0003958	XP_026487815.1	HMEL012479g1.t1
OG0003959	XP_026483769.1	HMEL009354g1.t1
OG0003960	XP_026486266.1	HMEL032380g1.t1
OG0003961	XP_026496225.1, XP_026496222.1, XP_026496224.1	HMEL015332g1.t1
OG0003962	XP_026501248.1	HMEL007546g1.t1, HMEL032125g1.t1
OG0003963	XP_026499060.1	HMEL037550g1.t1, HMEL022457g1.t1
OG0003964	XP_026488232.1, XP_026488231.1	HMEL016737g1.t1
OG0003965	XP_026493182.1	HMEL009923g1.t1
OG0003967	XP_026486270.1	HMEL002519g1.t1
OG0003968	XP_026491801.1	HMEL010418g1.t1
OG0003969	XP_026489650.1	HMEL037922g1.t1
OG0003970	XP_026483708.1	HMEL009358g1.t1
OG0003971	XP_026487674.1	HMEL012487g1.t1
OG0003972	XP_026496663.1	HMEL005357g1.t1
OG0003973	XP_026489005.1	HMEL014155-RA
OG0003974	XP_026492011.1	HMEL032550g1.t1
OG0003975	XP_026499107.1	HMEL017907g1.t1
OG0003976	XP_026499621.1	HMEL012939g1.t1
OG0003977	XP_026487433.1	HMEL012491g1.t1
OG0003978	XP_026501254.1	HMEL032128g1.t1
OG0003979	XP_026490221.1, XP_026483264.1	HMEL033375g1.t1, HMEL007084g1.t1
OG0003981	XP_026499618.1	HMEL012941g1.t1
OG0003982	XP_026486383.1, XP_026486382.1	HMEL032129g1.t1
OG0003983	XP_026496043.1	HMEL034107g1.t1
OG0003984	XP_026499677.1	HMEL012942g1.t1
OG0003985	XP_026497028.1	HMEL005361g1.t1
OG0003986	XP_026496390.1, XP_026496391.1	HMEL009759g1.t1
OG0003987	XP_026484189.1	HMEL020543g1.t1
OG0003989	XP_026483726.1, XP_026483725.1	HMEL008441g1.t1
OG0003990	XP_026486694.1	HMEL031394g1.t1, HMEL035610g1.t1
OG0003991	XP_026486368.1	HMEL031904g1.t1
OG0003992	XP_026493807.1	HMEL010222g1.t1
OG0003993	XP_026486734.1	HMEL034492g1.t1
OG0003994	XP_026483728.1	HMEL008442g1.t1
OG0003995	XP_026496049.1, XP_026496048.1	HMEL004430g1.t1
OG0003996	XP_026495798.1	HMEL002495g1.t1
OG0003997	XP_026496066.1	HMEL004427g1.t1
OG0003998	XP_026499740.1	HMEL012951g1.t1
OG0003999	XP_026496062.1	HMEL034114g1.t1
OG0004000	XP_026499728.1	HMEL012954-RA, HMEL012955-RA
OG0004001	XP_026496059.1	HMEL007792g1.t1
OG0004002	XP_026489814.1	HMEL009749g1.t1
OG0004003	XP_026499102.1	HMEL037545g1.t1
OG0004004	XP_026501480.1	HMEL034800g1.t1
OG0004005	XP_026485783.1	HMEL012816g1.t1
OG0004006	XP_026489502.1	HMEL035632g1.t1
OG0004007	XP_026499075.1	HMEL037544g1.t1
OG0004008	XP_026493803.1	HMEL003575g1.t1
OG0004009	XP_026488478.1	HMEL008266g1.t1
OG0004010	XP_026491796.1	HMEL033844g1.t1
OG0004011	XP_026486728.1	HMEL009230g1.t1
OG0004012	XP_026493648.1	HMEL003037g1.t1
OG0004013	XP_026494430.1	HMEL010994g1.t1
OG0004014	XP_026493115.1	HMEL036506g1.t1
OG0004015	XP_026486381.1	HMEL010032g1.t1
OG0004016	XP_026489781.1	HMEL014711g1.t1
OG0004017	XP_026495048.1	HMEL035112g1.t1
OG0004018	XP_026500990.1	HMEL034798g1.t1
OG0004020	XP_026491150.1	HMEL033837g1.t1
OG0004021	XP_026501353.1	HMEL008336g1.t1
OG0004022	XP_026486140.1	HMEL031908g1.t1
OG0004023	XP_026484394.1	HMEL031139g1.t1
OG0004024	XP_026489683.1	HMEL009106-RA
OG0004025	XP_026488990.1	HMEL008324g1.t1
OG0004026	XP_026486380.1	HMEL032141g1.t1
OG0004027	XP_026486070.1	HMEL014206g1.t1
OG0004028	XP_026489687.1, XP_026489686.1	HMEL005691g1.t1
OG0004029	XP_026488599.1	HMEL015526g1.t1
OG0004030	XP_026483517.1	HMEL012207g1.t1, HMEL034796g1.t1
OG0004031	XP_026483693.1	HMEL015859g1.t1
OG0004032	XP_026489958.1	HMEL003912g1.t1
OG0004033	XP_026486175.1	HMEL031910g1.t1
OG0004034	XP_026483530.1	HMEL022078g1.t1
OG0004035	XP_026495576.1	HMEL012246g1.t1
OG0004036	XP_026484883.1	HMEL015686g1.t1
OG0004037	XP_026495570.1, XP_026495569.1	HMEL012245g1.t1
OG0004038	XP_026483724.1	HMEL015863g1.t1
OG0004039	XP_026495121.1	HMEL005037g1.t1
OG0004040	XP_026494154.1	HMEL034116g1.t1
OG0004040	XP_026489761.1, XP_026499905.1	HMEL014234g1.t1
OG0004041	XP_026494149.1	HMEL014232g1.t1
OG0004043	XP_026483868.1	HMEL015869g1.t1
OG0004044	XP_026496060.1	HMEL014227g1.t1
OG0004045	XP_026493878.1	HMEL032615g1.t1
OG0004046	XP_026489857.1	HMEL002568g1.t1
OG0004047	XP_026501046.1	HMEL006934g1.t1, HMEL006933g1.t1
OG0004048	XP_026489667.1	HMEL005696g1.t1, HMEL020513g1.t1
OG0004049	XP_026483794.1	HMEL037436g1.t1
OG0004050	XP_026494067.1	HMEL013933g1.t1
OG0004051	XP_026498318.1	HMEL034120g1.t1
OG0004052	XP_026483783.1	HMEL015871g1.t1
OG0004053	XP_026486399.1	HMEL006940g1.t1
OG0004055	XP_026489665.1	HMEL014961g1.t1
OG0004056	XP_026483691.1	HMEL015874g1.t1
OG0004057	XP_026495687.1, XP_026495684.1, XP_026495685.1, XP_026495686.1	HMEL035753g1.t1
OG0004058	XP_026500881.1	HMEL013869g1.t1
OG0004059	XP_026496692.1, XP_026496691.1	HMEL037034g1.t1
OG0004060	XP_026491403.1	HMEL005246g1.t1
OG0004061	XP_026485364.1	HMEL036114g1.t1
OG0004063	XP_026493969.1	HMEL004849g1.t1
OG0004064	XP_026493971.1	HMEL004848g1.t1
OG0004065	XP_026484409.1	HMEL015692-RA
OG0004066	XP_026485383.1	HMEL007864g1.t1
OG0004067	XP_026494169.1	HMEL038094g1.t1
OG0004068	XP_026488268.1	HMEL007015g1.t1
OG0004069	XP_026491397.1, XP_026491396.1	HMEL005244g1.t1
OG0004070	XP_026486330.1, XP_026486331.1	HMEL007072g1.t1
OG0004071	XP_026500830.1, XP_026500831.1	HMEL013875g1.t1
OG0004072	XP_026492333.1	HMEL016341g1.t1
OG0004073	XP_026488472.1	HMEL007012g1.t1
OG0004074	XP_026492271.1	HMEL032627g1.t1, HMEL032625g1.t1
OG0004075	XP_026494374.1	HMEL038093g1.t1
OG0004076	XP_026483807.1	HMEL037447g1.t1, HMEL015884g1.t1
OG0004077	XP_026500879.1	HMEL012073g1.t1
OG0004078	XP_026494453.1	HMEL031324g1.t1
OG0004079	XP_026495090.1, XP_026495089.1	HMEL012106g1.t1
OG0004080	XP_026501794.1, XP_026501784.1, XP_026501786.1	HMEL034791g1.t1
OG0004081	XP_026494550.1	HMEL016865g1.t1
OG0004082	XP_026486332.1	HMEL005033g1.t1
OG0004083	XP_026491511.1	HMEL005235g1.t1
OG0004084	XP_026490853.1, XP_026490844.1	HMEL016336g1.t1
OG0004085	XP_026491222.1	HMEL005232g1.t1
OG0004086	XP_026501754.1	HMEL003792g1.t1
OG0004087	XP_026483732.1	HMEL013751g1.t1
OG0004088	XP_026489777.1	HMEL006510g1.t1
OG0004089	XP_026491571.1, XP_026491570.1, XP_026491569.1	HMEL014847g1.t1
OG0004092	XP_026493832.1	HMEL017313g1.t1
OG0004093	XP_026489088.1, XP_026489089.1	HMEL003562g1.t1
OG0004094	XP_026490967.1	HMEL016108-RA
OG0004095	XP_026491198.1	HMEL014850g1.t1
OG0004097	XP_026486920.1, XP_026486919.1	HMEL037697g1.t1
OG0004099	XP_026484318.1	HMEL006265g1.t1
OG0004100	XP_026493043.1	HMEL034529g1.t1
OG0004101	XP_026484199.1	HMEL015660g1.t1
OG0004103	XP_026498669.1	HMEL014940g1.t1
OG0004104	XP_026488277.1	HMEL002318g1.t1
OG0004105	XP_026488469.1	HMEL032783g1.t1
OG0004106	XP_026484866.1	HMEL031129g1.t1, HMEL006259g1.t1
OG0004107	XP_026492643.1	HMEL013352g1.t1
OG0004108	XP_026491276.1	HMEL014859g1.t1
OG0004109	XP_026492645.1	HMEL013351-RA
OG0004110	XP_026491282.1	HMEL014861g1.t1
OG0004111	XP_026499973.1	HMEL004155g1.t1, HMEL004154g1.t1
OG0004112	XP_026484501.1	HMEL031128g1.t1
OG0004113	XP_026493311.1	HMEL004625-RA
OG0004114	XP_026484743.1	HMEL006252g1.t1
OG0004115	XP_026483253.1	HMEL032152g1.t1
OG0004116	XP_026492675.1	HMEL013350g1.t1
OG0004117	XP_026483262.1	HMEL013793g1.t1
OG0004118	XP_026484007.1	HMEL014542g1.t1
OG0004119	XP_026485824.1	HMEL016929g1.t1
OG0004120	XP_026492657.1	HMEL009243g1.t1
OG0004121	XP_026488373.1, XP_026488374.1	HMEL005391g1.t1
OG0004122	XP_026495642.1	HMEL008935g1.t1
OG0004123	XP_026484008.1	HMEL014541g1.t1
OG0004124	XP_026485818.1	HMEL016924g1.t1
OG0004125	XP_026493600.1	HMEL034525g1.t1
OG0004126	XP_026493599.1	HMEL002967g1.t1
OG0004127	XP_026488387.1	HMEL005384g1.t1
OG0004128	XP_026494389.1	HMEL038075g1.t1
OG0004129	XP_026484641.1	HMEL006247g1.t1
OG0004130	XP_026498120.1	HMEL005873g1.t1
OG0004131	XP_026484435.1	HMEL012862g1.t1
OG0004132	XP_026495526.1	HMEL036736g1.t1
OG0004133	XP_026494363.1	HMEL038006g1.t1, HMEL010036g1.t1
OG0004134	XP_026486103.1	HMEL031942g1.t1, HMEL016920g1.t1
OG0004136	XP_026494369.1	HMEL038007g1.t1, HMEL010037g1.t1
OG0004137	XP_026494343.1	HMEL038078g1.t1, HMEL038087g1.t1
OG0004138	XP_026494176.1	HMEL010039g1.t1, HMEL038079g1.t1
OG0004139	XP_026483239.1	HMEL014714g1.t1
OG0004140	XP_026493604.1	HMEL034522g1.t1
OG0004141	XP_026492373.1	HMEL031603g1.t1
OG0004142	XP_026498162.1	HMEL006737g1.t1
OG0004143	XP_026498147.1	HMEL005871g1.t1
OG0004144	XP_026498150.1	HMEL036528g1.t1
OG0004145	XP_026495525.1	HMEL011595g1.t1, HMEL036873g1.t1
OG0004146	XP_026485024.1	HMEL006240g1.t1
OG0004147	XP_026493915.1	HMEL033516g1.t1
OG0004148	XP_026486104.1, XP_026486105.1	HMEL031947g1.t1
OG0004149	XP_026485313.1	HMEL034787g1.t1
OG0004150	XP_026492175.1	HMEL012696g1.t1
OG0004151	XP_026494338.1	HMEL038008g1.t1, HMEL038082g1.t1
OG0004152	XP_026498636.1, XP_026498637.1	HMEL010970g1.t1
OG0004153	XP_026498623.1	HMEL010972g1.t1
OG0004154	XP_026496153.1	HMEL013507g1.t1
OG0004155	XP_026496157.1	HMEL013504g1.t1
OG0004156	XP_026488841.1	HMEL010496g1.t1
OG0004157	XP_026488832.1	HMEL010495g1.t1
OG0004158	XP_026495231.1	HMEL005746g1.t1
OG0004159	XP_026498142.1	HMEL018072g1.t1
OG0004160	XP_026493682.1	HMEL013329g1.t1
OG0004161	XP_026486069.1	HMEL031950g1.t1
OG0004163	XP_026492283.1, XP_026492282.1	HMEL031601g1.t1
OG0004164	XP_026492190.1	HMEL012042g1.t1, HMEL012700g1.t1
OG0004166	XP_026492398.1	HMEL031598g1.t1
OG0004167	XP_026489587.1	HMEL034659g1.t1
OG0004168	XP_026492535.1, XP_026492537.1, XP_026492536.1	HMEL032159g1.t1
OG0004169	XP_026496696.1	HMEL016793g1.t1
OG0004170	XP_026500624.1	HMEL013493g1.t1
OG0004171	XP_026491180.1	HMEL033813g1.t1
