Orthogroup	Vanessa_cardui	Pararge_aegeria
OG0005681	Vcard_DToL08914-RA	XP_039747058.1
OG0005682	Vcard_DToL04883-RA	XP_039749319.1
OG0005683	Vcard_DToL04150-RA	XP_039753746.1
OG0005684	Vcard_DToL04885-RA	XP_039748847.1
OG0005685	Vcard_DToL16534-RA	XP_039748886.1
OG0005686	Vcard_DToL00974-RA	XP_039758299.1
OG0005687	Vcard_DToL00140-RA	XP_039764194.1
OG0005688	Vcard_DToL00978-RA	XP_039752831.1
OG0005689	Vcard_DToL06186-RA	XP_039764134.1
OG0005690	Vcard_DToL18386-RA	XP_039752349.1
OG0005691	Vcard_DToL18854-RA	XP_039762969.1
OG0005692	Vcard_DToL06184-RA	XP_039764030.1
OG0005694	Vcard_DToL06182-RA	XP_039765227.1
OG0005695	Vcard_DToL18164-RA	XP_039762385.1
OG0005696	Vcard_DToL16531-RA	XP_039748923.1
OG0005697	Vcard_DToL13475-RA	XP_039759231.1
OG0005698	Vcard_DToL16530-RA	XP_039748428.1
OG0005699	Vcard_DToL12351-RA	XP_039755453.1
OG0005700	Vcard_DToL16097-RA	XP_039760621.1
OG0005701	Vcard_DToL16094-RA	XP_039760541.1
OG0005702	Vcard_DToL06178-RA	XP_039764470.1
OG0005703	Vcard_DToL14607-RA	XP_039757533.1
OG0005704	Vcard_DToL06177-RA	XP_039765111.1
OG0005705	Vcard_DToL05975-RA	XP_039757970.1
OG0005706	Vcard_DToL09582-RA	XP_039753723.1
OG0005707	Vcard_DToL00150-RA	XP_039763557.1
OG0005708	Vcard_DToL14608-RA	XP_039757766.1
OG0005709	Vcard_DToL00151-RA	XP_039763215.1
OG0005710	Vcard_DToL00982-RA	XP_039752712.1
OG0005711	Vcard_DToL17594-RA	XP_039748151.1
OG0005712	Vcard_DToL07192-RA	XP_039750004.1
OG0005713	Vcard_DToL07193-RA	XP_039750055.1
OG0005715	Vcard_DToL01920-RA	XP_039765485.1
OG0005716	Vcard_DToL11215-RA	XP_039757144.1
OG0005717	Vcard_DToL01922-RA	XP_039745343.1
OG0005718	Vcard_DToL15057-RA	XP_039760213.1
OG0005719	Vcard_DToL08902-RA	XP_039747133.1
OG0005720	Vcard_DToL08901-RA	XP_039746763.1
OG0005721	Vcard_DToL04888-RA	XP_039748861.1
OG0005722	Vcard_DToL17597-RA	XP_039748399.1
OG0005723	Vcard_DToL09576-RA	XP_039753488.1
OG0005724	Vcard_DToL07198-RA	XP_039750156.1
OG0005725	Vcard_DToL06167-RA	XP_039765252.1
OG0005726	Vcard_DToL07202-RA	XP_039749830.1
OG0005727	Vcard_DToL06165-RA	XP_039765260.1
OG0005728	Vcard_DToL06164-RA	XP_039764874.1
OG0005729	Vcard_DToL08897-RA	XP_039746876.1
OG0005730	Vcard_DToL04892-RA	XP_039749129.1
OG0005731	Vcard_DToL12350-RA	XP_039755366.1
OG0005732	Vcard_DToL16116-RA	XP_039760618.1
OG0005733	Vcard_DToL11214-RA	XP_039757215.1
OG0005734	Vcard_DToL06162-RA	XP_039765221.1
OG0005735	Vcard_DToL08890-RA	XP_039746883.1
OG0005736	Vcard_DToL18409-RA	XP_039752667.1
OG0005737	Vcard_DToL11212-RA	XP_039756982.1
OG0005738	Vcard_DToL04895-RA	XP_039748634.1
OG0005739	Vcard_DToL06158-RA	XP_039765093.1
OG0005740	Vcard_DToL17601-RA	XP_039747926.1
OG0005741	Vcard_DToL01929-RA	XP_039765584.1
OG0005742	Vcard_DToL16509-RA	XP_039747144.1
OG0005743	Vcard_DToL00152-RA	XP_039763149.1
OG0005744	Vcard_DToL14023-RA	XP_039748228.1
OG0005745	Vcard_DToL14626-RA	XP_039757912.1
OG0005746	Vcard_DToL06898-RA	XP_039751465.1
OG0005747	Vcard_DToL06153-RA	XP_039765095.1
OG0005749	Vcard_DToL06899-RA	XP_039751464.1
OG0005750	Vcard_DToL03466-RA	XP_039746266.1
OG0005751	Vcard_DToL10043-RA	XP_039758610.1
OG0005752	Vcard_DToL06901-RA	XP_039751650.1
OG0005753	Vcard_DToL06903-RA	XP_039751243.1
OG0005754	Vcard_DToL06149-RA	XP_039765102.1
OG0005755	Vcard_DToL10243-RA	XP_039758294.1
OG0005756	Vcard_DToL06148-RA	XP_039765104.1
OG0005758	Vcard_DToL06146-RA	XP_039765080.1
OG0005759	Vcard_DToL16507-RA	XP_039760767.1
OG0005760	Vcard_DToL10588-RA	XP_039750278.1
OG0005761	Vcard_DToL08884-RA	XP_039747428.1
OG0005762	Vcard_DToL06145-RA	XP_039765094.1
OG0005763	Vcard_DToL04152-RA	XP_039754195.1
OG0005764	Vcard_DToL06143-RA	XP_039765077.1
OG0005765	Vcard_DToL04154-RA	XP_039754169.1
OG0005766	Vcard_DToL04155-RA	XP_039754556.1
OG0005767	Vcard_DToL06142-RA	XP_039765097.1
OG0005768	Vcard_DToL04156-RA	XP_039753920.1
OG0005769	Vcard_DToL17616-RA	XP_039748107.1
OG0005770	Vcard_DToL18403-RA	XP_039752664.1
OG0005771	Vcard_DToL04157-RA	XP_039754325.1
OG0005772	Vcard_DToL17602-RA	XP_039748240.1
OG0005773	Vcard_DToL17618-RA	XP_039747948.1
OG0005774	Vcard_DToL01938-RA	XP_039765669.1
OG0005775	Vcard_DToL00134-RA	XP_039763614.1
OG0005776	Vcard_DToL03191-RA	XP_039755133.1
OG0005777	Vcard_DToL01939-RA	XP_039765670.1
OG0005778	Vcard_DToL00997-RA	XP_039758063.1
OG0005779	Vcard_DToL10584-RA	XP_039750591.1
OG0005780	Vcard_DToL13460-RA	XP_039758978.1
OG0005781	Vcard_DToL11205-RA	XP_039757068.1
OG0005782	Vcard_DToL18396-RA	XP_039752672.1
OG0005783	Vcard_DToL17625-RA	XP_039748190.1
OG0005784	Vcard_DToL01000-RA	XP_039757343.1
OG0005785	Vcard_DToL03192-RA	XP_039754882.1
OG0005786	Vcard_DToL01001-RA	XP_039756052.1
OG0005787	Vcard_DToL01002-RA	XP_039757191.1
OG0005788	Vcard_DToL14019-RA	XP_039747624.1
OG0005789	Vcard_DToL17623-RA	XP_039748073.1
OG0005790	Vcard_DToL03194-RA	XP_039754720.1
OG0005791	Vcard_DToL18580-RA	XP_039762994.1
OG0005792	Vcard_DToL01005-RA	XP_039754260.1
OG0005793	Vcard_DToL01941-RA	XP_039745463.1
OG0005794	Vcard_DToL18577-RA	XP_039762707.1
OG0005795	Vcard_DToL01006-RA	XP_039758867.1
OG0005796	Vcard_DToL13458-RA	XP_039759628.1
OG0005797	Vcard_DToL10582-RA	XP_039750826.1
OG0005798	Vcard_DToL01007-RA	XP_039758858.1
OG0005799	Vcard_DToL01008-RA	XP_039752077.1
OG0005800	Vcard_DToL18578-RA	XP_039762928.1
OG0005801	Vcard_DToL16496-RA	XP_039748501.1
OG0005802	Vcard_DToL13457-RA	XP_039759195.1, XP_039759197.1
OG0005803	Vcard_DToL17654-RA	XP_039748355.1
OG0005804	Vcard_DToL16966-RA	XP_039761054.1
OG0005805	Vcard_DToL01942-RA	XP_039745389.1
OG0005806	Vcard_DToL15951-RA	XP_039760788.1
OG0005807	Vcard_DToL01943-RA	XP_039745423.1
OG0005808	Vcard_DToL07207-RA	XP_039749704.1
OG0005809	Vcard_DToL03474-RA	XP_039746243.1
OG0005810	Vcard_DToL17651-RA	XP_039748359.1
OG0005811	Vcard_DToL10579-RA	XP_039750344.1
OG0005812	Vcard_DToL17650-RA	XP_039748316.1
OG0005813	Vcard_DToL16965-RA	XP_039761083.1
OG0005814	Vcard_DToL00130-RA	XP_039764073.1
OG0005815	Vcard_DToL07692-RA	XP_039752422.1
OG0005816	Vcard_DToL10578-RA	XP_039750346.1
OG0005817	Vcard_DToL03199-RA	XP_039754728.1
OG0005818	Vcard_DToL07691-RA	XP_039752470.1
OG0005820	Vcard_DToL16963-RA	XP_039761303.1
OG0005821	Vcard_DToL10576-RA	XP_039750894.1
OG0005822	Vcard_DToL11198-RA	XP_039756816.1
OG0005823	Vcard_DToL10238-RA	XP_039758346.1
OG0005825	Vcard_DToL06913-RA	XP_039751318.1
OG0005826	Vcard_DToL01018-RA	XP_039753175.1
OG0005827	Vcard_DToL10236-RA	XP_039758769.1
OG0005828	Vcard_DToL10573-RA	XP_039750916.1
OG0005829	Vcard_DToL10234-RA	XP_039758407.1
OG0005830	Vcard_DToL10572-RA	XP_039750588.1
OG0005831	Vcard_DToL10571-RA	XP_039750587.1
OG0005832	Vcard_DToL14963-RA	XP_039760278.1
OG0005833	Vcard_DToL07686-RA	XP_039751751.1
OG0005834	Vcard_DToL14641-RA	XP_039757762.1
OG0005835	Vcard_DToL07208-RA	XP_039750166.1
OG0005836	Vcard_DToL16962-RA	XP_039760949.1
OG0005837	Vcard_DToL03201-RA	XP_039754997.1
OG0005838	Vcard_DToL01947-RA	XP_039765883.1
OG0005839	Vcard_DToL07685-RA	XP_039752490.1
OG0005840	Vcard_DToL06905-RA	XP_039751451.1
OG0005841	Vcard_DToL11188-RA	XP_039757003.1
OG0005842	Vcard_DToL11187-RA	XP_039757002.1
OG0005843	Vcard_DToL06904-RA	XP_039751452.1
OG0005844	Vcard_DToL06919-RA	XP_039751123.1
OG0005845	Vcard_DToL11186-RA	XP_039757258.1
OG0005846	Vcard_DToL08559-RA	XP_039747301.1
OG0005847	Vcard_DToL06922-RA	XP_039751446.1
OG0005850	Vcard_DToL06921-RA	XP_039751152.1
OG0005851	Vcard_DToL06923-RA	XP_039751346.1
OG0005852	Vcard_DToL06924-RA	XP_039751418.1
OG0005853	Vcard_DToL06925-RA	XP_039751000.1
OG0005854	Vcard_DToL07211-RA	XP_039749774.1
OG0005855	Vcard_DToL17626-RA	XP_039748283.1
OG0005856	Vcard_DToL06926-RA	XP_039750999.1
OG0005857	Vcard_DToL06593-RA	XP_039751670.1
OG0005858	Vcard_DToL04915-RA	XP_039748572.1
OG0005859	Vcard_DToL11184-RA	XP_039757149.1
OG0005860	Vcard_DToL12344-RA	XP_039755496.1
OG0005861	Vcard_DToL11183-RA	XP_039757330.1
OG0005862	Vcard_DToL07678-RA	XP_039752256.1
OG0005863	Vcard_DToL06137-RA	XP_039765232.1
OG0005864	Vcard_DToL07677-RA	XP_039752291.1
OG0005865	Vcard_DToL16478-RA	XP_039765804.1
OG0005866	Vcard_DToL07676-RA	XP_039751911.1
OG0005867	Vcard_DToL06136-RA	XP_039764962.1
OG0005868	Vcard_DToL15268-RA	XP_039759834.1
OG0005869	Vcard_DToL12342-RA	XP_039755897.1
OG0005870	Vcard_DToL06134-RA	XP_039764870.1
OG0005871	Vcard_DToL07675-RA	XP_039752332.1
OG0005872	Vcard_DToL07674-RA	XP_039751891.1
OG0005873	Vcard_DToL01039-RA	XP_039760229.1
OG0005874	Vcard_DToL15267-RA	XP_039760266.1
OG0005875	Vcard_DToL10227-RA	XP_039758528.1
OG0005876	Vcard_DToL15944-RA	XP_039760834.1
OG0005877	Vcard_DToL17668-RA	XP_039748468.1
OG0005878	Vcard_DToL03489-RA	XP_039746139.1
OG0005879	Vcard_DToL06129-RA	XP_039764785.1
OG0005880	Vcard_DToL15266-RA	XP_039759816.1
OG0005881	Vcard_DToL03492-RA	XP_039745916.1
OG0005882	Vcard_DToL07673-RA	XP_039751887.1
OG0005883	Vcard_DToL00080-RA	XP_039763790.1
OG0005884	Vcard_DToL15263-RA	XP_039760338.1
OG0005885	Vcard_DToL01084-RA	XP_039761415.1
OG0005887	Vcard_DToL04174-RA	XP_039754196.1
OG0005888	Vcard_DToL15262-RA	XP_039760009.1
OG0005889	Vcard_DToL11174-RA	XP_039757143.1
OG0005890	Vcard_DToL08876-RA	XP_039747134.1
OG0005891	Vcard_DToL14541-RA	XP_039757963.1
OG0005892	Vcard_DToL03497-RA	XP_039746397.1
OG0005893	Vcard_DToL06612-RA	XP_039751543.1
OG0005894	Vcard_DToL13446-RA	XP_039759579.1
OG0005895	Vcard_DToL06121-RA	XP_039764799.1
OG0005896	Vcard_DToL18628-RA	XP_039762856.1
OG0005897	Vcard_DToL06117-RA	XP_039762893.1
OG0005898	Vcard_DToL11167-RA	XP_039757064.1
OG0005899	Vcard_DToL08875-RA	XP_039747362.1
OG0005900	Vcard_DToL16474-RA	XP_039765112.1
OG0005901	Vcard_DToL14008-RA	XP_039747704.1
OG0005902	Vcard_DToL08874-RA	XP_039746653.1
OG0005903	Vcard_DToL18627-RA	XP_039762863.1
OG0005904	Vcard_DToL08872-RA	XP_039747441.1
OG0005905	Vcard_DToL16472-RA	XP_039748233.1
OG0005906	Vcard_DToL14009-RA	XP_039748297.1
OG0005907	Vcard_DToL12338-RA	XP_039755668.1
OG0005908	Vcard_DToL01046-RA	XP_039757375.1
OG0005909	Vcard_DToL06113-RA	XP_039764364.1
OG0005910	Vcard_DToL06112-RA	XP_039764372.1
OG0005911	Vcard_DToL15251-RA	XP_039760079.1
OG0005912	Vcard_DToL01961-RA	XP_039745202.1
OG0005913	Vcard_DToL06111-RA	XP_039765149.1
OG0005914	Vcard_DToL01962-RA	XP_039745096.1
OG0005915	Vcard_DToL17578-RA	XP_039748424.1
OG0005917	Vcard_DToL10561-RA	XP_039750500.1
OG0005918	Vcard_DToL06110-RA	XP_039765154.1
OG0005919	Vcard_DToL01964-RA	XP_039765803.1
OG0005920	Vcard_DToL01050-RA	XP_039759524.1
OG0005921	Vcard_DToL01051-RA	XP_039753566.1
OG0005922	Vcard_DToL06617-RA	XP_039751590.1
OG0005923	Vcard_DToL06106-RA	XP_039764966.1
OG0005924	Vcard_DToL04177-RA	XP_039753840.1
OG0005925	Vcard_DToL06105-RA	XP_039763673.1
OG0005926	Vcard_DToL14892-RA	XP_039758168.1
OG0005927	Vcard_DToL06619-RA	XP_039751350.1
OG0005928	Vcard_DToL15936-RA	XP_039760592.1
OG0005929	Vcard_DToL07663-RA	XP_039752364.1
OG0005930	Vcard_DToL06620-RA	XP_039751334.1
OG0005931	Vcard_DToL08865-RA	XP_039747146.1
OG0005932	Vcard_DToL08864-RA	XP_039746928.1
OG0005933	Vcard_DToL06622-RA	XP_039751409.1
OG0005934	Vcard_DToL17571-RA	XP_039747976.1
OG0005935	Vcard_DToL04927-RA	XP_039749289.1
OG0005936	Vcard_DToL04928-RA	XP_039748875.1
OG0005937	Vcard_DToL08862-RA	XP_039747021.1
OG0005938	Vcard_DToL18065-RA	XP_039762289.1
OG0005939	Vcard_DToL04929-RA	XP_039748651.1
OG0005940	Vcard_DToL04932-RA	XP_039749000.1
OG0005941	Vcard_DToL01979-RA	XP_039745351.1
OG0005942	Vcard_DToL04933-RA	XP_039748648.1
OG0005943	Vcard_DToL18063-RA	XP_039762244.1
OG0005944	Vcard_DToL01980-RA	XP_039745099.1
OG0005945	Vcard_DToL03505-RA	XP_039745801.1
OG0005946	Vcard_DToL01054-RA	XP_039758250.1
OG0005947	Vcard_DToL10223-RA	XP_039758600.1
OG0005948	Vcard_DToL01055-RA	XP_039761148.1
OG0005949	Vcard_DToL01058-RA	XP_039757081.1
OG0005950	Vcard_DToL18061-RA	XP_039762122.1
OG0005951	Vcard_DToL03547-RA	XP_039745857.1
OG0005953	Vcard_DToL12327-RA	XP_039755968.1
OG0005954	Vcard_DToL12325-RA	XP_039755360.1
OG0005955	Vcard_DToL01060-RA	XP_039757300.1
OG0005956	Vcard_DToL07217-RA	XP_039749627.1
OG0005957	Vcard_DToL17568-RA	XP_039747721.1
OG0005958	Vcard_DToL12324-RA	XP_039755396.1
OG0005959	Vcard_DToL12323-RA	XP_039755400.1
OG0005960	Vcard_DToL07219-RA	XP_039749365.1
OG0005961	Vcard_DToL08860-RA	XP_039747096.1
OG0005962	Vcard_DToL13439-RA	XP_039758994.1
OG0005963	Vcard_DToL18662-RA	XP_039762862.1
OG0005964	Vcard_DToL18598-RA	XP_039762695.1
OG0005965	Vcard_DToL10216-RA	XP_039758803.1
OG0005966	Vcard_DToL13437-RA	XP_039758995.1
OG0005967	Vcard_DToL15927-RA	XP_039760409.1
OG0005968	Vcard_DToL08856-RA	XP_039747338.1
OG0005969	Vcard_DToL13436-RA	XP_039759446.1
OG0005970	Vcard_DToL08855-RA	XP_039746841.1
OG0005971	Vcard_DToL18597-RA	XP_039762944.1
OG0005972	Vcard_DToL07230-RA	XP_039749584.1
OG0005973	Vcard_DToL01065-RA	XP_039754317.1
OG0005974	Vcard_DToL13434-RA	XP_039759443.1
OG0005975	Vcard_DToL12874-RA	XP_039756464.1
OG0005976	Vcard_DToL13432-RA	XP_039759595.1
OG0005977	Vcard_DToL06627-RA	XP_039751509.1
OG0005978	Vcard_DToL06629-RA	XP_039751371.1
OG0005979	Vcard_DToL12876-RA	XP_039756173.1
OG0005980	Vcard_DToL06630-RA	XP_039751203.1
OG0005981	Vcard_DToL09940-RA	XP_039758817.1
OG0005982	Vcard_DToL15246-RA	XP_039760076.1
OG0005983	Vcard_DToL00346-RA	XP_039763676.1
OG0005984	Vcard_DToL06100-RA	XP_039764959.1
OG0005985	Vcard_DToL06098-RA	XP_039765128.1
OG0005986	Vcard_DToL11152-RA	XP_039757041.1
OG0005987	Vcard_DToL09938-RA	XP_039758588.1
OG0005988	Vcard_DToL12877-RA	XP_039756587.1
OG0005989	Vcard_DToL00349-RA	XP_039763435.1
OG0005990	Vcard_DToL07237-RA	XP_039750009.1
OG0005991	Vcard_DToL06095-RA	XP_039765048.1
OG0005992	Vcard_DToL09936-RA	XP_039758491.1, XP_039758492.1
OG0005993	Vcard_DToL00350-RA	XP_039763869.1
OG0005994	Vcard_DToL12319-RA	XP_039755842.1
OG0005995	Vcard_DToL09276-RA	XP_039752894.1
OG0005996	Vcard_DToL06094-RA	XP_039764884.1
OG0005997	Vcard_DToL11149-RA, Vcard_DToL11150-RA	XP_039757298.1
OG0005998	Vcard_DToL12318-RA	XP_039755944.1
OG0005999	Vcard_DToL01986-RA	XP_039745101.1, XP_039745102.1
OG0006000	Vcard_DToL16457-RA	XP_039745329.1
OG0006001	Vcard_DToL06091-RA	XP_039764958.1
OG0006002	Vcard_DToL12878-RA	XP_039756588.1
OG0006003	Vcard_DToL00351-RA	XP_039763626.1
OG0006004	Vcard_DToL01990-RA	XP_039765674.1
OG0006005	Vcard_DToL14887-RA	XP_039758077.1
OG0006006	Vcard_DToL01991-RA	XP_039745332.1
OG0006007	Vcard_DToL14885-RA	XP_039757559.1
OG0006008	Vcard_DToL07240-RA	XP_039749845.1
OG0006009	Vcard_DToL00353-RA	XP_039763466.1
OG0006010	Vcard_DToL11147-RA	XP_039756959.1
OG0006011	Vcard_DToL18097-RA	XP_039762207.1
OG0006012	Vcard_DToL03509-RA	XP_039745968.1
OG0006013	Vcard_DToL14883-RA	XP_039757754.1
OG0006014	Vcard_DToL11145-RA	XP_039757020.1
OG0006015	Vcard_DToL11144-RA	XP_039757326.1
OG0006017	Vcard_DToL04189-RA	XP_039754065.1
OG0006018	Vcard_DToL04190-RA	XP_039753903.1
OG0006019	Vcard_DToL06931-RA	XP_039751108.1
OG0006020	Vcard_DToL11143-RA	XP_039756819.1
OG0006021	Vcard_DToL16952-RA	XP_039761377.1
OG0006022	Vcard_DToL15242-RA	XP_039759951.1
OG0006023	Vcard_DToL08835-RA	XP_039747205.1
OG0006024	Vcard_DToL15241-RA	XP_039760027.1
OG0006026	Vcard_DToL04943-RA	XP_039748587.1
OG0006027	Vcard_DToL11142-RA	XP_039757049.1
OG0006028	Vcard_DToL06592-RA	XP_039751248.1
OG0006029	Vcard_DToL15239-RA	XP_039760089.1
OG0006031	Vcard_DToL06590-RA	XP_039751028.1
OG0006032	Vcard_DToL12884-RA	XP_039756127.1
OG0006033	Vcard_DToL15237-RA	XP_039759913.1
OG0006034	Vcard_DToL15236-RA	XP_039760259.1
OG0006036	Vcard_DToL18594-RA	XP_039762692.1, XP_039762691.1
OG0006037	Vcard_DToL09923-RA	XP_039758505.1
OG0006038	Vcard_DToL11875-RA	XP_039755348.1
OG0006039	Vcard_DToL11137-RA, Vcard_DToL11139-RA	XP_039756916.1
OG0006040	Vcard_DToL15232-RA	XP_039759770.1
OG0006041	Vcard_DToL16454-RA	XP_039750097.1
OG0006042	Vcard_DToL13983-RA	XP_039747583.1
OG0006043	Vcard_DToL06088-RA	XP_039763415.1
OG0006044	Vcard_DToL09545-RA	XP_039753150.1
OG0006045	Vcard_DToL16943-RA	XP_039761232.1
OG0006046	Vcard_DToL07933-RA	XP_039752692.1
OG0006047	Vcard_DToL15231-RA	XP_039759765.1
OG0006048	Vcard_DToL07932-RA	XP_039752475.1
OG0006049	Vcard_DToL11135-RA	XP_039757080.1
OG0006050	Vcard_DToL09542-RA	XP_039753585.1
OG0006051	Vcard_DToL14878-RA	XP_039757675.1
OG0006052	Vcard_DToL06584-RA	XP_039751314.1
OG0006053	Vcard_DToL08831-RA	XP_039747185.1
OG0006054	Vcard_DToL01088-RA	XP_039758263.1
OG0006056	Vcard_DToL01090-RA	XP_039757612.1
OG0006057	Vcard_DToL18107-RA	XP_039761919.1
OG0006058	Vcard_DToL13425-RA	XP_039759293.1
OG0006059	Vcard_DToL15223-RA	XP_039759924.1
OG0006060	Vcard_DToL09540-RA	XP_039753011.1
OG0006061	Vcard_DToL16449-RA	XP_039747588.1
OG0006062	Vcard_DToL06081-RA	XP_039765134.1
OG0006063	Vcard_DToL13423-RA	XP_039759501.1
OG0006064	Vcard_DToL15221-RA	XP_039760313.1
OG0006065	Vcard_DToL15215-RA	XP_039759862.1
OG0006066	Vcard_DToL06078-RA	XP_039763882.1
OG0006067	Vcard_DToL06077-RA	XP_039765063.1
OG0006068	Vcard_DToL06076-RA	XP_039765010.1
OG0006069	Vcard_DToL09538-RA	XP_039753492.1
OG0006070	Vcard_DToL06581-RA	XP_039751706.1
OG0006071	Vcard_DToL07243-RA	XP_039749672.1
OG0006072	Vcard_DToL06075-RA	XP_039764806.1
OG0006073	Vcard_DToL06074-RA	XP_039764805.1
OG0006074	Vcard_DToL07244-RA	XP_039749674.1
OG0006075	Vcard_DToL01096-RA	XP_039760024.1
OG0006076	Vcard_DToL03510-RA	XP_039746439.1
OG0006077	Vcard_DToL15214-RA	XP_039760342.1
OG0006078	Vcard_DToL01105-RA	XP_039754140.1
OG0006079	Vcard_DToL13418-RA	XP_039759661.1
OG0006080	Vcard_DToL04954-RA	XP_039749198.1
OG0006081	Vcard_DToL07707-RA	XP_039752333.1
OG0006082	Vcard_DToL06577-RA	XP_039751338.1
OG0006083	Vcard_DToL06575-RA	XP_039751555.1
OG0006084	Vcard_DToL06573-RA	XP_039751531.1
OG0006085	Vcard_DToL08829-RA	XP_039747054.1
OG0006086	Vcard_DToL16938-RA	XP_039761211.1
OG0006087	Vcard_DToL08827-RA	XP_039747053.1
OG0006088	Vcard_DToL09532-RA	XP_039752855.1
OG0006089	Vcard_DToL11933-RA	XP_039755813.1
OG0006090	Vcard_DToL06568-RA	XP_039751275.1
OG0006091	Vcard_DToL14868-RA	XP_039757606.1
OG0006092	Vcard_DToL16936-RA	XP_039761201.1
OG0006093	Vcard_DToL06071-RA	XP_039764697.1
OG0006094	Vcard_DToL06563-RA	XP_039751374.1
OG0006095	Vcard_DToL12890-RA	XP_039756283.1
OG0006096	Vcard_DToL04204-RA	XP_039754503.1
OG0006097	Vcard_DToL01999-RA	XP_039765572.1
OG0006098	Vcard_DToL04205-RA	XP_039754580.1
OG0006099	Vcard_DToL00342-RA	XP_039763916.1
OG0006100	Vcard_DToL16436-RA, Vcard_DToL16437-RA	XP_039749879.1
OG0006101	Vcard_DToL01107-RA	XP_039759467.1
OG0006102	Vcard_DToL06562-RA	XP_039751118.1
OG0006103	Vcard_DToL13410-RA	XP_039759514.1
OG0006104	Vcard_DToL04206-RA	XP_039754581.1
OG0006105	Vcard_DToL04207-RA	XP_039754453.1
OG0006106	Vcard_DToL11926-RA	XP_039755404.1
OG0006107	Vcard_DToL09912-RA	XP_039758509.1
OG0006108	Vcard_DToL03206-RA	XP_039755175.1
OG0006109	Vcard_DToL06067-RA	XP_039764728.1
OG0006110	Vcard_DToL06063-RA	XP_039764729.1
OG0006111	Vcard_DToL01111-RA	XP_039755920.1
OG0006112	Vcard_DToL13977-RA	XP_039747923.1
OG0006113	Vcard_DToL04215-RA	XP_039754400.1
OG0006114	Vcard_DToL09529-RA	XP_039753701.1
OG0006115	Vcard_DToL02007-RA	XP_039765298.1
OG0006117	Vcard_DToL04212-RA	XP_039754222.1
OG0006118	Vcard_DToL03515-RA	XP_039745887.1
OG0006119	Vcard_DToL13401-RA	XP_039759459.1
OG0006120	Vcard_DToL03516-RA	XP_039745840.1
OG0006121	Vcard_DToL04224-RA	XP_039754034.1
OG0006122	Vcard_DToL04216-RA	XP_039754237.1
OG0006123	Vcard_DToL13400-RA	XP_039759151.1
OG0006124	Vcard_DToL06554-RA	XP_039751666.1
OG0006127	Vcard_DToL01115-RA	XP_039758793.1
OG0006128	Vcard_DToL13399-RA	XP_039759430.1
OG0006129	Vcard_DToL11134-RA	XP_039756932.1
OG0006130	Vcard_DToL16927-RA	XP_039760923.1
OG0006131	Vcard_DToL15209-RA	XP_039760049.1
OG0006132	Vcard_DToL17551-RA	XP_039748124.1
OG0006133	Vcard_DToL02010-RA	XP_039765438.1
OG0006134	Vcard_DToL13397-RA	XP_039758898.1
OG0006135	Vcard_DToL02011-RA	XP_039765439.1
OG0006136	Vcard_DToL02012-RA	XP_039765440.1
OG0006137	Vcard_DToL06548-RA	XP_039751268.1
OG0006138	Vcard_DToL18137-RA	XP_039762324.1
OG0006139	Vcard_DToL06547-RA	XP_039751339.1
OG0006140	Vcard_DToL12202-RA	XP_039755616.1
OG0006141	Vcard_DToL15975-RA	XP_039760821.1
OG0006142	Vcard_DToL13391-RA	XP_039759341.1
OG0006143	Vcard_DToL00340-RA	XP_039763683.1
OG0006144	Vcard_DToL15208-RA	XP_039760345.1
OG0006145	Vcard_DToL12203-RA	XP_039755533.1
OG0006146	Vcard_DToL14856-RA	XP_039758171.1
OG0006147	Vcard_DToL16431-RA	XP_039747215.1
OG0006148	Vcard_DToL14855-RA	XP_039758143.1
OG0006149	Vcard_DToL09522-RA	XP_039753629.1
OG0006150	Vcard_DToL18116-RA	XP_039762151.1
OG0006151	Vcard_DToL01120-RA	XP_039753501.1
OG0006152	Vcard_DToL03527-RA	XP_039745616.1
OG0006153	Vcard_DToL02016-RA	XP_039745314.1
OG0006154	Vcard_DToL01121-RA	XP_039753513.1
OG0006155	Vcard_DToL02017-RA	XP_039745071.1
OG0006156	Vcard_DToL01122-RA	XP_039753525.1
OG0006157	Vcard_DToL15989-RA	XP_039760517.1
OG0006158	Vcard_DToL13389-RA	XP_039759643.1, XP_039759644.1
OG0006159	Vcard_DToL01123-RA	XP_039753468.1
OG0006160	Vcard_DToL16427-RA	XP_039765651.1
OG0006162	Vcard_DToL01125-RA	XP_039753490.1
OG0006163	Vcard_DToL03531-RA	XP_039746412.1
OG0006164	Vcard_DToL01126-RA	XP_039753456.1
OG0006165	Vcard_DToL06054-RA	XP_039765156.1
OG0006166	Vcard_DToL03533-RA	XP_039746270.1
OG0006167	Vcard_DToL06053-RA	XP_039764860.1
OG0006168	Vcard_DToL13384-RA	XP_039759570.1
OG0006169	Vcard_DToL14851-RA	XP_039757655.1
OG0006170	Vcard_DToL16425-RA	XP_039745521.1
OG0006171	Vcard_DToL15990-RA	XP_039760843.1
OG0006172	Vcard_DToL13380-RA	XP_039759389.1
OG0006174	Vcard_DToL00332-RA	XP_039763436.1
OG0006175	Vcard_DToL06050-RA	XP_039764646.1
OG0006176	Vcard_DToL15991-RA	XP_039760413.1
OG0006177	Vcard_DToL06048-RA	XP_039764662.1
OG0006178	Vcard_DToL00331-RA	XP_039763360.1
OG0006179	Vcard_DToL09894-RA	XP_039758262.1
