Orthogroup	Vanessa_cardui	Danaus_plexippus
OG0005890	Vcard_DToL08876-RA	DPOGS212112-PA
OG0005891	Vcard_DToL14541-RA	DPOGS202264-PA
OG0005892	Vcard_DToL03497-RA	DPOGS205184-PA
OG0005893	Vcard_DToL06612-RA	DPOGS213662-PA
OG0005894	Vcard_DToL13446-RA	DPOGS207527-PA
OG0005895	Vcard_DToL06121-RA	DPOGS211147-PA
OG0005896	Vcard_DToL18628-RA	DPOGS215135-PA
OG0005897	Vcard_DToL06117-RA	DPOGS211159-PA
OG0005898	Vcard_DToL11167-RA	DPOGS211355-PA
OG0005899	Vcard_DToL08875-RA	DPOGS212113-PA
OG0005900	Vcard_DToL16474-RA	DPOGS202711-PA
OG0005901	Vcard_DToL14008-RA	DPOGS213765-PA
OG0005902	Vcard_DToL08874-RA	DPOGS212148-PA
OG0005903	Vcard_DToL18627-RA	DPOGS215139-PA
OG0005904	Vcard_DToL08872-RA	DPOGS212147-PA
OG0005905	Vcard_DToL16472-RA	DPOGS202718-PA
OG0005906	Vcard_DToL14009-RA	DPOGS213770-PA
OG0005907	Vcard_DToL12338-RA	DPOGS213297-PA
OG0005908	Vcard_DToL01046-RA	DPOGS215647-PA
OG0005909	Vcard_DToL06113-RA	DPOGS211149-PA
OG0005910	Vcard_DToL06112-RA	DPOGS211156-PA
OG0005911	Vcard_DToL15251-RA	DPOGS205010-PA
OG0005912	Vcard_DToL01961-RA	DPOGS213135-PA
OG0005913	Vcard_DToL06111-RA	DPOGS211150-PA
OG0005914	Vcard_DToL01962-RA	DPOGS213064-PA
OG0005915	Vcard_DToL17578-RA	DPOGS204008-PA
OG0005916	Vcard_DToL17576-RA	DPOGS204005-PA
OG0005917	Vcard_DToL10561-RA	DPOGS210963-PA
OG0005918	Vcard_DToL06110-RA	DPOGS211155-PA
OG0005919	Vcard_DToL01964-RA	DPOGS213065-PA
OG0005920	Vcard_DToL01050-RA	DPOGS215645-PA
OG0005921	Vcard_DToL01051-RA	DPOGS215768-PA
OG0005922	Vcard_DToL06617-RA	DPOGS213707-PA
OG0005923	Vcard_DToL06106-RA	DPOGS211151-PA
OG0005924	Vcard_DToL04177-RA	DPOGS205733-PA
OG0005926	Vcard_DToL14892-RA	DPOGS214714-PA
OG0005927	Vcard_DToL06619-RA	DPOGS208533-PA
OG0005928	Vcard_DToL15936-RA	DPOGS209110-PA
OG0005929	Vcard_DToL07663-RA	DPOGS212735-PA
OG0005930	Vcard_DToL06620-RA	DPOGS208505-PA
OG0005931	Vcard_DToL08865-RA	DPOGS212142-PA
OG0005932	Vcard_DToL08864-RA	DPOGS212141-PA
OG0005933	Vcard_DToL06622-RA	DPOGS208535-PA, DPOGS208536-PA
OG0005934	Vcard_DToL17571-RA	DPOGS210574-PA
OG0005935	Vcard_DToL04927-RA	DPOGS203260-PA
OG0005936	Vcard_DToL04928-RA	DPOGS203268-PA
OG0005937	Vcard_DToL08862-RA	DPOGS212140-PA
OG0005938	Vcard_DToL18065-RA	DPOGS205226-PA
OG0005939	Vcard_DToL04929-RA	DPOGS203261-PA
OG0005940	Vcard_DToL04932-RA	DPOGS203267-PA
OG0005941	Vcard_DToL01979-RA	DPOGS213133-PA
OG0005942	Vcard_DToL04933-RA	DPOGS203263-PA
OG0005943	Vcard_DToL18063-RA	DPOGS205227-PA
OG0005944	Vcard_DToL01980-RA	DPOGS213070-PA
OG0005945	Vcard_DToL03505-RA	DPOGS211935-PA
OG0005946	Vcard_DToL01054-RA	DPOGS215770-PA
OG0005947	Vcard_DToL10223-RA	DPOGS204568-PA
OG0005948	Vcard_DToL01055-RA	DPOGS215644-PA
OG0005949	Vcard_DToL01058-RA	DPOGS215771-PA
OG0005950	Vcard_DToL18061-RA	DPOGS209345-PA
OG0005951	Vcard_DToL03547-RA	DPOGS211949-PA
OG0005953	Vcard_DToL12327-RA	DPOGS213563-PA
OG0005954	Vcard_DToL12325-RA	DPOGS213562-PA
OG0005955	Vcard_DToL01060-RA	DPOGS215642-PA
OG0005956	Vcard_DToL07217-RA	DPOGS204515-PA
OG0005957	Vcard_DToL17568-RA	DPOGS210568-PA
OG0005958	Vcard_DToL12324-RA	DPOGS213571-PA
OG0005959	Vcard_DToL12323-RA	DPOGS213561-PA
OG0005960	Vcard_DToL07219-RA	DPOGS204516-PA
OG0005961	Vcard_DToL08860-RA	DPOGS212121-PA
OG0005962	Vcard_DToL13439-RA	DPOGS207515-PA
OG0005963	Vcard_DToL18662-RA	DPOGS212949-PA
OG0005964	Vcard_DToL18598-RA	DPOGS212948-PA
OG0005965	Vcard_DToL10216-RA	DPOGS202512-PA
OG0005966	Vcard_DToL13437-RA	DPOGS207525-PA
OG0005967	Vcard_DToL15927-RA	DPOGS209108-PA
OG0005968	Vcard_DToL08856-RA	DPOGS212122-PA
OG0005969	Vcard_DToL13436-RA	DPOGS207516-PA
OG0005970	Vcard_DToL08855-RA	DPOGS212137-PA
OG0005971	Vcard_DToL18597-RA	DPOGS212958-PA
OG0005972	Vcard_DToL07230-RA	DPOGS204512-PA
OG0005973	Vcard_DToL01065-RA	DPOGS215640-PA
OG0005974	Vcard_DToL13434-RA	DPOGS207517-PA
OG0005975	Vcard_DToL12874-RA	DPOGS208428-PA
OG0005976	Vcard_DToL13432-RA	DPOGS207519-PA
OG0005977	Vcard_DToL06627-RA	DPOGS208537-PA
OG0005978	Vcard_DToL06629-RA	DPOGS208538-PA
OG0005979	Vcard_DToL12876-RA	DPOGS208441-PA
OG0005980	Vcard_DToL06630-RA	DPOGS208501-PA
OG0005981	Vcard_DToL09940-RA	DPOGS202526-PA
OG0005982	Vcard_DToL15246-RA	DPOGS205013-PA
OG0005983	Vcard_DToL00346-RA	DPOGS200891-PA
OG0005984	Vcard_DToL06100-RA	DPOGS201276-PA
OG0005985	Vcard_DToL06098-RA	DPOGS201277-PA
OG0005986	Vcard_DToL11152-RA	DPOGS207874-PA
OG0005987	Vcard_DToL09938-RA	DPOGS202527-PA
OG0005988	Vcard_DToL12877-RA	DPOGS208440-PA
OG0005989	Vcard_DToL00349-RA	DPOGS200914-PA
OG0005990	Vcard_DToL07237-RA	DPOGS204510-PA
OG0005991	Vcard_DToL06095-RA	DPOGS201278-PA
OG0005992	Vcard_DToL09936-RA	DPOGS202505-PA
OG0005993	Vcard_DToL00350-RA	DPOGS200913-PA
OG0005994	Vcard_DToL12319-RA	DPOGS213574-PA
OG0005995	Vcard_DToL09276-RA	DPOGS207821-PA
OG0005996	Vcard_DToL06094-RA	DPOGS201352-PA
OG0005997	Vcard_DToL11149-RA, Vcard_DToL11150-RA	DPOGS207873-PA
OG0005998	Vcard_DToL12318-RA	DPOGS213575-PA
OG0005999	Vcard_DToL01986-RA	DPOGS213072-PA
OG0006000	Vcard_DToL16457-RA	DPOGS213483-PA
OG0006001	Vcard_DToL06091-RA	DPOGS201348-PA
OG0006002	Vcard_DToL12878-RA	DPOGS208439-PA
OG0006003	Vcard_DToL00351-RA	DPOGS200893-PA
OG0006004	Vcard_DToL01990-RA	DPOGS213073-PA
OG0006005	Vcard_DToL14887-RA	DPOGS214716-PA
OG0006006	Vcard_DToL01991-RA	DPOGS213128-PA
OG0006007	Vcard_DToL14885-RA	DPOGS214733-PA
OG0006008	Vcard_DToL07240-RA	DPOGS204509-PA
OG0006009	Vcard_DToL00353-RA	DPOGS200894-PA
OG0006010	Vcard_DToL11147-RA	DPOGS207871-PA
OG0006011	Vcard_DToL18097-RA	DPOGS215352-PA
OG0006012	Vcard_DToL03509-RA	DPOGS211939-PA
OG0006013	Vcard_DToL14883-RA	DPOGS214719-PA
OG0006014	Vcard_DToL11145-RA	DPOGS207890-PA
OG0006015	Vcard_DToL11144-RA	DPOGS207891-PA
OG0006017	Vcard_DToL04189-RA	DPOGS205911-PA
OG0006018	Vcard_DToL04190-RA	DPOGS205904-PA
OG0006019	Vcard_DToL06931-RA	DPOGS208542-PA
OG0006020	Vcard_DToL11143-RA	DPOGS207892-PA
OG0006021	Vcard_DToL16952-RA	DPOGS208627-PA
OG0006022	Vcard_DToL15242-RA	DPOGS204673-PA
OG0006023	Vcard_DToL08835-RA	DPOGS201952-PA
OG0006024	Vcard_DToL15241-RA	DPOGS204674-PA
OG0006025	Vcard_DToL08833-RA	DPOGS201945-PA
OG0006026	Vcard_DToL04943-RA	DPOGS215891-PA
OG0006027	Vcard_DToL11142-RA	DPOGS207868-PA
OG0006028	Vcard_DToL06592-RA	DPOGS208543-PA
OG0006029	Vcard_DToL15239-RA	DPOGS204675-PA
OG0006030	Vcard_DToL12895-RA, Vcard_DToL16949-RA	DPOGS215444-PA
OG0006031	Vcard_DToL06590-RA	DPOGS208497-PA
OG0006032	Vcard_DToL12884-RA	DPOGS208430-PA
OG0006033	Vcard_DToL15237-RA	DPOGS204676-PA
OG0006034	Vcard_DToL15236-RA	DPOGS204688-PA
OG0006036	Vcard_DToL18594-RA	DPOGS212945-PA
OG0006037	Vcard_DToL09923-RA	DPOGS202501-PA
OG0006038	Vcard_DToL11875-RA	DPOGS212338-PA
OG0006039	Vcard_DToL11137-RA, Vcard_DToL11139-RA	DPOGS207866-PA
OG0006040	Vcard_DToL15232-RA	DPOGS204686-PA
OG0006041	Vcard_DToL16454-RA	DPOGS213486-PA
OG0006042	Vcard_DToL13983-RA	DPOGS216095-PA
OG0006043	Vcard_DToL06088-RA	DPOGS201279-PA
OG0006044	Vcard_DToL09545-RA	DPOGS209758-PA
OG0006045	Vcard_DToL16943-RA	DPOGS215437-PA
OG0006046	Vcard_DToL07933-RA	DPOGS201781-PA
OG0006047	Vcard_DToL15231-RA	DPOGS204678-PA
OG0006048	Vcard_DToL07932-RA	DPOGS201820-PA
OG0006049	Vcard_DToL11135-RA	DPOGS207895-PA
OG0006050	Vcard_DToL09542-RA	DPOGS209757-PA
OG0006051	Vcard_DToL14878-RA	DPOGS214730-PA
OG0006052	Vcard_DToL06584-RA	DPOGS208546-PA
OG0006053	Vcard_DToL08831-RA	DPOGS212891-PA
OG0006054	Vcard_DToL01088-RA	DPOGS215635-PA
OG0006056	Vcard_DToL01090-RA	DPOGS215779-PA
OG0006057	Vcard_DToL18107-RA	DPOGS205374-PA
OG0006058	Vcard_DToL13425-RA	DPOGS214667-PA
OG0006059	Vcard_DToL15223-RA	DPOGS204681-PA
OG0006060	Vcard_DToL09540-RA	DPOGS209755-PA
OG0006061	Vcard_DToL16449-RA	DPOGS213471-PA
OG0006062	Vcard_DToL06081-RA	DPOGS201280-PA
OG0006063	Vcard_DToL13423-RA	DPOGS214668-PA
OG0006064	Vcard_DToL15221-RA	DPOGS204682-PA
OG0006065	Vcard_DToL15215-RA, Vcard_DToL15216-RA	DPOGS200951-PA
OG0006066	Vcard_DToL06078-RA	DPOGS201340-PA
OG0006067	Vcard_DToL06077-RA	DPOGS201282-PA
OG0006068	Vcard_DToL06076-RA	DPOGS201339-PA
OG0006069	Vcard_DToL09538-RA	DPOGS209764-PA
OG0006070	Vcard_DToL06581-RA	DPOGS208547-PA
OG0006071	Vcard_DToL07243-RA	DPOGS211277-PA
OG0006072	Vcard_DToL06075-RA	DPOGS201283-PA
OG0006073	Vcard_DToL06074-RA	DPOGS201338-PA
OG0006074	Vcard_DToL07244-RA	DPOGS211290-PA
OG0006075	Vcard_DToL01096-RA	DPOGS215633-PA
OG0006076	Vcard_DToL03510-RA	DPOGS211892-PA
OG0006077	Vcard_DToL15214-RA	DPOGS200956-PA
OG0006078	Vcard_DToL01105-RA	DPOGS215783-PA
OG0006079	Vcard_DToL13418-RA	DPOGS214664-PA
OG0006080	Vcard_DToL04954-RA	DPOGS215882-PA
OG0006081	Vcard_DToL07707-RA	DPOGS212692-PA
OG0006082	Vcard_DToL06577-RA	DPOGS208491-PA
OG0006083	Vcard_DToL06575-RA	DPOGS208549-PA
OG0006084	Vcard_DToL06573-RA	DPOGS208550-PA
OG0006085	Vcard_DToL08829-RA	DPOGS208133-PA
OG0006086	Vcard_DToL16938-RA	DPOGS215447-PA
OG0006087	Vcard_DToL08827-RA	DPOGS208110-PA
OG0006088	Vcard_DToL09532-RA	DPOGS209767-PA
OG0006089	Vcard_DToL11933-RA	DPOGS214802-PA
OG0006090	Vcard_DToL06568-RA	DPOGS208552-PA
OG0006091	Vcard_DToL14868-RA	DPOGS214619-PA
OG0006092	Vcard_DToL16936-RA	DPOGS215436-PA
OG0006093	Vcard_DToL06071-RA	DPOGS201285-PA
OG0006094	Vcard_DToL06563-RA	DPOGS208488-PA
OG0006095	Vcard_DToL12890-RA	DPOGS208435-PA
OG0006096	Vcard_DToL04204-RA	DPOGS205898-PA
OG0006097	Vcard_DToL01999-RA	DPOGS213076-PA
OG0006098	Vcard_DToL04205-RA	DPOGS205916-PA
OG0006099	Vcard_DToL00342-RA	DPOGS200916-PA
OG0006100	Vcard_DToL16436-RA, Vcard_DToL16437-RA	DPOGS213467-PA
OG0006101	Vcard_DToL01107-RA	DPOGS215784-PA
OG0006102	Vcard_DToL06562-RA	DPOGS208487-PA
OG0006103	Vcard_DToL13410-RA	DPOGS214661-PA
OG0006104	Vcard_DToL04206-RA	DPOGS205897-PA
OG0006105	Vcard_DToL04207-RA	DPOGS205917-PA
OG0006106	Vcard_DToL11926-RA	DPOGS214803-PA
OG0006107	Vcard_DToL09912-RA	DPOGS204816-PA
OG0006108	Vcard_DToL03206-RA	DPOGS203198-PA
OG0006109	Vcard_DToL06067-RA	DPOGS201287-PA
OG0006110	Vcard_DToL06063-RA	DPOGS201326-PA
OG0006111	Vcard_DToL01111-RA	DPOGS215786-PA
OG0006112	Vcard_DToL13977-RA	DPOGS216135-PA
OG0006113	Vcard_DToL04215-RA	DPOGS205894-PA
OG0006114	Vcard_DToL09529-RA	DPOGS200811-PA
OG0006115	Vcard_DToL02007-RA	DPOGS213083-PA
OG0006117	Vcard_DToL04212-RA	DPOGS205918-PA
OG0006118	Vcard_DToL03515-RA	DPOGS211886-PA
OG0006119	Vcard_DToL13401-RA	DPOGS214658-PA
OG0006120	Vcard_DToL03516-RA	DPOGS211885-PA
OG0006121	Vcard_DToL04224-RA	DPOGS203243-PA
OG0006122	Vcard_DToL04216-RA	DPOGS206525-PA
OG0006123	Vcard_DToL13400-RA	DPOGS214677-PA
OG0006124	Vcard_DToL06554-RA	DPOGS208484-PA
OG0006125	Vcard_DToL04960-RA	DPOGS215911-PA
OG0006127	Vcard_DToL01115-RA	DPOGS203783-PA
OG0006128	Vcard_DToL13399-RA	DPOGS214657-PA
OG0006129	Vcard_DToL11134-RA	DPOGS207899-PA
OG0006130	Vcard_DToL16927-RA	DPOGS215449-PA
OG0006131	Vcard_DToL15209-RA	DPOGS207317-PA
OG0006132	Vcard_DToL17551-RA	DPOGS203864-PA
OG0006133	Vcard_DToL02010-RA	DPOGS213084-PA
OG0006134	Vcard_DToL13397-RA	DPOGS214678-PA
OG0006135	Vcard_DToL02011-RA	DPOGS213116-PA
OG0006136	Vcard_DToL02012-RA	DPOGS213085-PA
OG0006137	Vcard_DToL06548-RA	DPOGS208481-PA
OG0006138	Vcard_DToL18137-RA	DPOGS205191-PA
OG0006139	Vcard_DToL06547-RA	DPOGS208559-PA
OG0006140	Vcard_DToL12202-RA	DPOGS213511-PA
OG0006141	Vcard_DToL15975-RA	DPOGS209856-PA
OG0006142	Vcard_DToL13391-RA	DPOGS215938-PA
OG0006143	Vcard_DToL00340-RA	DPOGS201363-PA
OG0006144	Vcard_DToL15208-RA	DPOGS208189-PA
OG0006145	Vcard_DToL12203-RA	DPOGS213512-PA
OG0006146	Vcard_DToL14856-RA	DPOGS214598-PA
OG0006147	Vcard_DToL16431-RA	DPOGS213496-PA
OG0006148	Vcard_DToL14855-RA	DPOGS214597-PA
OG0006149	Vcard_DToL09522-RA	DPOGS201681-PA
OG0006150	Vcard_DToL18116-RA	DPOGS205371-PA
OG0006151	Vcard_DToL01120-RA	DPOGS203784-PA
OG0006152	Vcard_DToL03527-RA	DPOGS211881-PA
OG0006153	Vcard_DToL02016-RA	DPOGS213115-PA
OG0006154	Vcard_DToL01121-RA	DPOGS203721-PA
OG0006155	Vcard_DToL02017-RA	DPOGS213088-PA
OG0006156	Vcard_DToL01122-RA	DPOGS203724-PA
OG0006157	Vcard_DToL15989-RA	DPOGS210258-PA
OG0006158	Vcard_DToL13389-RA	DPOGS215937-PA
OG0006159	Vcard_DToL01123-RA	DPOGS203782-PA
OG0006160	Vcard_DToL16427-RA	DPOGS213498-PA
OG0006162	Vcard_DToL01125-RA	DPOGS203781-PA
OG0006163	Vcard_DToL03531-RA	DPOGS211879-PA
OG0006164	Vcard_DToL01126-RA	DPOGS203726-PA
OG0006165	Vcard_DToL06054-RA	DPOGS201324-PA
OG0006166	Vcard_DToL03533-RA	DPOGS211944-PA
OG0006167	Vcard_DToL06053-RA	DPOGS201292-PA
OG0006168	Vcard_DToL13384-RA	DPOGS215947-PA
OG0006169	Vcard_DToL14851-RA	DPOGS214625-PA
OG0006170	Vcard_DToL16425-RA	DPOGS213460-PA
OG0006171	Vcard_DToL15990-RA	DPOGS210279-PA
OG0006172	Vcard_DToL13380-RA	DPOGS215933-PA
OG0006174	Vcard_DToL00332-RA	DPOGS201366-PA
OG0006175	Vcard_DToL06050-RA	DPOGS211124-PA
OG0006176	Vcard_DToL15991-RA	DPOGS210277-PA
OG0006177	Vcard_DToL06048-RA	DPOGS211177-PA
OG0006178	Vcard_DToL00331-RA	DPOGS201386-PA
OG0006179	Vcard_DToL09894-RA	DPOGS204811-PA
OG0006180	Vcard_DToL16922-RA	DPOGS208166-PA
OG0006181	Vcard_DToL13372-RA	DPOGS210438-PA
OG0006182	Vcard_DToL04225-RA	DPOGS203246-PA
OG0006183	Vcard_DToL15995-RA	DPOGS210276-PA
OG0006185	Vcard_DToL15201-RA	DPOGS208169-PA
OG0006186	Vcard_DToL15998-RA	DPOGS210275-PA
OG0006187	Vcard_DToL06044-RA	DPOGS211122-PA
OG0006188	Vcard_DToL00328-RA	DPOGS201385-PA
OG0006189	Vcard_DToL02024-RA	DPOGS213112-PA
OG0006190	Vcard_DToL16422-RA	DPOGS213456-PA
OG0006191	Vcard_DToL15200-RA	DPOGS208187-PA
OG0006192	Vcard_DToL14843-RA	DPOGS214589-PA
OG0006193	Vcard_DToL15198-RA	DPOGS208170-PA
OG0006194	Vcard_DToL08821-RA	DPOGS208114-PA
OG0006195	Vcard_DToL00323-RA	DPOGS201368-PA
OG0006197	Vcard_DToL08820-RA	DPOGS208115-PA
OG0006198	Vcard_DToL10550-RA	DPOGS211009-PA
OG0006199	Vcard_DToL04230-RA	DPOGS203248-PA
OG0006200	Vcard_DToL09510-RA	DPOGS201664-PA
OG0006201	Vcard_DToL04233-RA	DPOGS203240-PA
OG0006202	Vcard_DToL12216-RA	DPOGS213615-PA
OG0006203	Vcard_DToL17540-RA	DPOGS203643-PA
OG0006204	Vcard_DToL03539-RA	DPOGS211875-PA
OG0006205	Vcard_DToL10549-RA	DPOGS210956-PA
OG0006206	Vcard_DToL15190-RA	DPOGS208185-PA
OG0006207	Vcard_DToL15188-RA	DPOGS208174-PA
OG0006208	Vcard_DToL03540-RA	DPOGS211947-PA
OG0006209	Vcard_DToL04982-RA	DPOGS215873-PA
OG0006210	Vcard_DToL03542-RA	DPOGS211874-PA
OG0006211	Vcard_DToL07257-RA	DPOGS211283-PA
OG0006212	Vcard_DToL12225-RA	DPOGS213611-PA
OG0006213	Vcard_DToL03544-RA	DPOGS211948-PA
OG0006214	Vcard_DToL12226-RA	DPOGS213520-PA
OG0006215	Vcard_DToL09505-RA	DPOGS206472-PA
OG0006216	Vcard_DToL15186-RA	DPOGS208175-PA
OG0006217	Vcard_DToL12227-RA	DPOGS213610-PA
OG0006218	Vcard_DToL08815-RA	DPOGS208117-PA
OG0006219	Vcard_DToL03543-RA	DPOGS211873-PA
OG0006220	Vcard_DToL12228-RA	DPOGS213521-PA
OG0006221	Vcard_DToL16417-RA	DPOGS211745-PA
OG0006222	Vcard_DToL03550-RA	DPOGS211870-PA
OG0006223	Vcard_DToL08812-RA	DPOGS208119-PA
OG0006224	Vcard_DToL11131-RA	DPOGS206658-PA
OG0006225	Vcard_DToL08813-RA	DPOGS208127-PA
OG0006226	Vcard_DToL04985-RA	DPOGS211998-PA
OG0006227	Vcard_DToL08811-RA	DPOGS208120-PA
OG0006228	Vcard_DToL12233-RA	DPOGS213609-PA
OG0006229	Vcard_DToL12234-RA	DPOGS213523-PA
OG0006230	Vcard_DToL16414-RA	DPOGS211743-PA
OG0006231	Vcard_DToL04986-RA	DPOGS215870-PA
OG0006232	Vcard_DToL02027-RA	DPOGS213111-PA
OG0006233	Vcard_DToL13355-RA	DPOGS210451-PA
OG0006234	Vcard_DToL09504-RA	DPOGS206473-PA
OG0006235	Vcard_DToL09893-RA	DPOGS204826-PA
OG0006236	Vcard_DToL02028-RA	DPOGS213092-PA
OG0006237	Vcard_DToL04987-RA	DPOGS215869-PA
OG0006238	Vcard_DToL09503-RA	DPOGS206449-PA
OG0006239	Vcard_DToL10545-RA	DPOGS211010-PA
OG0006240	Vcard_DToL15181-RA	DPOGS208183-PA
OG0006241	Vcard_DToL03557-RA	DPOGS211952-PA
OG0006242	Vcard_DToL02029-RA	DPOGS213110-PA
OG0006243	Vcard_DToL03558-RA	DPOGS211953-PA
OG0006244	Vcard_DToL10542-RA	DPOGS210955-PA
OG0006245	Vcard_DToL04237-RA	DPOGS203238-PA
OG0006246	Vcard_DToL02031-RA	DPOGS213093-PA
OG0006247	Vcard_DToL18162-RA	DPOGS205239-PA
OG0006248	Vcard_DToL08809-RA	DPOGS208125-PA
OG0006249	Vcard_DToL00302-RA	DPOGS201373-PA
OG0006250	Vcard_DToL04989-RA	DPOGS215921-PA
OG0006251	Vcard_DToL18653-RA	DPOGS207913-PA, DPOGS204910-PA
OG0006252	Vcard_DToL12242-RA	DPOGS213607-PA
OG0006253	Vcard_DToL08808-RA	DPOGS213822-PA
OG0006254	Vcard_DToL03212-RA	DPOGS203171-PA
OG0006255	Vcard_DToL02041-RA	DPOGS213104-PA
OG0006256	Vcard_DToL10539-RA	DPOGS211012-PA
OG0006257	Vcard_DToL03213-RA	DPOGS203201-PA
OG0006258	Vcard_DToL06531-RA	DPOGS208475-PA
OG0006259	Vcard_DToL09342-RA	DPOGS207790-PA
OG0006260	Vcard_DToL03214-RA	DPOGS203170-PA
OG0006261	Vcard_DToL01137-RA	DPOGS215805-PA
OG0006262	Vcard_DToL04994-RA	DPOGS215923-PA
OG0006263	Vcard_DToL09343-RA	DPOGS207772-PA
OG0006264	Vcard_DToL06527-RA	DPOGS208567-PA
OG0006265	Vcard_DToL03217-RA	DPOGS203169-PA
OG0006266	Vcard_DToL10534-RA	DPOGS211014-PA
OG0006267	Vcard_DToL12246-RA	DPOGS213604-PA
OG0006268	Vcard_DToL15425-RA	DPOGS214863-PA
OG0006269	Vcard_DToL10532-RA	DPOGS210951-PA
OG0006270	Vcard_DToL04240-RA	DPOGS203237-PA
OG0006271	Vcard_DToL06523-RA	DPOGS208569-PA
OG0006272	Vcard_DToL07267-RA	DPOGS201246-PA
OG0006273	Vcard_DToL02043-RA	DPOGS213102-PA
OG0006274	Vcard_DToL02044-RA	DPOGS213097-PA
OG0006275	Vcard_DToL06521-RA	DPOGS208470-PA
OG0006276	Vcard_DToL03224-RA	DPOGS203167-PA
OG0006277	Vcard_DToL06027-RA	DPOGS211186-PA
OG0006278	Vcard_DToL06520-RA	DPOGS208468-PA
OG0006279	Vcard_DToL06519-RA	DPOGS208571-PA
OG0006280	Vcard_DToL16404-RA	DPOGS213415-PA
OG0006281	Vcard_DToL18286-RA	DPOGS203441-PA
OG0006282	Vcard_DToL01141-RA	DPOGS215608-PA
OG0006283	Vcard_DToL03227-RA	DPOGS209232-PA
OG0006284	Vcard_DToL18285-RA	DPOGS203440-PA
OG0006285	Vcard_DToL09881-RA	DPOGS204808-PA
OG0006286	Vcard_DToL06515-RA	DPOGS208572-PA
OG0006287	Vcard_DToL01144-RA	DPOGS215609-PA
OG0006288	Vcard_DToL04245-RA	DPOGS203235-PA
OG0006289	Vcard_DToL09880-RA	DPOGS204832-PA
OG0006290	Vcard_DToL10523-RA	DPOGS211020-PA
OG0006291	Vcard_DToL06025-RA	DPOGS211116-PA
OG0006292	Vcard_DToL00293-RA	DPOGS209689-PA
OG0006293	Vcard_DToL07272-RA, Vcard_DToL07273-RA	DPOGS201239-PA
OG0006294	Vcard_DToL16010-RA	DPOGS200233-PA
OG0006295	Vcard_DToL06024-RA	DPOGS211115-PA
OG0006296	Vcard_DToL08805-RA	DPOGS213794-PA
OG0006297	Vcard_DToL08804-RA	DPOGS213820-PA
OG0006298	Vcard_DToL06023-RA	DPOGS211114-PA
OG0006299	Vcard_DToL08800-RA	DPOGS213795-PA
OG0006300	Vcard_DToL01149-RA	DPOGS215611-PA
OG0006301	Vcard_DToL13344-RA	DPOGS215931-PA
OG0006302	Vcard_DToL02063-RA	DPOGS204503-PA
OG0006303	Vcard_DToL07275-RA	DPOGS201238-PA
OG0006304	Vcard_DToL06020-RA	DPOGS211113-PA
OG0006305	Vcard_DToL16401-RA	DPOGS213429-PA
OG0006306	Vcard_DToL06019-RA	DPOGS211189-PA
OG0006307	Vcard_DToL03580-RA	DPOGS211966-PA
OG0006308	Vcard_DToL06508-RA	DPOGS208465-PA
OG0006309	Vcard_DToL07277-RA	DPOGS201251-PA
OG0006310	Vcard_DToL13341-RA	DPOGS215948-PA
OG0006311	Vcard_DToL03584-RA	DPOGS211860-PA
OG0006312	Vcard_DToL03585-RA	DPOGS211859-PA
OG0006313	Vcard_DToL01153-RA	DPOGS215800-PA
OG0006314	Vcard_DToL06507-RA	DPOGS208464-PA
OG0006315	Vcard_DToL13339-RA	DPOGS210435-PA
OG0006316	Vcard_DToL02049-RA	DPOGS213098-PA
OG0006317	Vcard_DToL01156-RA	DPOGS215614-PA
OG0006318	Vcard_DToL18605-RA	DPOGS209100-PA
OG0006319	Vcard_DToL06017-RA	DPOGS211191-PA
OG0006320	Vcard_DToL13338-RA	DPOGS210460-PA
OG0006321	Vcard_DToL18607-RA	DPOGS209101-PA
OG0006322	Vcard_DToL06016-RA	DPOGS211112-PA
OG0006324	Vcard_DToL09354-RA	DPOGS207780-PA
OG0006325	Vcard_DToL06014-RA	DPOGS211193-PA
OG0006326	Vcard_DToL06013-RA	DPOGS211110-PA
OG0006327	Vcard_DToL17468-RA	DPOGS212479-PA
OG0006328	Vcard_DToL01159-RA	DPOGS215617-PA
OG0006329	Vcard_DToL06012-RA	DPOGS211194-PA
OG0006330	Vcard_DToL18609-RA	DPOGS208106-PA
OG0006331	Vcard_DToL11126-RA	DPOGS206649-PA
OG0006332	Vcard_DToL12929-RA	DPOGS215464-PA
OG0006333	Vcard_DToL18610-RA	DPOGS208107-PA
OG0006334	Vcard_DToL12930-RA	DPOGS215486-PA
OG0006335	Vcard_DToL12931-RA	DPOGS215463-PA
OG0006336	Vcard_DToL04998-RA	DPOGS215864-PA
OG0006338	Vcard_DToL18278-RA	DPOGS203437-PA
OG0006339	Vcard_DToL14822-RA	DPOGS204167-PA
OG0006340	Vcard_DToL16016-RA	DPOGS200237-PA, DPOGS200236-PA
OG0006341	Vcard_DToL12250-RA	DPOGS213530-PA
OG0006342	Vcard_DToL06011-RA	DPOGS211109-PA
OG0006343	Vcard_DToL01161-RA	DPOGS215619-PA
OG0006344	Vcard_DToL06008-RA	DPOGS211108-PA
OG0006345	Vcard_DToL00292-RA	DPOGS209666-PA
OG0006346	Vcard_DToL12253-RA	DPOGS213531-PA
OG0006347	Vcard_DToL12935-RA	DPOGS215461-PA
OG0006348	Vcard_DToL14819-RA	DPOGS204171-PA
