Orthogroup	Pararge_aegeria	Heliconius_erato_lativitta
OG0004583	XP_039745030.1, XP_039745031.1	HEL_001248-RA
OG0004584	XP_039746661.1	HEL_011618-RA
OG0004585	XP_039765268.1	HEL_003173-RA
OG0004586	XP_039751259.1	HEL_006199-RA
OG0004587	XP_039763645.1	HEL_007071-RA
OG0004588	XP_039751506.1	HEL_006202-RA
OG0004589	XP_039765827.1	HEL_001242-RA
OG0004591	XP_039751669.1	HEL_006206-RA
OG0004594	XP_039758771.1	HEL_007273-RA, HEL_007279-RA, HEL_007277-RA
OG0004595	XP_039756653.1	HEL_012033-RA
OG0004596	XP_039751135.1	HEL_006215-RA
OG0004597	XP_039753195.1	HEL_011928-RA
OG0004598	XP_039754593.1	HEL_011493-RA
OG0004599	XP_039754114.1	HEL_011492-RA
OG0004600	XP_039754656.1	HEL_005438-RA
OG0004601	XP_039757044.1, XP_039757212.1	HEL_008624-RA
OG0004602	XP_039754628.1	HEL_005439-RA
OG0004603	XP_039753282.1	HEL_011933-RA
OG0004604	XP_039754903.1	HEL_005441-RA
OG0004606	XP_039749829.1	HEL_010302-RA
OG0004607	XP_039749283.1	HEL_000130-RA, HEL_000131-RA
OG0004608	XP_039756339.1	HEL_012025-RA
OG0004609	XP_039765136.1	HEL_003189-RA
OG0004610	XP_039755351.1	HEL_006625-RA, HEL_006623-RA
OG0004611	XP_039754534.1	HEL_011473-RA
OG0004612	XP_039745154.1	HEL_001230-RA
OG0004613	XP_039751771.1	HEL_008292-RA, HEL_008290-RA
OG0004614	XP_039751536.1	HEL_006223-RA, HEL_006222-RA
OG0004615	XP_039758667.1, XP_039758668.1	HEL_007275-RA
OG0004616	XP_039764910.1	HEL_003192-RA
OG0004617	XP_039763752.1	HEL_010416-RA
OG0004618	XP_039761810.1	HEL_005868-RA
OG0004619	XP_039745260.1	HEL_001226-RA
OG0004620	XP_039746995.1	HEL_011623-RA
OG0004621	XP_039754122.1	HEL_011463-RA, HEL_011462-RA
OG0004622	XP_039750020.1	HEL_010305-RA
OG0004623	XP_039745762.1	HEL_004414-RA
OG0004624	XP_039751388.1	HEL_006237-RA
OG0004625	XP_039747139.1	HEL_011627-RA, HEL_011626-RA
OG0004626	XP_039746475.1	HEL_004417-RA
OG0004627	XP_039746803.1	HEL_008566-RA
OG0004628	XP_039746325.1	HEL_004418-RA
OG0004630	XP_039746040.1	HEL_004420-RA
OG0004631	XP_039749498.1	HEL_010306-RA
OG0004632	XP_039745667.1, XP_039745666.1	HEL_004421-RA
OG0004633	XP_039750895.1	HEL_012892-RA, HEL_012891-RA
OG0004634	XP_039746546.1	HEL_010046-RA
OG0004635	XP_039745514.1	HEL_001210-RA, HEL_001211-RA
OG0004636	XP_039754837.1	HEL_005446-RA
OG0004637	XP_039754668.1	HEL_005448-RA
OG0004638	XP_039760397.1	HEL_006643-RA
OG0004639	XP_039755784.1	HEL_009840-RA, HEL_009839-RA
OG0004641	XP_039754809.1	HEL_005450-RA
OG0004643	XP_039747437.1	HEL_010043-RA
OG0004644	XP_039761877.1	HEL_006645-RA
OG0004646	XP_039750759.1, XP_039750760.1	HEL_013072-RA
OG0004648	XP_039758756.1	HEL_006647-RA
OG0004649	XP_039754423.1	HEL_011460-RA
OG0004650	XP_039749844.1	HEL_010329-RA
OG0004651	XP_039753391.1	HEL_011959-RA
OG0004652	XP_039763373.1, XP_039763372.1	HEL_010403-RA
OG0004653	XP_039745269.1	HEL_001202-RA
OG0004654	XP_039765125.1, XP_039765124.1	HEL_003209-RA
OG0004655	XP_039745847.1	HEL_004434-RA
OG0004656	XP_039754934.1	HEL_005456-RA
OG0004657	XP_039748692.1	HEL_000148-RA
OG0004658	XP_039754493.1	HEL_011455-RA, HEL_011454-RA
OG0004659	XP_039765283.1	HEL_008562-RA, HEL_008563-RA
OG0004660	XP_039745797.1	HEL_004436-RA
OG0004661	XP_039754424.1	HEL_011450-RA
OG0004662	XP_039765784.1	HEL_008561-RA
OG0004663	XP_039765737.1, XP_039765736.1	HEL_001191-RA
OG0004664	XP_039753985.1	HEL_011444-RA
OG0004665	XP_039757181.1	HEL_012266-RA
OG0004666	XP_039751832.1	HEL_008321-RA
OG0004669	XP_039751905.1	HEL_008322-RA
OG0004671	XP_039754012.1	HEL_011438-RA, HEL_011441-RA
OG0004672	XP_039745184.1	HEL_001187-RA
OG0004673	XP_039749015.1	HEL_008547-RA
OG0004674	XP_039754410.1	HEL_011434-RA, HEL_011433-RA, HEL_011435-RA
OG0004675	XP_039745922.1	HEL_008545-RA
OG0004676	XP_039754286.1	HEL_011424-RA, HEL_011423-RA
OG0004677	XP_039754049.1	HEL_011421-RA
OG0004678	XP_039752014.1	HEL_008329-RA
OG0004679	XP_039757561.1	HEL_006655-RA
OG0004680	XP_039753632.1	HEL_006658-RA
OG0004681	XP_039752609.1	HEL_008330-RA
OG0004683	XP_039749727.1	HEL_010323-RA
OG0004684	XP_039755412.1	HEL_014599-RA, HEL_014600-RA
OG0004685	XP_039751413.1, XP_039751412.1	HEL_009590-RA
OG0004686	XP_039752441.1	HEL_008335-RA
OG0004687	XP_039751213.1	HEL_009589-RA
OG0004688	XP_039755672.1, XP_039755671.1	HEL_014601-RA, HEL_014602-RA
OG0004689	XP_039754161.1, XP_039754160.1	HEL_011416-RA
OG0004690	XP_039746885.1	HEL_008537-RA
OG0004691	XP_039754021.1, XP_039754028.1	HEL_006661-RA
OG0004692	XP_039754238.1	HEL_006663-RA
OG0004694	XP_039754248.1	HEL_006664-RA
OG0004695	XP_039746465.1	HEL_004450-RA, HEL_004451-RA
OG0004696	XP_039761517.1	HEL_006668-RA
OG0004697	XP_039761552.1	HEL_006670-RA, HEL_006669-RA
OG0004699	XP_039750068.1	HEL_010342-RA, HEL_010341-RA
OG0004700	XP_039748511.1, XP_039748512.1	HEL_000157-RA, HEL_000156-RA
OG0004701	XP_039754058.1	HEL_011414-RA, HEL_001957-RA
OG0004702	XP_039759601.1	HEL_006676-RA
OG0004704	XP_039758170.1, XP_039758163.1	HEL_006677-RA
OG0004705	XP_039746141.1	HEL_004453-RA
OG0004706	XP_039764875.1	HEL_003227-RA
OG0004707	XP_039753631.1	HEL_011980-RA
OG0004708	XP_039753417.1	HEL_011982-RA
OG0004709	XP_039749791.1	HEL_010351-RA
OG0004710	XP_039749796.1, XP_039749797.1	HEL_010352-RA
OG0004711	XP_039745699.1	HEL_004460-RA
OG0004713	XP_039752764.1	HEL_008348-RA
OG0004714	XP_039765514.1	HEL_001168-RA
OG0004715	XP_039764014.1	HEL_010392-RA
OG0004716	XP_039764896.1	HEL_008510-RA
OG0004717	XP_039749059.1	HEL_008509-RA
OG0004718	XP_039759503.1	HEL_006691-RA
OG0004720	XP_039749299.1	HEL_000192-RA, HEL_000193-RA
OG0004721	XP_039763232.1	HEL_010390-RA
OG0004722	XP_039763640.1, XP_039763639.1	HEL_010389-RA
OG0004723	XP_039745974.1	HEL_004462-RA
OG0004724	XP_039754067.1	HEL_012860-RA
OG0004725	XP_039753753.1, XP_039753743.1	HEL_006693-RA
OG0004726	XP_039760205.1, XP_039758895.1	HEL_006701-RA
OG0004727	XP_039755180.1	HEL_006704-RA, HEL_006705-RA
OG0004730	XP_039764757.1	HEL_003315-RA
OG0004731	XP_039764775.1	HEL_003313-RA
OG0004732	XP_039752144.1	HEL_008425-RA
OG0004733	XP_039745250.1	HEL_001145-RA
OG0004734	XP_039757287.1	HEL_006711-RA
OG0004737	XP_039752638.1	HEL_008421-RA
OG0004740	XP_039752822.1	HEL_008412-RA
OG0004741	XP_039746923.1	HEL_011665-RA
OG0004742	XP_039764868.1	HEL_003303-RA
OG0004743	XP_039745093.1	HEL_013119-RA
OG0004745	XP_039747482.1	HEL_011655-RA
OG0004746	XP_039765001.1	HEL_003297-RA
OG0004747	XP_039764998.1, XP_039764999.1	HEL_003296-RA
OG0004748	XP_039747487.1	HEL_011652-RA
OG0004749	XP_039765013.1	HEL_003295-RA
OG0004750	XP_039747452.1	HEL_011650-RA, HEL_011651-RA
OG0004751	XP_039748994.1	HEL_000207-RA, HEL_000211-RA
OG0004752	XP_039765106.1	HEL_003288-RA, HEL_003287-RA
OG0004753	XP_039765295.1	HEL_013110-RA
OG0004754	XP_039754378.1	HEL_012819-RA
OG0004755	XP_039752185.1	HEL_008396-RA
OG0004756	XP_039754486.1	HEL_012820-RA
OG0004757	XP_039752604.1	HEL_008394-RA, HEL_008395-RA
OG0004758	XP_039754029.1	HEL_012823-RA
OG0004759	XP_039751921.1	HEL_008384-RA
OG0004760	XP_039765127.1	HEL_003271-RA, HEL_003270-RA
OG0004761	XP_039752643.1	HEL_008382-RA, HEL_008381-RA, HEL_008383-RA, HEL_008380-RA
OG0004762	XP_039764776.1	HEL_003269-RA, HEL_003268-RA
OG0004763	XP_039760703.1	HEL_006735-RA
OG0004764	XP_039752088.1, XP_039750715.1, XP_039764410.1	HEL_008370-RA
OG0004765	XP_039765233.1	HEL_003265-RA
OG0004766	XP_039764557.1	HEL_003264-RA
OG0004768	XP_039753106.1	HEL_006739-RA
OG0004769	XP_039764520.1	HEL_003251-RA
OG0004770	XP_039764596.1	HEL_003245-RA
OG0004771	XP_039747323.1	HEL_011636-RA
OG0004772	XP_039765000.1	HEL_008459-RA
OG0004773	XP_039748002.1	HEL_008458-RA, HEL_008457-RA
OG0004774	XP_039746071.1	HEL_004518-RA
OG0004775	XP_039763854.1	HEL_007157-RA
OG0004776	XP_039750930.1	HEL_008443-RA, HEL_008444-RA
OG0004777	XP_039745359.1	HEL_013420-RA
OG0004778	XP_039764151.1	HEL_007158-RA
OG0004779	XP_039763498.1	HEL_008437-RA
OG0004780	XP_039762537.1	HEL_003229-RA, HEL_003230-RA, HEL_003231-RA
OG0004782	XP_039764156.1	HEL_007111-RA
OG0004783	XP_039764143.1	HEL_007119-RA
OG0004784	XP_039763522.1	HEL_007106-RA
OG0004785	XP_039763848.1	HEL_007101-RA
OG0004786	XP_039754214.1	HEL_006772-RA, HEL_006773-RA
OG0004787	XP_039755693.1	HEL_002927-RA, HEL_002925-RA
OG0004788	XP_039763531.1	HEL_007093-RA
OG0004789	XP_039763327.1, XP_039763326.1	HEL_007092-RA
OG0004790	XP_039763325.1	HEL_007091-RA
OG0004791	XP_039763274.1	HEL_007090-RA, HEL_007089-RA
OG0004792	XP_039753143.1	HEL_003560-RA
OG0004793	XP_039761300.1	HEL_004671-RA
OG0004796	XP_039762808.1	HEL_012968-RA, HEL_012969-RA
OG0004797	XP_039758951.1, XP_039758952.1, XP_039758954.1	HEL_006607-RA
OG0004798	XP_039748299.1, XP_039748301.1	HEL_011386-RA
OG0004800	XP_039759026.1, XP_039759025.1	HEL_006510-RA
OG0004803	XP_039761577.1, XP_039761576.1	HEL_005885-RA
OG0004804	XP_039758924.1	HEL_012771-RA
OG0004805	XP_039765431.1, XP_039765432.1, XP_039765433.1	HEL_013402-RA
OG0004806	XP_039758266.1	HEL_007252-RA, HEL_007250-RA
OG0004807	XP_039751885.1	HEL_006806-RA
OG0004808	XP_039756771.1	HEL_008912-RA, HEL_008909-RA, HEL_008908-RA, HEL_008913-RA
OG0004809	XP_039753325.1	HEL_011993-RA
OG0004812	XP_039751616.1, XP_039751618.1, XP_039751617.1	HEL_006299-RA
OG0004813	XP_039757013.1	HEL_012307-RA, HEL_012309-RA, HEL_012308-RA
OG0004814	XP_039747147.1, XP_039747148.1	HEL_011633-RA
OG0004815	XP_039746308.1	HEL_004477-RA
OG0004816	XP_039746762.1	HEL_010510-RA
OG0004817	XP_039761119.1	HEL_005398-RA
OG0004818	XP_039754242.1	HEL_007415-RA
OG0004819	XP_039749592.1	HEL_006114-RA
OG0004820	XP_039747614.1	HEL_000434-RA
OG0004822	XP_039746037.1	HEL_004455-RA
OG0004825	XP_039753308.1	HEL_012235-RA, HEL_012234-RA
OG0004826	XP_039757160.1, XP_039757161.1	HEL_013753-RA, HEL_013752-RA
OG0004827	XP_039748733.1	HEL_007657-RA, HEL_007658-RA
OG0004828	XP_039765467.1	HEL_001564-RA
OG0004829	XP_039760754.1, XP_039760738.1, XP_039760745.1	HEL_002743-RA
OG0004830	XP_039754262.1	HEL_007370-RA
OG0004831	XP_039764895.1	HEL_003136-RA
OG0004832	XP_039764623.1	HEL_003159-RA
OG0004839	XP_039748839.1	HEL_000119-RA
OG0004849	XP_039760532.1	HEL_011824-RA
OG0004850	XP_039755432.1	HEL_000835-RA
OG0004851	XP_039763768.1	HEL_013234-RA
OG0004852	XP_039747641.1	HEL_000445-RA
OG0004853	XP_039760750.1	HEL_011823-RA
OG0004854	XP_039760260.1	HEL_001908-RA, HEL_001913-RA
OG0004855	XP_039747161.1	HEL_010477-RA
OG0004856	XP_039747635.1	HEL_000446-RA
OG0004857	XP_039758091.1, XP_039758092.1	HEL_005067-RA
OG0004859	XP_039755043.1	HEL_005363-RA
OG0004860	XP_039760166.1	HEL_001907-RA, HEL_001912-RA
OG0004861	XP_039761001.1	HEL_005367-RA
OG0004862	XP_039759959.1	HEL_001910-RA
OG0004863	XP_039763762.1	HEL_010471-RA
OG0004864	XP_039749873.1	HEL_007725-RA
OG0004865	XP_039760869.1	HEL_011850-RA
OG0004866	XP_039758846.1	HEL_007348-RA
OG0004867	XP_039760545.1	HEL_004079-RA
OG0004868	XP_039765220.1	HEL_002224-RA
OG0004869	XP_039759784.1	HEL_001901-RA
OG0004871	XP_039745189.1	HEL_001694-RA
OG0004872	XP_039758623.1	HEL_007347-RA
OG0004873	XP_039761126.1	HEL_005369-RA
OG0004874	XP_039749158.1	HEL_007656-RA
OG0004875	XP_039755255.1	HEL_005358-RA
OG0004876	XP_039756627.1	HEL_012501-RA, HEL_012503-RA
OG0004877	XP_039749218.1	HEL_003425-RA
OG0004878	XP_039763582.1	HEL_004481-RA
OG0004879	XP_039758240.1	HEL_007339-RA
OG0004880	XP_039762320.1	HEL_004165-RA
OG0004881	XP_039751340.1	HEL_008065-RA
OG0004883	XP_039750680.1	HEL_011009-RA
OG0004884	XP_039758747.1	HEL_007338-RA
OG0004885	XP_039754931.1	HEL_005356-RA
OG0004886	XP_039763853.1	HEL_002228-RA
OG0004887	XP_039749165.1	HEL_007654-RA
OG0004888	XP_039756448.1	HEL_012505-RA
OG0004889	XP_039758466.1	HEL_007334-RA
OG0004890	XP_039749857.1	HEL_007746-RA
OG0004891	XP_039753382.1	HEL_003494-RA
OG0004892	XP_039751042.1	HEL_008067-RA
OG0004894	XP_039759212.1	HEL_014066-RA
OG0004895	XP_039756313.1	HEL_012508-RA
OG0004896	XP_039763650.1	HEL_009697-RA
OG0004897	XP_039755738.1	HEL_000692-RA
OG0004898	XP_039747036.1	HEL_010481-RA
OG0004899	XP_039748731.1	HEL_007642-RA
OG0004900	XP_039750476.1	HEL_011016-RA
OG0004901	XP_039754546.1	HEL_009464-RA
OG0004902	XP_039755068.1	HEL_005349-RA
OG0004904	XP_039753673.1	HEL_003488-RA
OG0004906	XP_039751794.1	HEL_012679-RA
OG0004907	XP_039761796.1	HEL_002188-RA
OG0004908	XP_039763264.1	HEL_009687-RA
OG0004909	XP_039751421.1	HEL_008071-RA
OG0004910	XP_039760188.1	HEL_001892-RA
OG0004911	XP_039759790.1	HEL_001891-RA
OG0004912	XP_039750470.1	HEL_011018-RA
OG0004913	XP_039761644.1	HEL_002189-RA
OG0004914	XP_039761757.1	HEL_002190-RA
OG0004915	XP_039750488.1	HEL_011019-RA
OG0004916	XP_039749002.1	HEL_007637-RA
OG0004917	XP_039752709.1	HEL_012682-RA
OG0004918	XP_039753861.1	HEL_009468-RA
OG0004919	XP_039752032.1	HEL_012684-RA
OG0004920	XP_039754321.1	HEL_009469-RA
OG0004921	XP_039749026.1	HEL_007636-RA
OG0004922	XP_039748718.1	HEL_007635-RA
OG0004923	XP_039756617.1	HEL_012509-RA
OG0004925	XP_039760203.1	HEL_001878-RA
OG0004926	XP_039759357.1	HEL_014065-RA
OG0004928	XP_039758445.1	HEL_007325-RA
OG0004929	XP_039760207.1	HEL_001877-RA
OG0004930	XP_039759649.1	HEL_014064-RA
OG0004931	XP_039759272.1	HEL_014063-RA
OG0004932	XP_039762779.1	HEL_013003-RA
OG0004933	XP_039752511.1	HEL_012689-RA
OG0004934	XP_039760614.1	HEL_009296-RA
OG0004935	XP_039755071.1	HEL_005342-RA
OG0004936	XP_039759312.1	HEL_014062-RA
OG0004937	XP_039756944.1	HEL_008958-RA
OG0004938	XP_039752514.1	HEL_012690-RA
OG0004939	XP_039750051.1	HEL_007745-RA
OG0004940	XP_039749515.1	HEL_003413-RA
OG0004941	XP_039761094.1	HEL_005371-RA
OG0004942	XP_039755333.1	HEL_000693-RA
OG0004943	XP_039760765.1	HEL_009293-RA
OG0004944	XP_039754241.1	HEL_009471-RA
OG0004945	XP_039760298.1	HEL_001916-RA
OG0004946	XP_039745736.1	HEL_004017-RA
OG0004947	XP_039753678.1	HEL_003475-RA
OG0004949	XP_039748534.1	HEL_007627-RA
OG0004950	XP_039760710.1	HEL_009289-RA
OG0004951	XP_039762194.1	HEL_004048-RA
OG0004952	XP_039754250.1	HEL_009474-RA
OG0004953	XP_039750075.1	HEL_007741-RA
OG0004954	XP_039748535.1	HEL_007630-RA
OG0004955	XP_039747162.1	HEL_010482-RA
OG0004956	XP_039752928.1	HEL_003474-RA
OG0004957	XP_039749885.1	HEL_007740-RA, HEL_007738-RA
OG0004958	XP_039749306.1	HEL_007632-RA
OG0004959	XP_039747448.1	HEL_010483-RA
OG0004960	XP_039746823.1	HEL_010484-RA
OG0004961	XP_039763167.1	HEL_009692-RA
OG0004962	XP_039749125.1	HEL_007633-RA
OG0004963	XP_039756306.1	HEL_006980-RA
OG0004964	XP_039755584.1	HEL_000699-RA
OG0004966	XP_039760816.1	HEL_009210-RA
OG0004968	XP_039754970.1	HEL_005333-RA
OG0004969	XP_039763857.1	HEL_012099-RA
OG0004970	XP_039750366.1	HEL_011025-RA
OG0004971	XP_039752343.1	HEL_012677-RA
OG0004972	XP_039751161.1	HEL_010160-RA
OG0004973	XP_039759964.1	HEL_001873-RA
OG0004974	XP_039752352.1	HEL_012676-RA
OG0004975	XP_039755059.1	HEL_005326-RA
OG0004976	XP_039745823.1	HEL_003396-RA
OG0004977	XP_039755057.1	HEL_005325-RA
OG0004979	XP_039755083.1	HEL_005323-RA
OG0004980	XP_039750978.1	HEL_010157-RA
OG0004981	XP_039750713.1	HEL_011027-RA
OG0004982	XP_039756527.1	HEL_012514-RA
OG0004983	XP_039760974.1	HEL_005376-RA
OG0004984	XP_039765579.1	HEL_001717-RA
OG0004985	XP_039756709.1	HEL_012515-RA
OG0004986	XP_039750085.1	HEL_007735-RA
OG0004987	XP_039756182.1	HEL_012516-RA
OG0004988	XP_039750666.1	HEL_011030-RA
OG0004989	XP_039756538.1	HEL_012517-RA
OG0004990	XP_039751405.1	HEL_010176-RA
OG0004992	XP_039756086.1	HEL_012519-RA
OG0004993	XP_039755893.1	HEL_000707-RA
OG0004994	XP_039753300.1	HEL_003459-RA
OG0004995	XP_039755560.1	HEL_000708-RA
OG0004996	XP_039764227.1	HEL_002239-RA
OG0004997	XP_039764633.1	HEL_002240-RA
OG0004998	XP_039755241.1	HEL_005320-RA
OG0005000	XP_039748566.1	HEL_003391-RA
OG0005001	XP_039751476.1	HEL_008353-RA
OG0005002	XP_039755915.1	HEL_000715-RA
OG0005003	XP_039755877.1	HEL_000716-RA
OG0005004	XP_039750325.1	HEL_003389-RA
OG0005005	XP_039755762.1	HEL_000717-RA
OG0005006	XP_039755881.1	HEL_000721-RA
OG0005007	XP_039764547.1	HEL_002241-RA
OG0005008	XP_039751474.1	HEL_010177-RA
OG0005009	XP_039761014.1, XP_039761015.1	HEL_005383-RA
OG0005010	XP_039755857.1	HEL_000720-RA
OG0005011	XP_039755418.1, XP_039755419.1	HEL_000718-RA
OG0005012	XP_039746327.1	HEL_004001-RA
OG0005013	XP_039762177.1	HEL_004028-RA
OG0005015	XP_039745655.1	HEL_003998-RA
OG0005016	XP_039749332.1	HEL_003386-RA
OG0005017	XP_039761610.1	HEL_002196-RA
OG0005018	XP_039760846.1	HEL_009216-RA
OG0005019	XP_039754138.1	HEL_009483-RA
OG0005020	XP_039756634.1	HEL_012522-RA
OG0005021	XP_039756618.1	HEL_012523-RA
OG0005022	XP_039753953.1	HEL_009484-RA
OG0005023	XP_039756491.1	HEL_012525-RA
OG0005024	XP_039753951.1	HEL_009485-RA
OG0005025	XP_039746264.1	HEL_003994-RA
OG0005026	XP_039753954.1	HEL_009486-RA
OG0005027	XP_039751652.1	HEL_010179-RA
OG0005028	XP_039745780.1	HEL_003992-RA
OG0005029	XP_039745779.1	HEL_003991-RA
OG0005030	XP_039761427.1	HEL_002198-RA
OG0005031	XP_039760812.1	HEL_009222-RA
OG0005032	XP_039756042.1	HEL_012534-RA
OG0005033	XP_039756489.1	HEL_012535-RA
OG0005034	XP_039745032.1	HEL_001713-RA
OG0005036	XP_039761456.1	HEL_006993-RA
OG0005037	XP_039760299.1	HEL_001861-RA
OG0005038	XP_039760108.1	HEL_001860-RA
OG0005039	XP_039761174.1	HEL_005385-RA
OG0005040	XP_039745782.1	HEL_003990-RA
OG0005041	XP_039762305.1	HEL_004029-RA
OG0005042	XP_039764953.1	HEL_002245-RA
OG0005043	XP_039748055.1	HEL_000458-RA
OG0005044	XP_039758894.1	HEL_003379-RA
OG0005045	XP_039762431.1	HEL_004030-RA
OG0005047	XP_039759213.1	HEL_003378-RA
OG0005048	XP_039746138.1	HEL_003988-RA
OG0005049	XP_039759091.1	HEL_003377-RA
OG0005050	XP_039761536.1, XP_039761537.1	HEL_002201-RA
OG0005051	XP_039754933.1	HEL_005315-RA, HEL_005316-RA
OG0005052	XP_039746340.1	HEL_003376-RA
OG0005053	XP_039760092.1	HEL_002037-RA
OG0005054	XP_039760109.1	HEL_002038-RA
OG0005055	XP_039750074.1	HEL_007734-RA
OG0005056	XP_039747063.1	HEL_010487-RA
OG0005057	XP_039756298.1	HEL_012537-RA
OG0005059	XP_039765739.1	HEL_001711-RA
OG0005061	XP_039753532.1	HEL_003450-RA
OG0005062	XP_039749314.1	HEL_007614-RA
OG0005063	XP_039745981.1	HEL_003984-RA
OG0005064	XP_039759149.1	HEL_014449-RA
OG0005065	XP_039760785.1	HEL_009231-RA
OG0005066	XP_039759758.1	HEL_002042-RA
OG0005067	XP_039761718.1	HEL_002202-RA
OG0005068	XP_039761716.1	HEL_002204-RA
OG0005069	XP_039759756.1	HEL_002043-RA
OG0005070	XP_039759218.1	HEL_014451-RA
OG0005071	XP_039755454.1	HEL_000726-RA
OG0005072	XP_039747367.1	HEL_010488-RA
OG0005073	XP_039755763.1	HEL_000728-RA
OG0005074	XP_039757065.1	HEL_008936-RA, HEL_008937-RA
OG0005075	XP_039759107.1	HEL_014452-RA
OG0005076	XP_039755092.1	HEL_005308-RA, HEL_005309-RA
OG0005077	XP_039753754.1	HEL_010238-RA
OG0005078	XP_039761411.1	HEL_002205-RA
OG0005079	XP_039753527.1	HEL_003443-RA
OG0005080	XP_039746218.1	HEL_003983-RA
OG0005081	XP_039765058.1	HEL_002248-RA
OG0005083	XP_039748039.1	HEL_000466-RA
OG0005084	XP_039765225.1	HEL_002249-RA
OG0005085	XP_039762506.1	HEL_011677-RA
OG0005086	XP_039759011.1	HEL_014458-RA
OG0005087	XP_039759009.1	HEL_014459-RA
OG0005088	XP_039756136.1	HEL_012542-RA
OG0005090	XP_039754205.1	HEL_010239-RA
OG0005091	XP_039756137.1	HEL_012543-RA
OG0005092	XP_039756063.1	HEL_012544-RA
OG0005093	XP_039754123.1	HEL_010242-RA
OG0005094	XP_039759997.1	HEL_002049-RA
OG0005095	XP_039761295.1	HEL_005393-RA
OG0005096	XP_039757885.1, XP_039758026.1	HEL_005088-RA
OG0005097	XP_039755940.1	HEL_000731-RA
OG0005098	XP_039755939.1	HEL_000733-RA
OG0005099	XP_039746990.1	HEL_010489-RA
OG0005100	XP_039756444.1	HEL_012545-RA
OG0005101	XP_039756289.1	HEL_012546-RA
OG0005102	XP_039759412.1	HEL_014463-RA
OG0005103	XP_039758768.1	HEL_013868-RA
OG0005104	XP_039755707.1	HEL_000734-RA
OG0005106	XP_039756135.1	HEL_012547-RA
OG0005107	XP_039759992.1	HEL_002052-RA
OG0005108	XP_039752175.1	HEL_012654-RA
OG0005109	XP_039755726.1	HEL_000736-RA
OG0005110	XP_039763236.1	HEL_010423-RA
OG0005111	XP_039752060.1	HEL_012653-RA
OG0005112	XP_039756305.1	HEL_012550-RA
OG0005113	XP_039760221.1	HEL_002053-RA
OG0005114	XP_039752485.1	HEL_012651-RA
OG0005115	XP_039759986.1	HEL_002055-RA
OG0005116	XP_039756554.1	HEL_012552-RA
OG0005117	XP_039754821.1	HEL_005296-RA
OG0005118	XP_039754984.1	HEL_005288-RA
OG0005119	XP_039764836.1	HEL_002253-RA
OG0005120	XP_039755085.1	HEL_005287-RA
OG0005121	XP_039765044.1	HEL_002254-RA
OG0005122	XP_039754883.1	HEL_005285-RA
OG0005123	XP_039751722.1	HEL_010182-RA
OG0005124	XP_039761544.1	HEL_002213-RA
OG0005125	XP_039760003.1	HEL_002061-RA
OG0005126	XP_039765927.1	HEL_003358-RA
OG0005127	XP_039748776.1	HEL_003357-RA
OG0005128	XP_039762792.1	HEL_011671-RA
OG0005129	XP_039765142.1	HEL_002257-RA
OG0005130	XP_039754839.1	HEL_012398-RA
OG0005131	XP_039754709.1	HEL_005284-RA
OG0005132	XP_039748988.1	HEL_007601-RA
OG0005134	XP_039762221.1	HEL_004058-RA
OG0005135	XP_039754975.1	HEL_005282-RA, HEL_005281-RA
OG0005136	XP_039749135.1	HEL_007600-RA
OG0005137	XP_039753414.1	HEL_003500-RA
OG0005138	XP_039753012.1	HEL_003501-RA
OG0005139	XP_039755037.1	HEL_005279-RA
OG0005140	XP_039762000.1	HEL_004057-RA
OG0005141	XP_039751518.1	HEL_010183-RA
OG0005142	XP_039765133.1	HEL_002258-RA
OG0005143	XP_039755086.1	HEL_005278-RA
OG0005144	XP_039751397.1	HEL_010184-RA
OG0005145	XP_039765239.1	HEL_002259-RA
OG0005146	XP_039759558.1	HEL_014466-RA
OG0005148	XP_039765846.1	HEL_001722-RA
OG0005149	XP_039753651.1	HEL_003503-RA
OG0005150	XP_039746963.1	HEL_010496-RA
OG0005151	XP_039765064.1	HEL_002261-RA
OG0005152	XP_039753230.1	HEL_003504-RA
OG0005153	XP_039750989.1	HEL_010189-RA
OG0005154	XP_039757051.1	HEL_008916-RA
OG0005155	XP_039757875.1	HEL_005096-RA
OG0005156	XP_039763746.1	HEL_013237-RA
OG0005157	XP_039756942.1	HEL_012402-RA
OG0005158	XP_039758104.1	HEL_005098-RA
OG0005159	XP_039746734.1	HEL_010507-RA
OG0005160	XP_039759546.1	HEL_012403-RA
OG0005161	XP_039756770.1	HEL_008915-RA
OG0005162	XP_039750990.1	HEL_010191-RA
OG0005163	XP_039763192.1	HEL_013236-RA
OG0005165	XP_039751695.1	HEL_010192-RA
OG0005166	XP_039764702.1	HEL_002263-RA
OG0005167	XP_039747339.1	HEL_010509-RA
OG0005168	XP_039745867.1	HEL_003979-RA
OG0005169	XP_039745087.1	HEL_001726-RA, HEL_001725-RA
OG0005170	XP_039746088.1	HEL_003978-RA
OG0005171	XP_039762799.1	HEL_011668-RA
OG0005172	XP_039765830.1	HEL_001727-RA
OG0005173	XP_039755207.1	HEL_005275-RA
OG0005174	XP_039757444.1	HEL_005101-RA
OG0005175	XP_039761921.1	HEL_004066-RA
OG0005176	XP_039760726.1	HEL_012404-RA
OG0005178	XP_039748115.1	HEL_000467-RA
OG0005179	XP_039757532.1	HEL_005103-RA
