Orthogroup	Pararge_aegeria	Heliconius_melpomene_melpomene
OG0003841	XP_039753452.1	HMEL031629g1.t1
OG0003842	XP_039745219.1	HMEL006551g1.t1
OG0003843	XP_039760773.1	HMEL010653g1.t1
OG0003844	XP_039749301.1	HMEL007837g1.t1
OG0003845	XP_039753453.1	HMEL031628g1.t1
OG0003846	XP_039751437.1, XP_039751526.1	HMEL004306g1.t1
OG0003847	XP_039747733.1	HMEL010309g1.t1
OG0003848	XP_039749305.1, XP_039749304.1	HMEL007838g1.t1
OG0003849	XP_039748302.1	HMEL010308g1.t1
OG0003850	XP_039761128.1	HMEL015847g1.t1
OG0003851	XP_039753662.1	HMEL031626g1.t1
OG0003852	XP_039750581.1	HMEL006041g1.t1
OG0003853	XP_039754917.1	HMEL015751g1.t1
OG0003854	XP_039755541.1	HMEL037573g1.t1
OG0003855	XP_039750651.1	HMEL036106g1.t1
OG0003856	XP_039753342.1	HMEL017575-RA
OG0003857	XP_039762583.1	HMEL037187g1.t1
OG0003858	XP_039760347.1	HMEL008472g1.t1
OG0003859	XP_039745966.1	HMEL033867g1.t1
OG0003860	XP_039755098.1	HMEL034327g1.t1
OG0003861	XP_039764283.1, XP_039750355.1	HMEL006046g1.t1
OG0003862	XP_039747142.1	HMEL012277g1.t1
OG0003863	XP_039746448.1	HMEL004810g1.t1
OG0003864	XP_039745263.1	HMEL006557g1.t1
OG0003865	XP_039752411.1	HMEL030782g1.t1
OG0003866	XP_039750039.1	HMEL003208-RA
OG0003867	XP_039755025.1	HMEL034324g1.t1
OG0003868	XP_039747697.1	HMEL007128g1.t1
OG0003869	XP_039750204.1	HMEL036110g1.t1
OG0003870	XP_039749582.1	HMEL003206g1.t1
OG0003871	XP_039762550.1	HMEL014272g1.t1
OG0003872	XP_039747563.1	HMEL007132g1.t1
OG0003873	XP_039756445.1	HMEL036641g1.t1
OG0003874	XP_039751965.1, XP_039751964.1	HMEL015030g1.t1
OG0003875	XP_039747570.1	HMEL037407g1.t1
OG0003876	XP_039760415.1	HMEL010662g1.t1
OG0003877	XP_039764912.1	HMEL012437g1.t1
OG0003878	XP_039749919.1	HMEL002773g1.t1
OG0003879	XP_039762881.1	HMEL014270g1.t1
OG0003880	XP_039756629.1	HMEL003429g1.t1
OG0003881	XP_039760416.1	HMEL010664g1.t1
OG0003882	XP_039747644.1	HMEL009324g1.t1
OG0003883	XP_039746480.1	HMEL016161g1.t1
OG0003884	XP_039749284.1	HMEL010107g1.t1
OG0003885	XP_039749018.1	HMEL010105g1.t1
OG0003886	XP_039751332.1	HMEL031352g1.t1
OG0003888	XP_039754550.1	HMEL005928g1.t1
OG0003889	XP_039753329.1	HMEL017585g1.t1
OG0003890	XP_039751278.1	HMEL004486g1.t1
OG0003891	XP_039755316.1	HMEL007901g1.t1
OG0003892	XP_039756017.1	HMEL008354g1.t1
OG0003893	XP_039747910.1	HMEL037416g1.t1
OG0003894	XP_039759549.1	HMEL032539g1.t1
OG0003895	XP_039760418.1	HMEL010671g1.t1
OG0003896	XP_039748446.1	HMEL007856-RA
OG0003897	XP_039752813.1	HMEL022008g1.t1
OG0003899	XP_039746534.1	HMEL031355g1.t1
OG0003900	XP_039748448.1	HMEL003058-RA
OG0003901	XP_039752944.1	HMEL017588g1.t1
OG0003902	XP_039748461.1	HMEL009336g1.t1
OG0003903	XP_039763499.1	HMEL008463g1.t1
OG0003904	XP_039754659.1	HMEL006496g1.t1
OG0003905	XP_039753276.1	HMEL017590g1.t1
OG0003906	XP_039755837.1	HMEL007904g1.t1
OG0003907	XP_039745791.1	HMEL033855g1.t1
OG0003908	XP_039763554.1	HMEL018050g1.t1
OG0003909	XP_039759854.1	HMEL002199g1.t1
OG0003910	XP_039764942.1, XP_039764941.1	HMEL012454g1.t1
OG0003911	XP_039763957.1	HMEL002163g1.t1
OG0003912	XP_039765050.1, XP_039765049.1	HMEL012456g1.t1
OG0003913	XP_039762517.1	HMEL011508g1.t1
OG0003914	XP_039756399.1	HMEL008933g1.t1
OG0003915	XP_039758150.1	HMEL009961g1.t1
OG0003916	XP_039752547.1	HMEL035318g1.t1
OG0003917	XP_039761166.1	HMEL016600g1.t1
OG0003918	XP_039750375.1	HMEL036098g1.t1
OG0003920	XP_039759809.1, XP_039759810.1	HMEL002202g1.t1
OG0003922	XP_039749138.1	HMEL011807g1.t1
OG0003923	XP_039763254.1	HMEL002165g1.t1
OG0003924	XP_039763257.1	HMEL002166g1.t1
OG0003925	XP_039759955.1	HMEL002204g1.t1
OG0003926	XP_039755629.1	HMEL005477g1.t1
OG0003927	XP_039765816.1	HMEL013080g1.t1
OG0003928	XP_039759308.1, XP_039759307.1	HMEL032575g1.t1
OG0003929	XP_039763954.1	HMEL002167g1.t1
OG0003930	XP_039764490.1	HMEL012463g1.t1
OG0003931	XP_039759884.1	HMEL002205g1.t1
OG0003932	XP_039749121.1	HMEL031893g1.t1
OG0003933	XP_039764881.1	HMEL030240g1.t1
OG0003934	XP_039752347.1	HMEL014879g1.t1
OG0003935	XP_039753682.1	HMEL006709g1.t1
OG0003936	XP_039753670.1, XP_039753661.1	HMEL006710g1.t1
OG0003937	XP_039745116.1	HMEL013081-RA
OG0003939	XP_039747691.1	HMEL032178g1.t1
OG0003940	XP_039758546.1	HMEL036486g1.t1
OG0003941	XP_039756992.1	HMEL033643g1.t1
OG0003942	XP_039747369.1, XP_039747379.1	HMEL007959g1.t1
OG0003943	XP_039757700.1	HMEL013039g1.t1, HMEL017963g1.t1
OG0003944	XP_039750201.1	HMEL021532g1.t1, HMEL036129g1.t1
OG0003945	XP_039758690.1	HMEL007156g1.t1
OG0003947	XP_039749922.1	HMEL005355g1.t1
OG0003948	XP_039761196.1	HMEL009223g1.t1
OG0003949	XP_039757877.1	HMEL006719g1.t1
OG0003950	XP_039748479.1	HMEL009348g1.t1
OG0003951	XP_039754402.1	HMEL016735g1.t1
OG0003952	XP_039765468.1	HMEL031156g1.t1
OG0003953	XP_039763128.1	HMEL007536g1.t1
OG0003954	XP_039749050.1	HMEL011325g1.t1
OG0003955	XP_039764581.1	HMEL030247g1.t1
OG0003956	XP_039748143.1	HMEL009352g1.t1
OG0003957	XP_039762336.1	HMEL004581g1.t1
OG0003958	XP_039764769.1	HMEL012479g1.t1
OG0003959	XP_039747817.1	HMEL009354g1.t1
OG0003960	XP_039748945.1	HMEL032380g1.t1, HMEL031897g1.t1
OG0003961	XP_039754667.1	HMEL015332g1.t1
OG0003962	XP_039747736.1	HMEL007546g1.t1, HMEL032125g1.t1
OG0003963	XP_039755569.1	HMEL037550g1.t1, HMEL022457g1.t1
OG0003964	XP_039753867.1	HMEL016737g1.t1
OG0003965	XP_039758522.1	HMEL009923g1.t1
OG0003966	XP_039762158.1	HMEL004437g1.t1
OG0003967	XP_039749081.1	HMEL002519g1.t1
OG0003968	XP_039746348.1	HMEL010418g1.t1
OG0003969	XP_039757765.1	HMEL037922g1.t1
OG0003970	XP_039748049.1	HMEL009358g1.t1
OG0003971	XP_039764066.1, XP_039764057.1	HMEL012487g1.t1
OG0003972	XP_039749645.1, XP_039749646.1	HMEL005357g1.t1
OG0003973	XP_039752487.1	HMEL014155-RA
OG0003974	XP_039759179.1	HMEL032550g1.t1
OG0003975	XP_039755297.1	HMEL017907g1.t1
OG0003976	XP_039753001.1	HMEL012939g1.t1
OG0003977	XP_039765008.1	HMEL012491g1.t1
OG0003978	XP_039747632.1	HMEL032128g1.t1
OG0003979	XP_039753004.1	HMEL033375g1.t1, HMEL007084g1.t1
OG0003981	XP_039753707.1	HMEL012941g1.t1
OG0003982	XP_039747552.1	HMEL032129g1.t1
OG0003983	XP_039761983.1	HMEL034107g1.t1
OG0003984	XP_039752901.1	HMEL012942g1.t1
OG0003985	XP_039749543.1	HMEL005361g1.t1
OG0003986	XP_039754877.1	HMEL009759g1.t1
OG0003987	XP_039751101.1	HMEL020543g1.t1
OG0003989	XP_039747680.1	HMEL008441g1.t1
OG0003990	XP_039757937.1	HMEL031394g1.t1, HMEL035610g1.t1
OG0003991	XP_039748522.1, XP_039748523.1	HMEL031904g1.t1
OG0003992	XP_039756984.1, XP_039756983.1	HMEL010222g1.t1
OG0003993	XP_039761139.1, XP_039761138.1	HMEL034492g1.t1
OG0003994	XP_039747681.1	HMEL008442g1.t1
OG0003995	XP_039762092.1	HMEL004430g1.t1
OG0003996	XP_039756511.1	HMEL002495g1.t1
OG0003997	XP_039762414.1	HMEL004427g1.t1
OG0003998	XP_039753353.1	HMEL012951g1.t1
OG0003999	XP_039762220.1	HMEL034114g1.t1
OG0004000	XP_039752922.1	HMEL012954-RA, HMEL012955-RA
OG0004001	XP_039762433.1	HMEL007792g1.t1
OG0004002	XP_039754613.1	HMEL009749g1.t1
OG0004003	XP_039755601.1, XP_039755600.1	HMEL037545g1.t1
OG0004004	XP_039751188.1	HMEL034800g1.t1
OG0004005	XP_039748605.1	HMEL012816g1.t1
OG0004006	XP_039763166.1	HMEL035632g1.t1
OG0004007	XP_039755662.1	HMEL037544g1.t1
OG0004008	XP_039756765.1	HMEL003575g1.t1
OG0004009	XP_039754063.1	HMEL008266g1.t1
OG0004010	XP_039745812.1	HMEL033844g1.t1
OG0004011	XP_039761256.1	HMEL009230g1.t1
OG0004012	XP_039759851.1, XP_039759860.1	HMEL003037g1.t1
OG0004013	XP_039747884.1	HMEL010994g1.t1
OG0004014	XP_039758277.1	HMEL036506g1.t1
OG0004015	XP_039755350.1	HMEL010032g1.t1
OG0004016	XP_039763433.1, XP_039763432.1	HMEL014711g1.t1
OG0004017	XP_039746844.1, XP_039746845.1, XP_039746843.1	HMEL035112g1.t1
OG0004018	XP_039751661.1	HMEL034798g1.t1
OG0004019	XP_039764491.1	HMEL009379g1.t1
OG0004020	XP_039745822.1	HMEL033837g1.t1
OG0004021	XP_039752356.1	HMEL008336g1.t1
OG0004023	XP_039745497.1	HMEL031139g1.t1
OG0004024	XP_039758176.1	HMEL009106-RA
OG0004025	XP_039752257.1	HMEL008324g1.t1
OG0004026	XP_039748404.1, XP_039748405.1	HMEL032141g1.t1
OG0004027	XP_039748876.1	HMEL014206g1.t1
OG0004028	XP_039757679.1	HMEL005691g1.t1
OG0004029	XP_039751977.1	HMEL015526g1.t1
OG0004030	XP_039751261.1	HMEL012207g1.t1, HMEL034796g1.t1
OG0004031	XP_039747921.1	HMEL015859g1.t1
OG0004032	XP_039746807.1	HMEL003912g1.t1
OG0004033	XP_039749143.1	HMEL031910g1.t1
OG0004034	XP_039751264.1	HMEL022078g1.t1
OG0004035	XP_039756386.1, XP_039756385.1	HMEL012246g1.t1
OG0004036	XP_039765788.1	HMEL015686g1.t1
OG0004037	XP_039756046.1	HMEL012245g1.t1
OG0004038	XP_039748462.1	HMEL015863g1.t1
OG0004039	XP_039747447.1, XP_039747446.1, XP_039747445.1	HMEL005037g1.t1
OG0004040	XP_039762083.1	HMEL034116g1.t1
OG0004041	XP_039762082.1	HMEL014232g1.t1
OG0004043	XP_039747844.1	HMEL015869g1.t1
OG0004044	XP_039761980.1	HMEL014227g1.t1
OG0004045	XP_039759619.1	HMEL032615g1.t1
OG0004046	XP_039755114.1, XP_039755115.1	HMEL002568g1.t1
OG0004047	XP_039759513.1	HMEL006934g1.t1, HMEL006933g1.t1
OG0004048	XP_039757965.1	HMEL005696g1.t1
OG0004049	XP_039747843.1	HMEL015865g1.t1
OG0004050	XP_039761072.1	HMEL013933g1.t1
OG0004051	XP_039762114.1	HMEL034120g1.t1
OG0004052	XP_039748262.1	HMEL015871g1.t1
OG0004053	XP_039760276.1	HMEL006940g1.t1
OG0004054	XP_039745307.1	HMEL015677g1.t1
OG0004055	XP_039757895.1	HMEL014961g1.t1
OG0004056	XP_039747892.1	HMEL015874g1.t1
OG0004057	XP_039756073.1	HMEL035753g1.t1
OG0004058	XP_039764180.1	HMEL013869g1.t1
OG0004059	XP_039749781.1	HMEL037034g1.t1
OG0004060	XP_039746357.1	HMEL005246g1.t1
OG0004061	XP_039750804.1	HMEL036114g1.t1
OG0004063	XP_039757119.1	HMEL004849g1.t1
OG0004064	XP_039756914.1	HMEL004848g1.t1
OG0004065	XP_039745367.1	HMEL015692-RA
OG0004066	XP_039750803.1, XP_039750802.1	HMEL007864g1.t1
OG0004067	XP_039758133.1	HMEL038094g1.t1
OG0004068	XP_039754177.1	HMEL007015g1.t1
OG0004069	XP_039745852.1	HMEL005244g1.t1
OG0004070	XP_039749065.1	HMEL007072g1.t1
OG0004071	XP_039763674.1	HMEL013875g1.t1
OG0004072	XP_039759439.1	HMEL016341g1.t1
OG0004073	XP_039754564.1	HMEL007012g1.t1
OG0004074	XP_039759384.1	HMEL032627g1.t1
OG0004075	XP_039757731.1	HMEL038093g1.t1
OG0004077	XP_039764011.1	HMEL012073g1.t1
OG0004078	XP_039746291.1	HMEL031324g1.t1
OG0004079	XP_039746811.1	HMEL012106g1.t1
OG0004080	XP_039751674.1	HMEL034791g1.t1
OG0004081	XP_039760848.1	HMEL016865g1.t1
OG0004082	XP_039749029.1, XP_039749028.1	HMEL005033g1.t1
OG0004083	XP_039745626.1	HMEL005235g1.t1
OG0004084	XP_039759515.1	HMEL016336g1.t1
OG0004085	XP_039745617.1	HMEL005232g1.t1
OG0004086	XP_039761772.1	HMEL003792g1.t1
OG0004087	XP_039748292.1	HMEL013751g1.t1
OG0004088	XP_039755131.1, XP_039755130.1	HMEL006510g1.t1
OG0004089	XP_039745670.1	HMEL014847g1.t1
OG0004092	XP_039757313.1	HMEL017313g1.t1
OG0004093	XP_039752167.1	HMEL003562g1.t1
OG0004094	XP_039759436.1	HMEL016108-RA
OG0004095	XP_039745991.1	HMEL014850g1.t1
OG0004097	XP_039755405.1, XP_039755406.1	HMEL037697g1.t1
OG0004098	XP_039754089.1	HMEL010775g1.t1
OG0004099	XP_039745090.1	HMEL006265g1.t1
OG0004100	XP_039761123.1	HMEL034529g1.t1
OG0004101	XP_039761774.1	HMEL015660g1.t1
OG0004103	XP_039755164.1	HMEL014940g1.t1
OG0004104	XP_039754440.1	HMEL002318g1.t1
OG0004105	XP_039754338.1	HMEL032783g1.t1
OG0004106	XP_039745186.1	HMEL031129g1.t1, HMEL006259g1.t1
OG0004107	XP_039760500.1	HMEL013352g1.t1
OG0004108	XP_039745642.1	HMEL014859g1.t1
OG0004109	XP_039757691.1	HMEL013351-RA
OG0004110	XP_039746410.1, XP_039746411.1	HMEL014861g1.t1
OG0004111	XP_039754213.1	HMEL004154g1.t1
OG0004112	XP_039745264.1	HMEL031128g1.t1
OG0004113	XP_039759219.1	HMEL004625-RA
OG0004114	XP_039745337.1	HMEL006252g1.t1
OG0004115	XP_039747654.1	HMEL032152g1.t1
OG0004116	XP_039760903.1	HMEL013350g1.t1
OG0004117	XP_039747873.1	HMEL013793g1.t1
OG0004118	XP_039761585.1	HMEL014542g1.t1
OG0004119	XP_039748643.1, XP_039748642.1	HMEL016929g1.t1
OG0004120	XP_039759390.1	HMEL009243g1.t1
OG0004121	XP_039753967.1	HMEL005391g1.t1
OG0004122	XP_039756035.1	HMEL008935g1.t1
OG0004123	XP_039761784.1	HMEL014541g1.t1
OG0004124	XP_039748503.1	HMEL016924g1.t1
OG0004125	XP_039761361.1	HMEL034525g1.t1
OG0004126	XP_039761315.1	HMEL002967g1.t1
OG0004127	XP_039754130.1	HMEL005384g1.t1
OG0004128	XP_039758146.1	HMEL038075g1.t1
OG0004129	XP_039745080.1	HMEL006247g1.t1
OG0004130	XP_039746973.1	HMEL005873g1.t1
OG0004131	XP_039751538.1	HMEL012862g1.t1
OG0004132	XP_039756300.1	HMEL036736g1.t1
OG0004133	XP_039757538.1	HMEL038006g1.t1, HMEL010036g1.t1
OG0004134	XP_039748693.1	HMEL031942g1.t1, HMEL016920g1.t1
OG0004136	XP_039757539.1	HMEL038007g1.t1, HMEL010037g1.t1
OG0004137	XP_039757537.1	HMEL038078g1.t1, HMEL038087g1.t1
OG0004138	XP_039757702.1	HMEL010039g1.t1, HMEL038079g1.t1
OG0004139	XP_039747754.1	HMEL014714g1.t1
OG0004141	XP_039753234.1, XP_039753235.1	HMEL031603g1.t1
OG0004142	XP_039758574.1	HMEL006737g1.t1
OG0004143	XP_039765638.1	HMEL005871g1.t1
OG0004144	XP_039758200.1	HMEL036528g1.t1
OG0004145	XP_039756490.1	HMEL011595g1.t1, HMEL036873g1.t1
OG0004146	XP_039765854.1	HMEL006240g1.t1
OG0004147	XP_039757016.1	HMEL033516g1.t1
OG0004148	XP_039748826.1	HMEL031947g1.t1
OG0004149	XP_039751597.1	HMEL034787g1.t1
OG0004150	XP_039753278.1	HMEL012696g1.t1
OG0004151	XP_039757723.1	HMEL038008g1.t1, HMEL038082g1.t1
OG0004152	XP_039754800.1	HMEL010970g1.t1
OG0004154	XP_039763153.1	HMEL013507g1.t1
OG0004155	XP_039763157.1, XP_039763158.1	HMEL013504g1.t1
OG0004156	XP_039752397.1	HMEL010496g1.t1
OG0004157	XP_039752268.1	HMEL010495g1.t1
OG0004158	XP_039746605.1	HMEL005746g1.t1
OG0004159	XP_039745772.1	HMEL018072g1.t1
OG0004160	XP_039753731.1	HMEL013329g1.t1
OG0004161	XP_039748892.1	HMEL031950g1.t1
OG0004163	XP_039753427.1, XP_039753428.1	HMEL031601g1.t1
OG0004164	XP_039753120.1	HMEL012042g1.t1, HMEL012700g1.t1
OG0004166	XP_039753312.1	HMEL031598g1.t1
OG0004168	XP_039748157.1	HMEL032159g1.t1
OG0004169	XP_039749449.1	HMEL016793g1.t1
OG0004170	XP_039763322.1	HMEL013494g1.t1, HMEL013493g1.t1
OG0004171	XP_039745741.1	HMEL033813g1.t1
OG0004172	XP_039757362.1	HMEL008830g1.t1
OG0004174	XP_039751855.1	HMEL006876g1.t1
OG0004175	XP_039761299.1	HMEL004225g1.t1
OG0004177	XP_039754271.1	HMEL010407g1.t1
OG0004178	XP_039749934.1	HMEL016796g1.t1
OG0004179	XP_039745466.1	HMEL006897g1.t1
OG0004180	XP_039747314.1, XP_039747316.1, XP_039747315.1	HMEL021624g1.t1
OG0004181	XP_039753865.1	HMEL004962g1.t1
OG0004182	XP_039747714.1	HMEL003283g1.t1
OG0004183	XP_039760364.1	HMEL013324g1.t1
OG0004184	XP_039748644.1	HMEL031997g1.t1
OG0004185	XP_039761042.1	HMEL003745g1.t1
OG0004186	XP_039754469.1	HMEL013320g1.t1
OG0004187	XP_039763789.1, XP_039763788.1	HMEL007274g1.t1
OG0004188	XP_039758779.1	HMEL036543g1.t1
OG0004189	XP_039748253.1	HMEL012885g1.t1
OG0004190	XP_039756476.1	HMEL022431g1.t1
OG0004191	XP_039763454.1	HMEL007275g1.t1
OG0004193	XP_039757665.1	HMEL038066g1.t1
OG0004194	XP_039761542.1	HMEL030086g1.t1
OG0004195	XP_039752366.1, XP_039752350.1	HMEL013316g1.t1
OG0004197	XP_039765511.1	HMEL003349g1.t1
OG0004198	XP_039758662.1	HMEL005214g1.t1
OG0004199	XP_039760806.1	HMEL016896g1.t1
OG0004200	XP_039758166.1	HMEL038055g1.t1, HMEL038054g1.t1, HMEL021046g1.t1
OG0004202	XP_039751139.1, XP_039751138.1	HMEL008275g1.t1
OG0004203	XP_039757853.1	HMEL005100g1.t1
OG0004204	XP_039763170.1	HMEL007284g1.t1
OG0004205	XP_039758246.1	HMEL021069g1.t1
OG0004206	XP_039758124.1, XP_039758123.1	HMEL038048g1.t1
OG0004207	XP_039748924.1, XP_039748921.1, XP_039748922.1	HMEL018033g1.t1
OG0004208	XP_039763750.1	HMEL007286g1.t1
OG0004209	XP_039748313.1	HMEL005490g1.t1
OG0004210	XP_039757879.1	HMEL005094g1.t1
OG0004211	XP_039765476.1	HMEL015168g1.t1
OG0004212	XP_039761925.1	HMEL013311g1.t1
OG0004213	XP_039749539.1	HMEL002931g1.t1
OG0004214	XP_039758448.1	HMEL007999g1.t1
OG0004215	XP_039747987.1	HMEL005492g1.t1
OG0004216	XP_039755113.1	HMEL006744g1.t1
OG0004217	XP_039765069.1	HMEL002291g1.t1
OG0004218	XP_039760612.1, XP_039760611.1	HMEL016905g1.t1
OG0004219	XP_039751117.1	HMEL034747g1.t1
OG0004220	XP_039759473.1	HMEL032593g1.t1
OG0004221	XP_039758058.1	HMEL038045g1.t1
OG0004222	XP_039758748.1	HMEL009845g1.t1
OG0004223	XP_039757832.1	HMEL021271g1.t1, HMEL005601g1.t1
OG0004224	XP_039754867.1	HMEL034270g1.t1
OG0004225	XP_039751404.1	HMEL004038g1.t1
OG0004227	XP_039751668.1	HMEL034750g1.t1
OG0004228	XP_039765944.1	HMEL015162g1.t1
OG0004229	XP_039757634.1	HMEL038099g1.t1
OG0004230	XP_039747975.1	HMEL032106g1.t1, HMEL036671g1.t1, HMEL010567g1.t1
OG0004231	XP_039754099.1	HMEL032793g1.t1
OG0004232	XP_039764665.1, XP_039764666.1	HMEL030295g1.t1
OG0004233	XP_039748646.1	HMEL018025g1.t1
OG0004234	XP_039757192.1	HMEL006569g1.t1
OG0004235	XP_039755215.1	HMEL014955g1.t1
OG0004236	XP_039757129.1	HMEL006568g1.t1
OG0004237	XP_039760547.1	HMEL013124g1.t1
OG0004238	XP_039764964.1	HMEL002305g1.t1
OG0004239	XP_039748842.1	HMEL018019g1.t1
OG0004240	XP_039754990.1	HMEL014952g1.t1
OG0004241	XP_039757643.1	HMEL015596g1.t1
OG0004242	XP_039748825.1	HMEL022624g1.t1
OG0004243	XP_039755214.1	HMEL014950g1.t1
OG0004244	XP_039757981.1	HMEL015597g1.t1
OG0004245	XP_039752744.1	HMEL009416g1.t1
OG0004246	XP_039765711.1	HMEL015153g1.t1
OG0004247	XP_039751991.1, XP_039751994.1	HMEL013307g1.t1
OG0004248	XP_039748764.1	HMEL017141g1.t1
OG0004249	XP_039760681.1	HMEL013130g1.t1
OG0004250	XP_039765935.1, XP_039765715.1	HMEL015151g1.t1
OG0004251	XP_039765712.1	HMEL015152g1.t1
OG0004252	XP_039762091.1	HMEL013304g1.t1
OG0004253	XP_039745465.1	HMEL005818g1.t1
OG0004254	XP_039760680.1, XP_039760679.1	HMEL013132g1.t1
OG0004255	XP_039750807.1	HMEL036063g1.t1
OG0004256	XP_039751704.1	HMEL003361g1.t1
OG0004257	XP_039752574.1	HMEL012498g1.t1
OG0004258	XP_039765945.1	HMEL015145g1.t1
OG0004259	XP_039749277.1	HMEL017145g1.t1
OG0004260	XP_039765025.1	HMEL007327g1.t1, HMEL016782g1.t1
OG0004261	XP_039765682.1	HMEL031078g1.t1
OG0004262	XP_039752023.1	HMEL033287g1.t1
OG0004263	XP_039764727.1	HMEL032996g1.t1
OG0004264	XP_039754043.1	HMEL003449g1.t1
OG0004265	XP_039751532.1	HMEL002632g1.t1
OG0004266	XP_039759235.1	HMEL032369g1.t1
OG0004267	XP_039764091.1	HMEL035474g1.t1
OG0004268	XP_039751208.1	HMEL002633g1.t1
OG0004269	XP_039754240.1	HMEL021630g1.t1
OG0004270	XP_039763029.1, XP_039763039.1	HMEL032999g1.t1
OG0004271	XP_039760867.1	HMEL013137g1.t1
OG0004272	XP_039762865.1	HMEL033001g1.t1
OG0004273	XP_039756548.1	HMEL036793g1.t1
OG0004274	XP_039755900.1	HMEL037669g1.t1
OG0004275	XP_039748357.1	HMEL032093g1.t1, HMEL032094g1.t1
OG0004276	XP_039758964.1	HMEL032366g1.t1
OG0004277	XP_039757500.1	HMEL038118g1.t1
OG0004278	XP_039757503.1	HMEL038119g1.t1
OG0004279	XP_039750231.1	HMEL011688g1.t1
OG0004280	XP_039757504.1	HMEL006328g1.t1
OG0004281	XP_039756199.1	HMEL017875g1.t1
OG0004282	XP_039755703.1	HMEL002177g1.t1
OG0004283	XP_039759495.1	HMEL007604-RA
OG0004284	XP_039764087.1	HMEL033006g1.t1
OG0004285	XP_039752156.1	HMEL015630g1.t1
OG0004286	XP_039761787.1	HMEL030822g1.t1
OG0004287	XP_039763160.1	HMEL035493g1.t1, HMEL038169g1.t1
OG0004288	XP_039755308.1	HMEL016333g1.t1
OG0004289	XP_039745768.1	HMEL016695g1.t1
OG0004290	XP_039758682.1	HMEL012511g1.t1
OG0004291	XP_039751876.1	HMEL015628g1.t1
OG0004292	XP_039764651.1, XP_039764664.1	HMEL015388g1.t1
OG0004293	XP_039753224.1	HMEL017560g1.t1
OG0004294	XP_039762694.1	HMEL006796g1.t1
OG0004295	XP_039746158.1	HMEL033804g1.t1
OG0004296	XP_039756351.1, XP_039756350.1	HMEL011342g1.t1
OG0004297	XP_039749803.1	HMEL003901g1.t1
OG0004298	XP_039755078.1, XP_039755077.1	HMEL014939g1.t1
OG0004299	XP_039746073.1	HMEL016700g1.t1
OG0004300	XP_039753620.1	HMEL031636g1.t1
OG0004301	XP_039756044.1	HMEL011348g1.t1
OG0004302	XP_039749522.1	HMEL003900g1.t1
OG0004303	XP_039750225.1, XP_039750226.1	HMEL007041g1.t1
OG0004304	XP_039753243.1	HMEL031640g1.t1
OG0004306	XP_039756177.1	HMEL011349g1.t1
OG0004307	XP_039760808.1	HMEL013144g1.t1
OG0004308	XP_039752630.1	HMEL007053g1.t1
OG0004309	XP_039761751.1	HMEL015003g1.t1
OG0004311	XP_039746471.1	HMEL016704g1.t1
OG0004312	XP_039753738.1	HMEL031645g1.t1
OG0004313	XP_039749714.1	HMEL003895g1.t1
OG0004314	XP_039755465.1	HMEL016330g1.t1
OG0004315	XP_039749650.1, XP_039749649.1	HMEL003894g1.t1
OG0004316	XP_039756134.1	HMEL011356g1.t1
OG0004317	XP_039759573.1	HMEL004782g1.t1
OG0004318	XP_039747595.1	HMEL032096g1.t1
OG0004319	XP_039749790.1	HMEL003892g1.t1
OG0004320	XP_039764758.1	HMEL006790g1.t1
OG0004321	XP_039756781.1	HMEL012308g1.t1
OG0004322	XP_039748499.1	HMEL003281g1.t1, HMEL017164g1.t1
OG0004324	XP_039758913.1	HMEL020039g1.t1
OG0004325	XP_039746993.1	HMEL004702g1.t1
OG0004326	XP_039756905.1	HMEL012517g1.t1
OG0004327	XP_039750175.1, XP_039750174.1	HMEL003890g1.t1
OG0004328	XP_039756930.1	HMEL002389g1.t1
OG0004329	XP_039745920.1	HMEL006827g1.t1
OG0004330	XP_039747099.1, XP_039747098.1	HMEL035184g1.t1
OG0004331	XP_039751790.1	HMEL033299g1.t1
OG0004332	XP_039753850.1	HMEL008878g1.t1
OG0004334	XP_039751637.1	HMEL006583g1.t1
OG0004335	XP_039751635.1	HMEL009569g1.t1
OG0004336	XP_039764690.1	HMEL030658g1.t1
OG0004337	XP_039752228.1	HMEL014359g1.t1
OG0004338	XP_039756963.1	HMEL012301g1.t1
OG0004339	XP_039758090.1	HMEL038133g1.t1, HMEL038134g1.t1
OG0004340	XP_039759990.1	HMEL015018g1.t1
OG0004341	XP_039745508.1	HMEL031089g1.t1, HMEL031088g1.t1
OG0004342	XP_039749789.1	HMEL008899g1.t1
OG0004343	XP_039764939.1	HMEL030657g1.t1
OG0004344	XP_039748195.1, XP_039748197.1	HMEL032102g1.t1
OG0004345	XP_039745280.1	HMEL011725g1.t1
OG0004346	XP_039758780.1	HMEL017810g1.t1
OG0004347	XP_039760139.1	HMEL015013g1.t1
OG0004348	XP_039745902.1	HMEL005885g1.t1
OG0004349	XP_039765465.1, XP_039765464.1	HMEL031092g1.t1
OG0004350	XP_039757123.1	HMEL010215g1.t1
OG0004351	XP_039757991.1	HMEL038141g1.t1
OG0004352	XP_039758554.1	HMEL012136g1.t1
OG0004353	XP_039763332.1, XP_039763331.1	HMEL013477g1.t1
OG0004354	XP_039759960.1	HMEL015008g1.t1
OG0004356	XP_039745786.1, XP_039745785.1	HMEL005890g1.t1
OG0004357	XP_039765355.1	HMEL011733g1.t1
