Orthogroup	Heliconius_erato_lativitta	Maniola_hyperantus
OG0004866	HEL_007348-RA	XP_034833196.1
OG0004867	HEL_004079-RA	XP_034834274.1
OG0004868	HEL_002224-RA	XP_034823960.1
OG0004869	HEL_001901-RA	XP_034836098.1
OG0004871	HEL_001694-RA	XP_034841003.1
OG0004872	HEL_007347-RA	XP_034833198.1
OG0004873	HEL_005369-RA	XP_034836842.1
OG0004874	HEL_007656-RA	XP_034824905.1
OG0004875	HEL_005358-RA	XP_034829505.1
OG0004876	HEL_012501-RA	XP_034834913.1
OG0004877	HEL_003425-RA	XP_034826134.1
OG0004878	HEL_004481-RA	XP_034839418.1
OG0004879	HEL_007339-RA	XP_034833193.1
OG0004880	HEL_004165-RA	XP_034838244.1
OG0004881	HEL_008065-RA	XP_034826791.1
OG0004883	HEL_011009-RA	XP_034828699.1
OG0004884	HEL_007338-RA	XP_034833194.1
OG0004885	HEL_005356-RA	XP_034829191.1
OG0004886	HEL_002228-RA	XP_034828588.1
OG0004887	HEL_007654-RA	XP_034824916.1
OG0004888	HEL_012505-RA	XP_034834770.1
OG0004889	HEL_007334-RA	XP_034833189.1
OG0004890	HEL_007746-RA	XP_034829622.1
OG0004891	HEL_003494-RA	XP_034831872.1
OG0004892	HEL_008067-RA	XP_034826794.1
OG0004895	HEL_012508-RA	XP_034834493.1
OG0004896	HEL_009697-RA	XP_034839381.1
OG0004897	HEL_000692-RA	XP_034831205.1
OG0004898	HEL_010481-RA	XP_034840497.1
OG0004899	HEL_007642-RA	XP_034824918.1
OG0004900	HEL_011016-RA	XP_034828409.1
OG0004901	HEL_009464-RA	XP_034830255.1
OG0004902	HEL_005349-RA	XP_034829175.1
OG0004904	HEL_003488-RA	XP_034832259.1
OG0004905	HEL_005076-RA	XP_034834267.1
OG0004906	HEL_012679-RA	XP_034827745.1
OG0004907	HEL_002188-RA	XP_034837579.1
OG0004908	HEL_009687-RA	XP_034839343.1
OG0004909	HEL_008071-RA	XP_034826819.1
OG0004910	HEL_001892-RA	XP_034836101.1
OG0004911	HEL_001891-RA	XP_034836106.1
OG0004912	HEL_011018-RA	XP_034828381.1
OG0004913	HEL_002189-RA	XP_034837712.1
OG0004914	HEL_002190-RA	XP_034837507.1
OG0004915	HEL_011019-RA	XP_034828402.1
OG0004916	HEL_007637-RA	XP_034824908.1
OG0004917	HEL_012682-RA	XP_034828135.1
OG0004918	HEL_009468-RA	XP_034830918.1
OG0004919	HEL_012684-RA	XP_034828138.1
OG0004920	HEL_009469-RA	XP_034830438.1
OG0004921	HEL_007636-RA	XP_034824896.1
OG0004922	HEL_007635-RA	XP_034824910.1
OG0004923	HEL_012509-RA	XP_034834866.1
OG0004925	HEL_001878-RA	XP_034835990.1
OG0004926	HEL_014065-RA	XP_034835165.1
OG0004928	HEL_007325-RA	XP_034833672.1
OG0004929	HEL_001877-RA	XP_034835995.1
OG0004930	HEL_014064-RA	XP_034835168.1
OG0004931	HEL_014063-RA	XP_034835267.1
OG0004932	HEL_013003-RA	XP_034839068.1
OG0004933	HEL_012689-RA	XP_034828133.1
OG0004934	HEL_009296-RA	XP_034837389.1
OG0004935	HEL_005342-RA	XP_034829484.1
OG0004936	HEL_014062-RA	XP_034835707.1
OG0004937	HEL_008958-RA	XP_034832725.1
OG0004938	HEL_012690-RA	XP_034827750.1
OG0004939	HEL_007745-RA	XP_034829766.1
OG0004940	HEL_003413-RA	XP_034825894.1
OG0004941	HEL_005371-RA	XP_034836755.1
OG0004942	HEL_000693-RA	XP_034831206.1
OG0004943	HEL_009293-RA	XP_034837379.1
OG0004944	HEL_009471-RA	XP_034830425.1
OG0004945	HEL_001916-RA	XP_034836041.1
OG0004946	HEL_004017-RA	XP_034825049.1
OG0004947	HEL_003475-RA	XP_034832293.1
OG0004948	HEL_010164-RA	XP_034826965.1
OG0004949	HEL_007627-RA	XP_034824889.1
OG0004950	HEL_009289-RA	XP_034837404.1
OG0004951	HEL_004048-RA	XP_034838146.1
OG0004952	HEL_009474-RA	XP_034830612.1
OG0004953	HEL_007741-RA	XP_034829552.1
OG0004954	HEL_007630-RA	XP_034824890.1
OG0004955	HEL_010482-RA	XP_034840792.1
OG0004956	HEL_003474-RA	XP_034832287.1
OG0004958	HEL_007632-RA	XP_034824924.1
OG0004959	HEL_010483-RA	XP_034840791.1
OG0004960	HEL_010484-RA	XP_034840794.1
OG0004961	HEL_009692-RA	XP_034839349.1
OG0004962	HEL_007633-RA	XP_034824892.1
OG0004963	HEL_006980-RA	XP_034832166.1
OG0004964	HEL_000699-RA	XP_034831526.1
OG0004966	HEL_009210-RA	XP_034837348.1
OG0004968	HEL_005333-RA	XP_034829046.1
OG0004969	HEL_012099-RA	XP_034839430.1
OG0004970	HEL_011025-RA	XP_034828403.1
OG0004971	HEL_012677-RA	XP_034828130.1
OG0004972	HEL_010160-RA	XP_034826795.1
OG0004973	HEL_001873-RA	XP_034835806.1
OG0004974	HEL_012676-RA	XP_034828129.1
OG0004975	HEL_005326-RA	XP_034829041.1
OG0004977	HEL_005325-RA	XP_034829475.1
OG0004978	HEL_012096-RA	XP_034839405.1
OG0004979	HEL_005323-RA	XP_034829042.1
OG0004980	HEL_010157-RA	XP_034826784.1
OG0004981	HEL_011027-RA	XP_034828388.1
OG0004982	HEL_012514-RA	XP_034835023.1
OG0004983	HEL_005376-RA	XP_034837037.1
OG0004984	HEL_001717-RA	XP_034841241.1
OG0004985	HEL_012515-RA	XP_034835025.1
OG0004986	HEL_007735-RA	XP_034829773.1
OG0004987	HEL_012516-RA	XP_034835021.1
OG0004988	HEL_011030-RA	XP_034828384.1
OG0004989	HEL_012517-RA	XP_034835024.1
OG0004990	HEL_010176-RA	XP_034826817.1
OG0004992	HEL_012519-RA	XP_034835019.1
OG0004993	HEL_000707-RA	XP_034831038.1
OG0004994	HEL_003459-RA	XP_034832413.1
OG0004995	HEL_000708-RA	XP_034831067.1
OG0004996	HEL_002239-RA	XP_034824223.1
OG0004997	HEL_002240-RA	XP_034824235.1
OG0004998	HEL_005320-RA	XP_034829092.1
OG0005000	HEL_003391-RA	XP_034825983.1
OG0005001	HEL_008353-RA	XP_034826816.1
OG0005002	HEL_000715-RA	XP_034831434.1
OG0005003	HEL_000716-RA	XP_034831435.1
OG0005004	HEL_003389-RA	XP_034826144.1
OG0005005	HEL_000717-RA	XP_034831433.1
OG0005006	HEL_000721-RA	XP_034831437.1
OG0005007	HEL_002241-RA	XP_034824099.1
OG0005008	HEL_010177-RA	XP_034826792.1
OG0005009	HEL_005383-RA	XP_034836829.1
OG0005010	HEL_000720-RA	XP_034831428.1
OG0005011	HEL_000718-RA	XP_034831436.1
OG0005012	HEL_004001-RA	XP_034825527.1
OG0005013	HEL_004028-RA	XP_034838183.1
OG0005015	HEL_003998-RA	XP_034825305.1
OG0005016	HEL_003386-RA	XP_034825855.1
OG0005017	HEL_002196-RA	XP_034837573.1
OG0005018	HEL_009216-RA	XP_034837141.1
OG0005019	HEL_009483-RA	XP_034830457.1
OG0005020	HEL_012522-RA	XP_034834922.1
OG0005021	HEL_012523-RA	XP_034834446.1
OG0005022	HEL_009484-RA	XP_034830460.1
OG0005023	HEL_012525-RA	XP_034834447.1
OG0005024	HEL_009485-RA	XP_034830453.1
OG0005025	HEL_003994-RA	XP_034825303.1
OG0005026	HEL_009486-RA	XP_034830850.1
OG0005027	HEL_010179-RA	XP_034826693.1
OG0005028	HEL_003992-RA	XP_034825322.1
OG0005029	HEL_003991-RA	XP_034825301.1
OG0005030	HEL_002198-RA	XP_034837574.1
OG0005031	HEL_009222-RA	XP_034837422.1
OG0005032	HEL_012534-RA	XP_034834625.1
OG0005033	HEL_012535-RA	XP_034834628.1
OG0005034	HEL_001713-RA	XP_034841251.1
OG0005036	HEL_006993-RA	XP_034834035.1, XP_034832066.1
OG0005037	HEL_001861-RA	XP_034835973.1
OG0005038	HEL_001860-RA	XP_034835968.1
OG0005039	HEL_005385-RA	XP_034836828.1
OG0005040	HEL_003990-RA	XP_034825299.1
OG0005041	HEL_004029-RA	XP_034838145.1
OG0005042	HEL_002245-RA	XP_034824247.1
OG0005043	HEL_000458-RA	XP_034836569.1
OG0005044	HEL_003379-RA	XP_034826178.1
OG0005045	HEL_004030-RA	XP_034838181.1
OG0005047	HEL_003378-RA	XP_034826448.1
OG0005048	HEL_003988-RA	XP_034825323.1
OG0005049	HEL_003377-RA	XP_034825966.1
OG0005050	HEL_002201-RA	XP_034837629.1
OG0005051	HEL_005315-RA, HEL_005316-RA	XP_034829473.1
OG0005052	HEL_003376-RA	XP_034826062.1
OG0005053	HEL_002037-RA	XP_034836234.1
OG0005054	HEL_002038-RA	XP_034835828.1
OG0005055	HEL_007734-RA	XP_034829747.1
OG0005056	HEL_010487-RA	XP_034840035.1
OG0005057	HEL_012537-RA	XP_034834622.1
OG0005059	HEL_001711-RA	XP_034841252.1
OG0005061	HEL_003450-RA	XP_034831919.1
OG0005062	HEL_007614-RA	XP_034824418.1
OG0005063	HEL_003984-RA	XP_034825356.1
OG0005064	HEL_014449-RA	XP_034835127.1
OG0005065	HEL_009231-RA	XP_034837221.1
OG0005066	HEL_002042-RA	XP_034835830.1
OG0005067	HEL_002202-RA	XP_034837639.1
OG0005068	HEL_002204-RA	XP_034837602.1
OG0005069	HEL_002043-RA	XP_034835829.1
OG0005070	HEL_014451-RA	XP_034835137.1
OG0005071	HEL_000726-RA	XP_034831323.1
OG0005072	HEL_010488-RA	XP_034840302.1
OG0005073	HEL_000728-RA	XP_034831530.1
OG0005074	HEL_008936-RA, HEL_008937-RA	XP_034833031.1
OG0005075	HEL_014452-RA	XP_034835132.1
OG0005076	HEL_005308-RA, HEL_005309-RA	XP_034828990.1
OG0005077	HEL_010238-RA	XP_034830717.1
OG0005078	HEL_002205-RA	XP_034837481.1
OG0005079	HEL_003443-RA	XP_034832064.1
OG0005080	HEL_003983-RA	XP_034825403.1
OG0005081	HEL_002248-RA	XP_034827251.1
OG0005083	HEL_000466-RA	XP_034836435.1
OG0005084	HEL_002249-RA	XP_034827241.1
OG0005085	HEL_011677-RA	XP_034838808.1
OG0005086	HEL_014458-RA	XP_034835138.1
OG0005087	HEL_014459-RA	XP_034835245.1
OG0005088	HEL_012542-RA	XP_034834498.1
OG0005090	HEL_010239-RA	XP_034830716.1
OG0005091	HEL_012543-RA	XP_034834349.1
OG0005092	HEL_012544-RA	XP_034834591.1
OG0005093	HEL_010242-RA	XP_034830721.1
OG0005094	HEL_002049-RA	XP_034836132.1
OG0005095	HEL_005393-RA	XP_034836760.1
OG0005096	HEL_005088-RA	XP_034834264.1, XP_034833933.1
OG0005097	HEL_000731-RA	XP_034831404.1
OG0005098	HEL_000733-RA	XP_034831382.1
OG0005099	HEL_010489-RA	XP_034840176.1
OG0005100	HEL_012545-RA	XP_034834864.1
OG0005101	HEL_012546-RA	XP_034834860.1
OG0005102	HEL_014463-RA	XP_034835247.1
OG0005103	HEL_013868-RA	XP_034833503.1
OG0005104	HEL_000734-RA	XP_034831405.1
OG0005106	HEL_012547-RA	XP_034834862.1
OG0005107	HEL_002052-RA	XP_034835839.1
OG0005108	HEL_012654-RA	XP_034827973.1
OG0005109	HEL_000736-RA	XP_034831396.1
OG0005110	HEL_010423-RA	XP_034839528.1
OG0005111	HEL_012653-RA	XP_034828289.1
OG0005112	HEL_012550-RA	XP_034834924.1
OG0005113	HEL_002053-RA	XP_034835841.1, XP_034835842.1
OG0005114	HEL_012651-RA	XP_034828285.1
OG0005115	HEL_002055-RA	XP_034835857.1
OG0005116	HEL_012552-RA	XP_034835006.1
OG0005117	HEL_005296-RA	XP_034829252.1
OG0005118	HEL_005288-RA	XP_034829255.1
OG0005119	HEL_002253-RA	XP_034841452.1
OG0005120	HEL_005287-RA	XP_034829251.1
OG0005121	HEL_002254-RA	XP_034841217.1
OG0005122	HEL_005285-RA	XP_034828975.1
OG0005123	HEL_010182-RA	XP_034826956.1
OG0005124	HEL_002213-RA	XP_034837497.1
OG0005125	HEL_002061-RA	XP_034835941.1
OG0005126	HEL_003358-RA	XP_034826348.1
OG0005127	HEL_003357-RA	XP_034826331.1
OG0005128	HEL_011671-RA	XP_034839109.1
OG0005129	HEL_002257-RA	XP_034841344.1
OG0005130	HEL_012398-RA	XP_034834189.1
OG0005131	HEL_005284-RA	XP_034828949.1
OG0005132	HEL_007601-RA	XP_034824431.1
OG0005134	HEL_004058-RA	XP_034837814.1
OG0005135	HEL_005282-RA, HEL_005281-RA	XP_034828948.1
OG0005136	HEL_007600-RA	XP_034824432.1
OG0005137	HEL_003500-RA	XP_034831881.1
OG0005138	HEL_003501-RA	XP_034831866.1
OG0005139	HEL_005279-RA	XP_034829373.1
OG0005140	HEL_004057-RA	XP_034838086.1
OG0005141	HEL_010183-RA	XP_034826686.1
OG0005142	HEL_002258-RA	XP_034841513.1
OG0005143	HEL_005278-RA	XP_034829372.1
OG0005144	HEL_010184-RA	XP_034827340.1
OG0005145	HEL_002259-RA	XP_034824690.1
OG0005146	HEL_014466-RA	XP_034835241.1
OG0005148	HEL_001722-RA	XP_034823970.1
OG0005149	HEL_003503-RA	XP_034831880.1
OG0005150	HEL_010496-RA	XP_034840157.1
OG0005151	HEL_002261-RA	XP_034824506.1
OG0005152	HEL_003504-RA	XP_034831873.1
OG0005153	HEL_010189-RA	XP_034827342.1
OG0005154	HEL_008916-RA	XP_034832562.1
OG0005155	HEL_005096-RA	XP_034833862.1
OG0005156	HEL_013237-RA	XP_034839267.1
OG0005157	HEL_012402-RA	XP_034837469.1
OG0005158	HEL_005098-RA	XP_034833860.1
OG0005159	HEL_010507-RA	XP_034840210.1
OG0005160	HEL_012403-RA	XP_034837419.1
OG0005161	HEL_008915-RA	XP_034832593.1
OG0005162	HEL_010191-RA	XP_034827343.1
OG0005163	HEL_013236-RA	XP_034839157.1
OG0005165	HEL_010192-RA	XP_034826714.1
OG0005166	HEL_002263-RA	XP_034825521.1
OG0005167	HEL_010509-RA	XP_034840769.1
OG0005168	HEL_003979-RA	XP_034825646.1
OG0005169	HEL_001726-RA, HEL_001725-RA	XP_034823969.1
OG0005170	HEL_003978-RA	XP_034825641.1
OG0005171	HEL_011668-RA	XP_034839088.1
OG0005172	HEL_001727-RA	XP_034823948.1
OG0005173	HEL_005275-RA	XP_034829467.1
OG0005174	HEL_005101-RA	XP_034834067.1
OG0005175	HEL_004066-RA	XP_034838084.1
OG0005176	HEL_012404-RA	XP_034837503.1
OG0005178	HEL_000467-RA	XP_034836474.1
OG0005179	HEL_005103-RA	XP_034834259.1
OG0005180	HEL_000752-RA	XP_034831402.1
OG0005181	HEL_007728-RA	XP_034830005.1
OG0005182	HEL_010195-RA	XP_034826892.1
OG0005183	HEL_012408-RA	XP_034837531.1
OG0005184	HEL_010196-RA	XP_034826894.1
OG0005185	HEL_013248-RA	XP_034839277.1
OG0005186	HEL_005410-RA	XP_034836796.1
OG0005187	HEL_002218-RA, HEL_002217-RA	XP_034837601.1
OG0005188	HEL_013217-RA	XP_034828343.1
OG0005190	HEL_009242-RA	XP_034837146.1
OG0005191	HEL_005583-RA	XP_034828079.1
OG0005192	HEL_010199-RA	XP_034826895.1
OG0005194	HEL_000755-RA	XP_034831380.1
OG0005195	HEL_010130-RA	XP_034834691.1
OG0005196	HEL_008898-RA	XP_034832663.1, XP_034832662.1
OG0005197	HEL_012411-RA	XP_034837388.1
OG0005199	HEL_000756-RA	XP_034831399.1
OG0005201	HEL_000757-RA	XP_034831411.1
OG0005202	HEL_012573-RA	XP_034834937.1
OG0005203	HEL_001741-RA	XP_034823976.1
OG0005204	HEL_001742-RA	XP_034823999.1
OG0005207	HEL_013208-RA	XP_034828354.1
OG0005208	HEL_004063-RA	XP_034838103.1
OG0005209	HEL_010513-RA	XP_034840345.1
OG0005210	HEL_000758-RA	XP_034831403.1
OG0005211	HEL_012413-RA	XP_034837595.1
OG0005212	HEL_012415-RA	XP_034837480.1
OG0005213	HEL_008895-RA, HEL_008894-RA	XP_034833008.1
OG0005214	HEL_013065-RA	XP_034838935.1
OG0005215	HEL_012416-RA	XP_034837552.1
OG0005216	HEL_001745-RA	XP_034823977.1
OG0005217	HEL_004073-RA	XP_034838101.1
OG0005218	HEL_004072-RA	XP_034838097.1
OG0005219	HEL_010514-RA	XP_034840814.1
OG0005220	HEL_000762-RA	XP_034831385.1
OG0005221	HEL_013204-RA	XP_034828344.1
OG0005222	HEL_010254-RA	XP_034830477.1
OG0005224	HEL_003353-RA	XP_034826346.1
OG0005225	HEL_007595-RA	XP_034824721.1
OG0005227	HEL_013203-RA	XP_034828793.1
OG0005228	HEL_003969-RA	XP_034825353.1
OG0005229	HEL_007594-RA	XP_034824635.1
OG0005230	HEL_008993-RA	XP_034832943.1
OG0005231	HEL_000764-RA	XP_034831393.1
OG0005232	HEL_013246-RA	XP_034839288.1
OG0005234	HEL_007591-RA	XP_034824642.1
OG0005235	HEL_005650-RA	XP_034834671.1
OG0005236	HEL_007750-RA	XP_034829749.1
OG0005237	HEL_007751-RA	XP_034829748.1
OG0005238	HEL_007590-RA	XP_034824643.1
OG0005239	HEL_003611-RA	XP_034834020.1
OG0005240	HEL_005651-RA	XP_034834739.1
OG0005241	HEL_007589-RA	XP_034824639.1
OG0005242	HEL_011772-RA, HEL_011773-RA	XP_034838787.1
OG0005243	HEL_001750-RA	XP_034823958.1
OG0005244	HEL_001751-RA	XP_034840842.1
OG0005245	HEL_007587-RA	XP_034824634.1
OG0005246	HEL_003610-RA	XP_034834025.1
OG0005247	HEL_005269-RA	XP_034828947.1
OG0005248	HEL_007583-RA	XP_034824221.1
OG0005249	HEL_005266-RA	XP_034828946.1
OG0005250	HEL_007582-RA	XP_034824719.1
OG0005251	HEL_013906-RA	XP_034827767.1
OG0005252	HEL_014333-RA	XP_034830888.1
OG0005254	HEL_011769-RA	XP_034838987.1
OG0005255	HEL_001755-RA	XP_034823965.1
OG0005256	HEL_007758-RA	XP_034829810.1
OG0005257	HEL_005423-RA	XP_034836784.1
OG0005258	HEL_014334-RA	XP_034830337.1
OG0005259	HEL_001756-RA, HEL_001757-RA	XP_034823995.1
OG0005260	HEL_007785-RA, HEL_007788-RA	XP_034829815.1
OG0005261	HEL_005264-RA	XP_034829152.1
OG0005262	HEL_005263-RA	XP_034828951.1
OG0005263	HEL_003966-RA	XP_034825149.1
OG0005264	HEL_001758-RA	XP_034823962.1
OG0005265	HEL_003965-RA	XP_034825150.1
OG0005266	HEL_013908-RA	XP_034827680.1
OG0005267	HEL_001759-RA	XP_034823940.1
OG0005268	HEL_014340-RA	XP_034830887.1
OG0005269	HEL_008999-RA	XP_034832657.1
OG0005270	HEL_001760-RA	XP_034824000.1
OG0005272	HEL_001698-RA	XP_034840847.1
OG0005273	HEL_008235-RA	XP_034835631.1
OG0005274	HEL_008234-RA	XP_034835627.1
OG0005275	HEL_007780-RA	XP_034829816.1
OG0005276	HEL_009001-RA	XP_034833047.1
OG0005277	HEL_011764-RA	XP_034838993.1
OG0005278	HEL_003512-RA	XP_034832032.1
OG0005279	HEL_005424-RA	XP_034836730.1
OG0005280	HEL_013508-RA, HEL_013509-RA	XP_034837205.1
OG0005281	HEL_009002-RA	XP_034833049.1
OG0005282	HEL_009658-RA	XP_034839426.1
OG0005283	HEL_007580-RA	XP_034824427.1
OG0005285	HEL_008227-RA	XP_034835073.1
OG0005286	HEL_003513-RA	XP_034831724.1
OG0005287	HEL_009702-RA	XP_034833152.1
OG0005289	HEL_005253-RA, HEL_005252-RA	XP_034828957.1
OG0005291	HEL_005425-RA	XP_034837039.1
OG0005292	HEL_005249-RA, HEL_005250-RA	XP_034828941.1
OG0005293	HEL_003327-RA	XP_034826341.1
OG0005294	HEL_010523-RA	XP_034840712.1
OG0005295	HEL_007776-RA	XP_034829877.1
OG0005296	HEL_012420-RA	XP_034831831.1
OG0005297	HEL_003518-RA	XP_034831716.1
OG0005298	HEL_001764-RA	XP_034841188.1
OG0005299	HEL_009014-RA	XP_034833052.1
OG0005300	HEL_012421-RA	XP_034831846.1
OG0005302	HEL_003519-RA	XP_034831725.1
OG0005303	HEL_005245-RA	XP_034828980.1
OG0005304	HEL_005244-RA	XP_034828978.1
OG0005305	HEL_011748-RA	XP_034839005.1
OG0005306	HEL_009015-RA	XP_034832802.1
OG0005307	HEL_005243-RA	XP_034829149.1
OG0005308	HEL_005251-RA	XP_034828942.1
OG0005309	HEL_011702-RA, HEL_011701-RA	XP_034838773.1
OG0005310	HEL_009018-RA	XP_034832800.1
OG0005311	HEL_011709-RA	XP_034838998.1
OG0005312	HEL_002087-RA	XP_034836089.1
OG0005314	HEL_009021-RA	XP_034832594.1
OG0005315	HEL_000788-RA	XP_034831253.1
OG0005316	HEL_000475-RA	XP_034836385.1
OG0005317	HEL_013240-RA	XP_034839268.1
OG0005318	HEL_011243-RA	XP_034838554.1
OG0005319	HEL_012427-RA	XP_034835072.1
OG0005320	HEL_010536-RA	XP_034840705.1
OG0005321	HEL_005675-RA	XP_034834700.1
OG0005322	HEL_010537-RA	XP_034840706.1
OG0005323	HEL_013520-RA	XP_034837042.1
OG0005324	HEL_010538-RA	XP_034840720.1
OG0005325	HEL_008219-RA	XP_034835392.1
OG0005326	HEL_013242-RA	XP_034839265.1
OG0005327	HEL_013521-RA	XP_034837044.1
OG0005328	HEL_001766-RA	XP_034840871.1
OG0005330	HEL_005238-RA	XP_034828997.1
OG0005331	HEL_008886-RA	XP_034832968.1
OG0005332	HEL_005237-RA	XP_034829465.1
OG0005333	HEL_010545-RA	XP_034840349.1
OG0005334	HEL_008885-RA	XP_034832970.1
OG0005335	HEL_008214-RA	XP_034835387.1
OG0005336	HEL_008212-RA	XP_034835179.1
OG0005337	HEL_008211-RA	XP_034835180.1
OG0005338	HEL_003531-RA	XP_034831721.1
OG0005339	HEL_013176-RA	XP_034828786.1
OG0005340	HEL_003532-RA	XP_034831706.1
OG0005341	HEL_000478-RA	XP_034836518.1
OG0005342	HEL_000479-RA	XP_034836353.1
OG0005343	HEL_011719-RA	XP_034839002.1
OG0005344	HEL_013171-RA	XP_034828678.1
OG0005345	HEL_014295-RA	XP_034835650.1
OG0005346	HEL_000480-RA	XP_034836249.1
OG0005349	HEL_010149-RA	XP_034828225.1
OG0005350	HEL_000789-RA	XP_034831539.1
OG0005351	HEL_011736-RA	XP_034838907.1
OG0005352	HEL_011263-RA	XP_034838559.1
OG0005353	HEL_000790-RA	XP_034831094.1
OG0005355	HEL_005687-RA	XP_034834709.1
OG0005356	HEL_001777-RA	XP_034840872.1
OG0005357	HEL_014299-RA	XP_034835510.1
OG0005358	HEL_005688-RA	XP_034834706.1
OG0005359	HEL_014300-RA	XP_034835705.1
OG0005360	HEL_003535-RA	XP_034831713.1
OG0005361	HEL_000487-RA	XP_034836684.1, XP_034836683.1
OG0005362	HEL_013063-RA	XP_034832417.1
OG0005363	HEL_004597-RA	XP_034836742.1
OG0005364	HEL_014302-RA	XP_034835657.1
OG0005365	HEL_010147-RA	XP_034828084.1
OG0005366	HEL_014303-RA	XP_034835682.1
OG0005367	HEL_011268-RA	XP_034838379.1
OG0005368	HEL_003320-RA	XP_034826026.1
OG0005370	HEL_003958-RA	XP_034825500.1
OG0005371	HEL_007575-RA	XP_034824649.1
OG0005372	HEL_011726-RA	XP_034838774.1
OG0005373	HEL_005235-RA	XP_034829145.1
OG0005374	HEL_013168-RA	XP_034828697.1
OG0005375	HEL_012434-RA	XP_034834962.1
OG0005376	HEL_013525-RA	XP_034837211.1
OG0005377	HEL_005426-RA	XP_034837038.1
OG0005378	HEL_003539-RA	XP_034831917.1
OG0005379	HEL_005689-RA	XP_034834703.1
OG0005380	HEL_013261-RA	XP_034839250.1
OG0005381	HEL_005690-RA	XP_034834714.1
OG0005382	HEL_011724-RA	XP_034839006.1
OG0005383	HEL_003317-RA	XP_034826012.1
OG0005384	HEL_002274-RA	XP_034825320.1
OG0005385	HEL_005028-RA	XP_034826020.1
OG0005386	HEL_013258-RA	XP_034839150.1
OG0005387	HEL_012440-RA	XP_034834936.1
OG0005388	HEL_010204-RA	XP_034826769.1
OG0005389	HEL_011178-RA	XP_034838777.1
OG0005390	HEL_003599-RA	XP_034834254.1
OG0005391	HEL_003955-RA	XP_034825341.1
OG0005392	HEL_005029-RA	XP_034826009.1
OG0005393	HEL_003954-RA	XP_034825544.1
OG0005394	HEL_007798-RA	XP_034830176.1
OG0005395	HEL_005030-RA	XP_034826008.1
OG0005396	HEL_011273-RA	XP_034838470.1
OG0005397	HEL_000493-RA	XP_034836357.1
OG0005398	HEL_005232-RA	XP_034829170.1
OG0005399	HEL_002278-RA	XP_034828098.1
OG0005400	HEL_005428-RA	XP_034836844.1
OG0005401	HEL_005231-RA	XP_034829174.1
OG0005402	HEL_010142-RA	XP_034827720.1
OG0005403	HEL_002281-RA	XP_034828421.1
OG0005404	HEL_005429-RA	XP_034836691.1
OG0005405	HEL_003952-RA	XP_034825346.1
OG0005406	HEL_012444-RA	XP_034831524.1
OG0005407	HEL_009709-RA	XP_034833229.1
OG0005408	HEL_003951-RA	XP_034825345.1
OG0005409	HEL_005225-RA	XP_034829168.1
OG0005410	HEL_011276-RA	XP_034838459.1
OG0005411	HEL_003950-RA	XP_034825342.1
OG0005412	HEL_003949-RA	XP_034825349.1
OG0005413	HEL_002282-RA	XP_034827526.1
OG0005415	HEL_011278-RA	XP_034838489.1
OG0005416	HEL_003544-RA	XP_034832031.1
OG0005417	HEL_003543-RA	XP_034832252.1
OG0005419	HEL_005431-RA	XP_034837015.1
OG0005420	HEL_011743-RA	XP_034838980.1
OG0005421	HEL_005040-RA	XP_034826475.1
OG0005422	HEL_010559-RA	XP_034840179.1
OG0005423	HEL_011744-RA	XP_034838994.1
OG0005424	HEL_003591-RA	XP_034833833.1
OG0005425	HEL_005041-RA	XP_034826006.1
OG0005426	HEL_013161-RA	XP_034828909.1
OG0005427	HEL_007571-RA	XP_034824956.1
OG0005428	HEL_009713-RA	XP_034833238.1
OG0005429	HEL_006395-RA	XP_034835653.1
OG0005430	HEL_010562-RA	XP_034840326.1
OG0005431	HEL_010563-RA	XP_034840330.1
OG0005432	HEL_005695-RA	XP_034834725.1
OG0005433	HEL_008865-RA	XP_034833057.1
OG0005434	HEL_005696-RA	XP_034834689.1
OG0005436	HEL_013251-RA	XP_034839388.1
OG0005438	HEL_012448-RA	XP_034832428.1
OG0005439	HEL_006396-RA	XP_034835651.1
OG0005440	HEL_011820-RA	XP_034837356.1
OG0005441	HEL_010565-RA	XP_034840332.1
OG0005442	HEL_012452-RA	XP_034832440.1
OG0005443	HEL_001792-RA	XP_034841546.1
OG0005444	HEL_010566-RA	XP_034840322.1
OG0005445	HEL_002103-RA	XP_034836092.1
OG0005446	HEL_001795-RA	XP_034841535.1
OG0005447	HEL_001796-RA	XP_034841542.1
OG0005448	HEL_010568-RA	XP_034840328.1
OG0005449	HEL_001797-RA	XP_034841543.1
OG0005450	HEL_002104-RA	XP_034836079.1
OG0005451	HEL_011284-RA	XP_034838483.1
OG0005452	HEL_010569-RA	XP_034840320.1
OG0005453	HEL_003587-RA	XP_034834097.1
OG0005454	HEL_011136-RA	XP_034828782.1
OG0005455	HEL_009717-RA	XP_034833231.1
OG0005456	HEL_009361-RA	XP_034837286.1
OG0005457	HEL_002285-RA	XP_034827557.1
OG0005458	HEL_010570-RA	XP_034840334.1
OG0005459	HEL_003585-RA	XP_034834121.1
OG0005460	HEL_005049-RA	XP_034826160.1
OG0005461	HEL_012454-RA	XP_034832010.1
OG0005462	HEL_005052-RA	XP_034826170.1
OG0005463	HEL_005699-RA	XP_034834660.1
OG0005464	HEL_003616-RA	XP_034834114.1, XP_034834111.1
OG0005465	HEL_005053-RA	XP_034826169.1
