Orthogroup	Danaus_plexippus	Bicyclus_anynana
OG0005256	DPOGS209843-PA	Bany_11873-RA
OG0005257	DPOGS213636-PA	Bany_17469-RA
OG0005258	DPOGS201164-PA	Bany_08002-RA
OG0005260	DPOGS209788-PA	Bany_11875-RA
OG0005261	DPOGS214515-PA	Bany_15534-RA
OG0005262	DPOGS214538-PA	Bany_15535-RA
OG0005263	DPOGS202671-PA	Bany_05254-RA
OG0005264	DPOGS208770-PA	Bany_00080-RA
OG0005265	DPOGS202670-PA	Bany_05255-RA
OG0005266	DPOGS206090-PA	Bany_01019-RA
OG0005267	DPOGS208846-PA	Bany_00081-RA
OG0005268	DPOGS201131-PA	Bany_08006-RA
OG0005269	DPOGS205487-PA	Bany_13116-RA
OG0005270	DPOGS216139-PA	Bany_00083-RA
OG0005271	DPOGS209126-PA, DPOGS209127-PA	Bany_06609-RA
OG0005272	DPOGS213051-PA, DPOGS213052-PA	Bany_03523-RA
OG0005273	DPOGS214382-PA	Bany_11197-RA
OG0005274	DPOGS214313-PA	Bany_11198-RA
OG0005275	DPOGS209791-PA	Bany_11878-RA
OG0005276	DPOGS205488-PA	Bany_13119-RA
OG0005277	DPOGS211264-PA	Bany_16135-RA
OG0005278	DPOGS206308-PA	Bany_08726-RA
OG0005279	DPOGS213638-PA	Bany_17477-RA
OG0005280	DPOGS215545-PA	Bany_17757-RA
OG0005281	DPOGS205490-PA	Bany_13122-RA
OG0005282	DPOGS206789-PA	Bany_07237-RA
OG0005283	DPOGS210073-PA	Bany_09974-RA
OG0005284	DPOGS210924-PA	Bany_03524-RA
OG0005285	DPOGS214376-PA	Bany_11208-RA
OG0005286	DPOGS206355-PA	Bany_08728-RA
OG0005287	DPOGS206256-PA	Bany_14954-RA
OG0005288	DPOGS205122-PA	Bany_01027-RA
OG0005289	DPOGS209236-PA	Bany_15545-RA
OG0005291	DPOGS213639-PA	Bany_17478-RA
OG0005292	DPOGS203276-PA	Bany_15547-RA
OG0005293	DPOGS210179-PA	Bany_01931-RA
OG0005294	DPOGS209625-PA	Bany_02702-RA
OG0005295	DPOGS209792-PA	Bany_11881-RA
OG0005296	DPOGS215705-PA	Bany_04407-RA
OG0005297	DPOGS206312-PA	Bany_08733-RA
OG0005298	DPOGS215317-PA	Bany_00095-RA
OG0005299	DPOGS205453-PA	Bany_13128-RA, Bany_13129-RA
OG0005300	DPOGS215704-PA	Bany_04411-RA
OG0005301	DPOGS209793-PA	Bany_11882-RA
OG0005302	DPOGS206353-PA	Bany_08734-RA
OG0005303	DPOGS203278-PA	Bany_15554-RA
OG0005304	DPOGS203279-PA	Bany_15555-RA
OG0005305	DPOGS200789-PA	Bany_16147-RA
OG0005306	DPOGS205452-PA	Bany_13130-RA
OG0005307	DPOGS203416-PA	Bany_15557-RA
OG0005308	DPOGS209235-PA	Bany_01939-RA
OG0005309	DPOGS200501-PA	Bany_16148-RA
OG0005310	DPOGS205492-PA	Bany_13131-RA
OG0005311	DPOGS213284-PA	Bany_16149-RA
OG0005312	DPOGS215164-PA	Bany_17021-RA
OG0005313	DPOGS202565-PA, DPOGS202566-PA	Bany_13134-RA
OG0005314	DPOGS202564-PA	Bany_13136-RA
OG0005315	DPOGS212938-PA	Bany_13734-RA
OG0005316	DPOGS211547-PA	Bany_16525-RA
OG0005317	DPOGS206803-PA	Bany_07241-RA
OG0005318	DPOGS214559-PA	Bany_06618-RA
OG0005319	DPOGS215702-PA	Bany_04418-RA
OG0005320	DPOGS209584-PA	Bany_02708-RA
OG0005321	DPOGS209515-PA	Bany_14364-RA
OG0005322	DPOGS209631-PA	Bany_02709-RA
OG0005323	DPOGS215541-PA	Bany_17773-RA
OG0005324	DPOGS209632-PA	Bany_02710-RA
OG0005325	DPOGS214323-PA	Bany_11218-RA
OG0005326	DPOGS206804-PA	Bany_07243-RA
OG0005327	DPOGS215540-PA	Bany_17775-RA
OG0005328	DPOGS215314-PA	Bany_00100-RA
OG0005329	DPOGS200968-PA, DPOGS200967-PA	Bany_15564-RA
OG0005330	DPOGS200973-PA	Bany_15565-RA
OG0005331	DPOGS202723-PA	Bany_13146-RA
OG0005332	DPOGS200969-PA	Bany_15566-RA
OG0005333	DPOGS209636-PA	Bany_02716-RA
OG0005334	DPOGS202705-PA	Bany_13147-RA
OG0005335	DPOGS214363-PA	Bany_11223-RA
OG0005336	DPOGS214364-PA	Bany_11226-RA
OG0005337	DPOGS214365-PA	Bany_11227-RA
OG0005338	DPOGS206349-PA	Bany_08744-RA
OG0005339	DPOGS204453-PA	Bany_10689-RA
OG0005340	DPOGS206318-PA	Bany_08745-RA
OG0005341	DPOGS211549-PA	Bany_16529-RA
OG0005342	DPOGS211545-PA	Bany_16530-RA
OG0005343	DPOGS213287-PA	Bany_16162-RA
OG0005344	DPOGS204451-PA	Bany_10692-RA
OG0005345	DPOGS210163-PA	Bany_11231-RA
OG0005346	DPOGS211544-PA	Bany_16531-RA
OG0005347	DPOGS203108-PA	Bany_01035-RA
OG0005348	DPOGS203091-PA, DPOGS203092-PA	Bany_01036-RA
OG0005349	DPOGS203109-PA	Bany_01038-RA
OG0005350	DPOGS212967-PA	Bany_13736-RA
OG0005351	DPOGS213282-PA	Bany_16164-RA
OG0005352	DPOGS214562-PA	Bany_06628-RA
OG0005353	DPOGS212937-PA	Bany_13737-RA
OG0005354	DPOGS213288-PA, DPOGS213289-PA	Bany_16166-RA
OG0005355	DPOGS209520-PA	Bany_14374-RA
OG0005356	DPOGS215308-PA	Bany_00112-RA
OG0005357	DPOGS208342-PA	Bany_11236-RA
OG0005358	DPOGS209521-PA	Bany_14376-RA
OG0005359	DPOGS208327-PA	Bany_11238-RA
OG0005360	DPOGS206319-PA	Bany_08747-RA
OG0005361	DPOGS202550-PA	Bany_16534-RA
OG0005362	DPOGS210642-PA	Bany_04432-RA
OG0005363	DPOGS216205-PA	Bany_17489-RA
OG0005364	DPOGS208340-PA	Bany_11240-RA
OG0005365	DPOGS211696-PA	Bany_01041-RA
OG0005366	DPOGS208328-PA	Bany_11242-RA
OG0005367	DPOGS214563-PA	Bany_06631-RA
OG0005368	DPOGS216168-PA	Bany_01947-RA
OG0005369	DPOGS200228-PA	Bany_13151-RA
OG0005370	DPOGS202651-PA	Bany_05268-RA
OG0005371	DPOGS210083-PA	Bany_09985-RA
OG0005372	DPOGS204603-PA	Bany_16170-RA
OG0005373	DPOGS200970-PA	Bany_15571-RA
OG0005374	DPOGS204450-PA	Bany_10694-RA
OG0005375	DPOGS215699-PA	Bany_04436-RA
OG0005376	DPOGS215538-PA	Bany_17782-RA
OG0005377	DPOGS213649-PA	Bany_17493-RA
OG0005378	DPOGS206320-PA	Bany_08752-RA
OG0005379	DPOGS209485-PA	Bany_14380-RA
OG0005380	DPOGS207165-PA	Bany_07255-RA
OG0005381	DPOGS209484-PA	Bany_14381-RA
OG0005382	DPOGS208103-PA	Bany_16172-RA
OG0005383	DPOGS216171-PA	Bany_01953-RA
OG0005384	DPOGS210922-PA	Bany_03531-RA
OG0005385	DPOGS216164-PA	Bany_01954-RA
OG0005386	DPOGS206800-PA	Bany_07258-RA
OG0005387	DPOGS215697-PA	Bany_04439-RA
OG0005388	DPOGS204358-PA	Bany_05942-RA
OG0005389	DPOGS208095-PA	Bany_16174-RA
OG0005390	DPOGS211300-PA	Bany_09414-RA
OG0005391	DPOGS202653-PA, DPOGS202652-PA	Bany_05274-RA
OG0005392	DPOGS216162-PA	Bany_01955-RA
OG0005393	DPOGS202654-PA	Bany_05276-RA
OG0005394	DPOGS209799-PA	Bany_11902-RA
OG0005395	DPOGS216172-PA	Bany_01957-RA
OG0005396	DPOGS214543-PA	Bany_06636-RA
OG0005397	DPOGS213317-PA	Bany_16544-RA
OG0005398	DPOGS205303-PA	Bany_15575-RA
OG0005399	DPOGS210904-PA	Bany_03536-RA
OG0005400	DPOGS213643-PA	Bany_17495-RA
OG0005401	DPOGS205262-PA	Bany_15577-RA
OG0005402	DPOGS202968-PA	Bany_01049-RA
OG0005403	DPOGS210919-PA	Bany_03537-RA
OG0005404	DPOGS213644-PA	Bany_17496-RA
OG0005405	DPOGS202664-PA	Bany_05279-RA
OG0005406	DPOGS215727-PA	Bany_04441-RA
OG0005407	DPOGS203112-PA	Bany_14968-RA
OG0005408	DPOGS202656-PA	Bany_05281-RA
OG0005409	DPOGS205264-PA	Bany_15580-RA
OG0005410	DPOGS212900-PA	Bany_06638-RA
OG0005411	DPOGS202663-PA	Bany_05282-RA
OG0005412	DPOGS202657-PA	Bany_05283-RA
OG0005413	DPOGS210906-PA	Bany_03538-RA
OG0005415	DPOGS212896-PA	Bany_06641-RA
OG0005416	DPOGS206340-PA	Bany_08764-RA
OG0005417	DPOGS206322-PA	Bany_08765-RA
OG0005418	DPOGS208415-PA, DPOGS208414-PA	Bany_11266-RA
OG0005419	DPOGS213646-PA	Bany_17498-RA
OG0005420	DPOGS200784-PA	Bany_16179-RA
OG0005421	DPOGS216159-PA	Bany_01965-RA
OG0005422	DPOGS209642-PA	Bany_02734-RA
OG0005423	DPOGS200786-PA, DPOGS200785-PA	Bany_16180-RA
OG0005424	DPOGS211295-PA	Bany_09422-RA
OG0005425	DPOGS216177-PA	Bany_01966-RA
OG0005426	DPOGS204443-PA	Bany_10702-RA
OG0005427	DPOGS210078-PA	Bany_09993-RA
OG0005428	DPOGS203128-PA	Bany_14973-RA
OG0005429	DPOGS208409-PA	Bany_11273-RA
OG0005430	DPOGS209644-PA	Bany_02739-RA
OG0005431	DPOGS209572-PA	Bany_02740-RA
OG0005432	DPOGS204690-PA	Bany_14387-RA
OG0005433	DPOGS205469-PA	Bany_13165-RA
OG0005434	DPOGS204691-PA	Bany_14388-RA
OG0005435	DPOGS208408-PA	Bany_11274-RA
OG0005436	DPOGS207160-PA	Bany_07266-RA
OG0005437	DPOGS216178-PA	Bany_01970-RA
OG0005438	DPOGS215731-PA	Bany_04447-RA
OG0005439	DPOGS208407-PA	Bany_11276-RA
OG0005440	DPOGS215536-PA	Bany_17787-RA
OG0005441	DPOGS209571-PA	Bany_02743-RA
OG0005442	DPOGS215693-PA	Bany_04448-RA
OG0005443	DPOGS210567-PA	Bany_00132-RA
OG0005444	DPOGS209570-PA	Bany_02744-RA
OG0005445	DPOGS215227-PA	Bany_17039-RA, Bany_17038-RA
OG0005446	DPOGS215338-PA	Bany_00134-RA
OG0005447	DPOGS215300-PA	Bany_00135-RA
OG0005448	DPOGS209569-PA	Bany_02746-RA
OG0005449	DPOGS215299-PA	Bany_00137-RA
OG0005450	DPOGS215174-PA	Bany_17040-RA
OG0005451	DPOGS200221-PA	Bany_06647-RA
OG0005452	DPOGS209648-PA	Bany_02747-RA
OG0005453	DPOGS211231-PA	Bany_09427-RA
OG0005454	DPOGS210628-PA	Bany_10705-RA
OG0005455	DPOGS203123-PA	Bany_14980-RA
OG0005456	DPOGS206189-PA	Bany_17796-RA
OG0005457	DPOGS210917-PA	Bany_03545-RA
OG0005458	DPOGS209649-PA	Bany_02752-RA
OG0005459	DPOGS211241-PA	Bany_09430-RA
OG0005460	DPOGS210778-PA	Bany_01977-RA
OG0005461	DPOGS215692-PA	Bany_04450-RA
OG0005462	DPOGS201915-PA	Bany_01978-RA
OG0005463	DPOGS204666-PA	Bany_14392-RA
OG0005464	DPOGS204157-PA	Bany_09433-RA
OG0005465	DPOGS201917-PA	Bany_01979-RA
OG0005466	DPOGS204202-PA	Bany_09434-RA
OG0005467	DPOGS210295-PA	Bany_01981-RA
OG0005468	DPOGS201152-PA	Bany_08052-RA
OG0005469	DPOGS214012-PA	Bany_11287-RA
OG0005470	DPOGS210583-PA	Bany_10709-RA
OG0005471	DPOGS214008-PA	Bany_11288-RA
OG0005472	DPOGS210296-PA, DPOGS200761-PA	Bany_01982-RA
OG0005473	DPOGS209452-PA	Bany_05948-RA
OG0005474	DPOGS209453-PA	Bany_05949-RA
OG0005475	DPOGS203115-PA	Bany_14982-RA
OG0005476	DPOGS214007-PA	Bany_11290-RA
OG0005477	DPOGS200757-PA	Bany_01984-RA
OG0005478	DPOGS204200-PA	Bany_09438-RA
OG0005479	DPOGS205300-PA	Bany_15585-RA
OG0005480	DPOGS204635-PA	Bany_16561-RA
OG0005481	DPOGS204664-PA	Bany_14394-RA
OG0005482	DPOGS200760-PA	Bany_01987-RA
OG0005483	DPOGS204160-PA	Bany_09442-RA
OG0005484	DPOGS203876-PA	Bany_12646-RA
OG0005485	DPOGS205269-PA	Bany_15587-RA
OG0005486	DPOGS204161-PA	Bany_09444-RA
OG0005487	DPOGS215348-PA	Bany_00157-RA
OG0005488	DPOGS204661-PA	Bany_14397-RA
OG0005489	DPOGS210911-PA	Bany_03548-RA
OG0005490	DPOGS214005-PA	Bany_11293-RA
OG0005491	DPOGS204628-PA	Bany_16565-RA
OG0005492	DPOGS215293-PA	Bany_00160-RA
OG0005493	DPOGS215349-PA	Bany_00161-RA
OG0005494	DPOGS215292-PA	Bany_00162-RA
OG0005495	DPOGS210188-PA	Bany_06655-RA
OG0005496	DPOGS204639-PA	Bany_16569-RA
OG0005497	DPOGS206132-PA	Bany_01990-RA
OG0005498	DPOGS210577-PA	Bany_10716-RA
OG0005499	DPOGS209448-PA	Bany_05959-RA
OG0005500	DPOGS214629-PA	Bany_09449-RA
OG0005501	DPOGS204695-PA	Bany_14400-RA
OG0005502	DPOGS214630-PA	Bany_09450-RA
OG0005503	DPOGS210633-PA	Bany_10717-RA
OG0005504	DPOGS209447-PA	Bany_05963-RA
OG0005505	DPOGS206337-PA	Bany_08777-RA
OG0005506	DPOGS204696-PA	Bany_14405-RA
OG0005507	DPOGS206327-PA	Bany_08778-RA
OG0005508	DPOGS200463-PA	Bany_01056-RA
OG0005509	DPOGS204659-PA	Bany_14406-RA
OG0005510	DPOGS215222-PA	Bany_17053-RA
OG0005511	DPOGS200460-PA	Bany_01057-RA
OG0005512	DPOGS210636-PA	Bany_10720-RA
OG0005513	DPOGS215178-PA	Bany_17054-RA
OG0005514	DPOGS209804-PA	Bany_11920-RA
OG0005515	DPOGS215179-PA	Bany_17058-RA
OG0005516	DPOGS212551-PA	Bany_08058-RA
OG0005517	DPOGS204698-PA	Bany_14411-RA
OG0005518	DPOGS209467-PA	Bany_05977-RA
OG0005519	DPOGS209805-PA	Bany_11922-RA
OG0005520	DPOGS206788-PA	Bany_07276-RA
OG0005521	DPOGS215737-PA	Bany_04463-RA
OG0005522	DPOGS215180-PA	Bany_17059-RA
OG0005523	DPOGS212083-PA	Bany_02759-RA
OG0005524	DPOGS204140-PA	Bany_10727-RA
OG0005525	DPOGS215685-PA	Bany_04465-RA
OG0005526	DPOGS200461-PA	Bany_01061-RA
OG0005527	DPOGS207185-PA	Bany_07278-RA
OG0005528	DPOGS204699-PA	Bany_14414-RA
OG0005529	DPOGS212308-PA	Bany_16208-RA
OG0005530	DPOGS202270-PA	Bany_09459-RA
OG0005531	DPOGS202317-PA	Bany_09460-RA
OG0005532	DPOGS204139-PA	Bany_10729-RA
OG0005533	DPOGS202316-PA	Bany_09462-RA
OG0005534	DPOGS202272-PA	Bany_09463-RA
OG0005535	DPOGS204138-PA	Bany_10731-RA
OG0005536	DPOGS204701-PA	Bany_14416-RA
OG0005537	DPOGS208171-PA	Bany_16590-RA
OG0005538	DPOGS204137-PA	Bany_10733-RA
OG0005539	DPOGS203517-PA	Bany_02007-RA
OG0005540	DPOGS204102-PA	Bany_10734-RA
OG0005541	DPOGS208526-PA	Bany_13182-RA
OG0005542	DPOGS204104-PA	Bany_10737-RA
OG0005543	DPOGS204089-PA	Bany_01064-RA
OG0005544	DPOGS212179-PA	Bany_02764-RA
OG0005545	DPOGS202274-PA	Bany_09466-RA
OG0005546	DPOGS202313-PA	Bany_09467-RA
OG0005547	DPOGS204704-PA	Bany_14421-RA
OG0005548	DPOGS213792-PA	Bany_16594-RA
OG0005549	DPOGS204107-PA	Bany_10740-RA
OG0005550	DPOGS204133-PA	Bany_10741-RA
OG0005551	DPOGS202938-PA	Bany_11299-RA
OG0005552	DPOGS215190-PA, DPOGS215192-PA	Bany_17066-RA
OG0005553	DPOGS215739-PA	Bany_04471-RA
OG0005554	DPOGS202277-PA	Bany_09471-RA
OG0005555	DPOGS215741-PA	Bany_04474-RA
OG0005556	DPOGS203548-PA	Bany_02009-RA
OG0005557	DPOGS212598-PA	Bany_06000-RA
OG0005558	DPOGS212621-PA	Bany_06001-RA
OG0005559	DPOGS212599-PA	Bany_06002-RA
OG0005560	DPOGS202310-PA	Bany_09473-RA
OG0005561	DPOGS209814-PA	Bany_11928-RA
OG0005562	DPOGS215193-PA	Bany_17071-RA
OG0005563	DPOGS204110-PA	Bany_10747-RA
OG0005564	DPOGS215215-PA	Bany_17073-RA
OG0005565	DPOGS215681-PA	Bany_04481-RA
OG0005566	DPOGS202280-PA	Bany_09476-RA
OG0005567	DPOGS202307-PA	Bany_09477-RA
OG0005568	DPOGS208808-PA	Bany_00189-RA
OG0005569	DPOGS202281-PA	Bany_09478-RA
OG0005570	DPOGS204112-PA	Bany_10752-RA
OG0005571	DPOGS210838-PA	Bany_08070-RA
OG0005572	DPOGS200157-PA	Bany_16213-RA
OG0005573	DPOGS202305-PA	Bany_09481-RA
OG0005574	DPOGS202283-PA	Bany_09482-RA
OG0005575	DPOGS203184-PA	Bany_01076-RA
OG0005576	DPOGS204129-PA	Bany_10754-RA
OG0005577	DPOGS204114-PA	Bany_10755-RA
OG0005578	DPOGS206775-PA	Bany_17831-RA
OG0005579	DPOGS212602-PA	Bany_06010-RA
OG0005580	DPOGS208508-PA	Bany_13188-RA
OG0005581	DPOGS206757-PA	Bany_06684-RA
OG0005582	DPOGS202284-PA	Bany_09485-RA
OG0005583	DPOGS203183-PA	Bany_01078-RA
OG0005584	DPOGS215195-PA	Bany_17076-RA
OG0005585	DPOGS208427-PA	Bany_07704-RA, Bany_01079-RA, Bany_14467-RA
OG0005586	DPOGS204618-PA	Bany_12679-RA
OG0005587	DPOGS202303-PA	Bany_09486-RA
OG0005588	DPOGS215196-PA	Bany_17077-RA
OG0005589	DPOGS204117-PA	Bany_10758-RA
OG0005590	DPOGS200118-PA	Bany_11931-RA
OG0005591	DPOGS202302-PA	Bany_09487-RA
OG0005592	DPOGS201304-PA	Bany_03568-RA
OG0005593	DPOGS201310-PA	Bany_03569-RA
OG0005594	DPOGS215197-PA	Bany_17079-RA
OG0005595	DPOGS212627-PA	Bany_06013-RA
OG0005596	DPOGS202925-PA	Bany_11301-RA
OG0005597	DPOGS215198-PA	Bany_17081-RA
OG0005598	DPOGS208509-PA	Bany_13189-RA
OG0005599	DPOGS200706-PA	Bany_06688-RA
OG0005600	DPOGS212973-PA	Bany_13755-RA
OG0005601	DPOGS212173-PA	Bany_02771-RA
OG0005602	DPOGS204120-PA	Bany_10765-RA
OG0005603	DPOGS204126-PA	Bany_10766-RA
OG0005604	DPOGS210639-PA	Bany_16222-RA
OG0005605	DPOGS207210-PA	Bany_17835-RA
OG0005606	DPOGS204121-PA	Bany_10767-RA
OG0005607	DPOGS215200-PA	Bany_17088-RA
OG0005608	DPOGS209780-PA	Bany_17140-RA, Bany_10768-RA
OG0005609	DPOGS212088-PA	Bany_02773-RA
OG0005610	DPOGS202936-PA	Bany_11305-RA
OG0005611	DPOGS212171-PA	Bany_02774-RA
OG0005612	DPOGS206776-PA	Bany_17836-RA
OG0005613	DPOGS203523-PA	Bany_02026-RA
OG0005614	DPOGS212089-PA	Bany_02775-RA
OG0005615	DPOGS213788-PA	Bany_16602-RA
OG0005616	DPOGS212926-PA	Bany_13761-RA
OG0005617	DPOGS210866-PA	Bany_08085-RA
OG0005618	DPOGS206512-PA	Bany_10021-RA
OG0005619	DPOGS214508-PA	Bany_14993-RA
OG0005620	DPOGS210116-PA	Bany_10022-RA
OG0005621	DPOGS203362-PA	Bany_16229-RA
OG0005622	DPOGS216044-PA	Bany_14429-RA
OG0005623	DPOGS212092-PA	Bany_02778-RA
OG0005624	DPOGS216063-PA	Bany_14430-RA
OG0005626	DPOGS208524-PA	Bany_13193-RA
OG0005627	DPOGS200011-PA	Bany_06696-RA
OG0005628	DPOGS201062-PA	Bany_06024-RA
OG0005629	DPOGS202047-PA	Bany_05314-RA
OG0005630	DPOGS216059-PA	Bany_14436-RA
OG0005631	DPOGS212980-PA	Bany_13770-RA
OG0005632	DPOGS204965-PA	Bany_01089-RA
OG0005633	DPOGS214079-PA	Bany_08790-RA
OG0005634	DPOGS213748-PA	Bany_16604-RA
OG0005635	DPOGS202297-PA	Bany_09492-RA
OG0005636	DPOGS202034-PA	Bany_05315-RA
OG0005637	DPOGS202929-PA	Bany_11313-RA
OG0005638	DPOGS204963-PA, DPOGS214662-PA	Bany_01090-RA
OG0005639	DPOGS202046-PA	Bany_05316-RA
OG0005640	DPOGS202035-PA	Bany_05317-RA
OG0005641	DPOGS202932-PA	Bany_11314-RA
OG0005642	DPOGS202044-PA	Bany_05318-RA
OG0005643	DPOGS202036-PA	Bany_05319-RA
OG0005644	DPOGS203357-PA, DPOGS203356-PA	Bany_16234-RA
OG0005645	DPOGS202930-PA	Bany_11315-RA
OG0005646	DPOGS203355-PA	Bany_16235-RA
OG0005647	DPOGS202037-PA	Bany_05320-RA
OG0005648	DPOGS202043-PA	Bany_05321-RA
OG0005649	DPOGS205587-PA	Bany_06699-RA
OG0005650	DPOGS212094-PA	Bany_02784-RA
OG0005651	DPOGS201599-PA	Bany_12693-RA
OG0005653	DPOGS210795-PA	Bany_08091-RA, Bany_08097-RA
OG0005654	DPOGS204962-PA	Bany_01092-RA
OG0005655	DPOGS214505-PA	Bany_14994-RA
OG0005656	DPOGS201300-PA	Bany_03579-RA
OG0005657	DPOGS216210-PA	Bany_17519-RA
OG0005658	DPOGS210796-PA	Bany_08096-RA
OG0005659	DPOGS207499-PA	Bany_11318-RA
OG0005660	DPOGS203538-PA	Bany_02038-RA
OG0005661	DPOGS201615-PA	Bany_12699-RA
OG0005662	DPOGS216209-PA	Bany_17520-RA
OG0005663	DPOGS200096-PA	Bany_07291-RA
OG0005664	DPOGS201603-PA	Bany_12701-RA
OG0005665	DPOGS201298-PA	Bany_03582-RA
OG0005666	DPOGS202573-PA	Bany_02039-RA
OG0005667	DPOGS212903-PA	Bany_16239-RA
OG0005668	DPOGS201583-PA	Bany_12702-RA
OG0005669	DPOGS202562-PA	Bany_02040-RA
OG0005670	DPOGS215751-PA	Bany_04494-RA
OG0005671	DPOGS202574-PA	Bany_02041-RA
OG0005672	DPOGS208609-PA	Bany_17524-RA
OG0005673	DPOGS208522-PA	Bany_13197-RA
OG0005674	DPOGS215679-PA	Bany_04495-RA
OG0005675	DPOGS212095-PA	Bany_02788-RA
OG0005676	DPOGS202560-PA	Bany_02043-RA
OG0005677	DPOGS210122-PA	Bany_10028-RA
OG0005678	DPOGS210871-PA	Bany_07765-RA, Bany_08098-RA
OG0005679	DPOGS212096-PA	Bany_02789-RA
OG0005680	DPOGS206778-PA	Bany_17841-RA
OG0005681	DPOGS212097-PA	Bany_02790-RA
OG0005682	DPOGS210038-PA	Bany_10029-RA
OG0005683	DPOGS210793-PA	Bany_08100-RA
OG0005684	DPOGS210123-PA	Bany_10031-RA
OG0005685	DPOGS202559-PA	Bany_02045-RA
OG0005686	DPOGS215752-PA	Bany_04496-RA
OG0005687	DPOGS200086-PA	Bany_07297-RA
OG0005688	DPOGS215677-PA	Bany_04498-RA
OG0005689	DPOGS201295-PA	Bany_03588-RA
OG0005690	DPOGS203448-PA	Bany_01099-RA
OG0005691	DPOGS200792-PA	Bany_16246-RA
OG0005692	DPOGS201321-PA	Bany_03589-RA
OG0005693	DPOGS207208-PA	Bany_17843-RA
OG0005694	DPOGS201294-PA	Bany_03592-RA
OG0005695	DPOGS205238-PA	Bany_12711-RA
OG0005696	DPOGS202556-PA	Bany_02048-RA
OG0005697	DPOGS207534-PA	Bany_11321-RA
OG0005698	DPOGS202577-PA	Bany_02049-RA
OG0005699	DPOGS201942-PA	Bany_13776-RA
OG0005700	DPOGS214017-PA	Bany_17845-RA
OG0005701	DPOGS215558-PA	Bany_17846-RA
OG0005702	DPOGS201322-PA	Bany_03593-RA
OG0005703	DPOGS211311-PA	Bany_09505-RA
OG0005704	DPOGS201293-PA	Bany_03594-RA
OG0005705	DPOGS211094-PA	Bany_09507-RA
OG0005706	DPOGS212682-PA, DPOGS204933-PA	Bany_08797-RA
OG0005707	DPOGS206159-PA	Bany_07307-RA
OG0005708	DPOGS211319-PA	Bany_09508-RA
OG0005709	DPOGS206025-PA	Bany_07308-RA
OG0005710	DPOGS215675-PA	Bany_04500-RA
OG0005711	DPOGS206234-PA, DPOGS206233-PA	Bany_06705-RA
OG0005712	DPOGS209017-PA	Bany_11951-RA
OG0005713	DPOGS212639-PA	Bany_11952-RA
OG0005714	DPOGS204943-PA	Bany_08799-RA
OG0005716	DPOGS208521-PA	Bany_13199-RA
OG0005717	DPOGS213056-PA	Bany_00211-RA
OG0005718	DPOGS211707-PA	Bany_17111-RA
OG0005719	DPOGS212102-PA	Bany_02808-RA
OG0005720	DPOGS212161-PA	Bany_02809-RA
OG0005721	DPOGS210124-PA	Bany_10034-RA
OG0005722	DPOGS206224-PA	Bany_06707-RA
OG0005723	DPOGS204935-PA	Bany_08802-RA
OG0005724	DPOGS209015-PA	Bany_11956-RA
OG0005725	DPOGS211126-PA	Bany_03602-RA
OG0005726	DPOGS209010-PA	Bany_11959-RA
OG0005727	DPOGS211174-PA	Bany_03603-RA
OG0005728	DPOGS211127-PA	Bany_03604-RA
OG0005729	DPOGS212105-PA	Bany_02813-RA
OG0005730	DPOGS210032-PA	Bany_10037-RA
OG0005731	DPOGS201939-PA	Bany_13777-RA
OG0005732	DPOGS206774-PA	Bany_17857-RA
OG0005733	DPOGS208520-PA	Bany_13200-RA
OG0005734	DPOGS211173-PA	Bany_03606-RA
OG0005735	DPOGS212106-PA	Bany_02816-RA
OG0005736	DPOGS210774-PA	Bany_01105-RA
OG0005737	DPOGS208519-PA	Bany_13203-RA
OG0005738	DPOGS210030-PA	Bany_10039-RA
OG0005739	DPOGS211172-PA	Bany_03609-RA
OG0005740	DPOGS206220-PA	Bany_06712-RA
OG0005741	DPOGS213057-PA	Bany_00214-RA
OG0005742	DPOGS204558-PA	Bany_02061-RA
OG0005743	DPOGS206024-PA	Bany_07311-RA
OG0005744	DPOGS213778-PA	Bany_16617-RA
OG0005745	DPOGS211326-PA	Bany_09518-RA
OG0005746	DPOGS213684-PA	Bany_06033-RA
OG0005747	DPOGS211132-PA	Bany_03615-RA
OG0005748	DPOGS204557-PA	Bany_02064-RA
OG0005749	DPOGS213679-PA	Bany_06034-RA
OG0005750	DPOGS205173-PA	Bany_05349-RA
OG0005751	DPOGS204586-PA	Bany_15002-RA
OG0005752	DPOGS213686-PA	Bany_06037-RA
OG0005753	DPOGS213678-PA	Bany_06038-RA
OG0005754	DPOGS211167-PA	Bany_03619-RA
OG0005755	DPOGS204590-PA	Bany_15006-RA
OG0005756	DPOGS211134-PA	Bany_03620-RA
OG0005758	DPOGS211166-PA	Bany_03621-RA
OG0005759	DPOGS204525-PA	Bany_02066-RA
OG0005760	DPOGS210979-PA	Bany_10790-RA
OG0005761	DPOGS212149-PA	Bany_02823-RA
OG0005762	DPOGS211135-PA	Bany_03622-RA
OG0005763	DPOGS210791-PA	Bany_08104-RA
OG0005764	DPOGS211165-PA	Bany_03623-RA
OG0005765	DPOGS210873-PA	Bany_08105-RA
OG0005766	DPOGS210790-PA	Bany_08106-RA
OG0005767	DPOGS211136-PA	Bany_03624-RA
OG0005768	DPOGS210874-PA	Bany_08107-RA
OG0005769	DPOGS206216-PA	Bany_06718-RA
OG0005770	DPOGS211702-PA	Bany_01111-RA
