Orthogroup	Danaus_plexippus	Vanessa_tameamea
OG0003980	DPOGS201525-PA	XP_026497104.1
OG0003981	DPOGS206454-PA	XP_026499618.1
OG0003982	DPOGS205978-PA	XP_026486383.1, XP_026486382.1
OG0003983	DPOGS211059-PA	XP_026496043.1
OG0003984	DPOGS206465-PA	XP_026499677.1
OG0003985	DPOGS201048-PA	XP_026497028.1
OG0003986	DPOGS209184-PA	XP_026496390.1, XP_026496391.1
OG0003987	DPOGS205029-PA	XP_026484189.1
OG0003989	DPOGS201725-PA	XP_026483726.1, XP_026483725.1
OG0003990	DPOGS212819-PA	XP_026486694.1
OG0003991	DPOGS207955-PA	XP_026486368.1
OG0003992	DPOGS214033-PA	XP_026493807.1
OG0003993	DPOGS208604-PA	XP_026486734.1
OG0003994	DPOGS201726-PA	XP_026483728.1
OG0003995	DPOGS214447-PA	XP_026496049.1, XP_026496048.1
OG0003996	DPOGS200422-PA	XP_026495798.1
OG0003997	DPOGS214449-PA	XP_026496066.1
OG0003998	DPOGS201674-PA	XP_026499740.1
OG0003999	DPOGS214450-PA	XP_026496062.1
OG0004000	DPOGS201665-PA	XP_026499728.1
OG0004001	DPOGS214458-PA, DPOGS214457-PA	XP_026496059.1
OG0004002	DPOGS209162-PA	XP_026489814.1
OG0004003	DPOGS213554-PA	XP_026499102.1
OG0004004	DPOGS205790-PA	XP_026501480.1
OG0004005	DPOGS207961-PA, DPOGS206181-PA	XP_026485783.1
OG0004006	DPOGS201391-PA	XP_026489502.1
OG0004007	DPOGS213556-PA	XP_026499075.1
OG0004008	DPOGS214034-PA	XP_026493803.1
OG0004009	DPOGS209266-PA	XP_026488478.1
OG0004010	DPOGS215981-PA	XP_026491796.1
OG0004011	DPOGS214489-PA	XP_026486728.1
OG0004012	DPOGS203650-PA	XP_026493648.1
OG0004013	DPOGS212678-PA, DPOGS209564-PA	XP_026494430.1
OG0004014	DPOGS201081-PA	XP_026493115.1
OG0004015	DPOGS215505-PA	XP_026486381.1
OG0004016	DPOGS201356-PA	XP_026489781.1
OG0004017	DPOGS206062-PA	XP_026495048.1
OG0004018	DPOGS205788-PA	XP_026500990.1
OG0004019	DPOGS209332-PA	XP_026487579.1
OG0004020	DPOGS216005-PA	XP_026491150.1
OG0004021	DPOGS201821-PA	XP_026501353.1
OG0004022	DPOGS207962-PA	XP_026486140.1
OG0004023	DPOGS204485-PA	XP_026484394.1
OG0004024	DPOGS214573-PA	XP_026489683.1
OG0004025	DPOGS212696-PA	XP_026488990.1
OG0004026	DPOGS215507-PA	XP_026486380.1
OG0004027	DPOGS207943-PA, DPOGS211686-PA	XP_026486070.1
OG0004028	DPOGS214640-PA	XP_026489687.1, XP_026489686.1
OG0004029	DPOGS212768-PA, DPOGS212767-PA	XP_026488599.1
OG0004030	DPOGS205783-PA	XP_026483517.1
OG0004031	DPOGS213971-PA, DPOGS201720-PA	XP_026483693.1
OG0004032	DPOGS209606-PA	XP_026489958.1
OG0004033	DPOGS207941-PA	XP_026486175.1
OG0004034	DPOGS205782-PA	XP_026483530.1
OG0004035	DPOGS207371-PA	XP_026495576.1
OG0004036	DPOGS204481-PA	XP_026484883.1
OG0004037	DPOGS207390-PA	XP_026495570.1, XP_026495569.1
OG0004038	DPOGS201734-PA, DPOGS201733-PA	XP_026483724.1
OG0004039	DPOGS206109-PA	XP_026495121.1
OG0004040	DPOGS215117-PA	XP_026494154.1, XP_026489761.1, XP_026499905.1
OG0004041	DPOGS215116-PA, DPOGS215115-PA	XP_026494149.1
OG0004042	DPOGS215101-PA	XP_026494148.1
OG0004043	DPOGS203585-PA	XP_026483868.1
OG0004044	DPOGS215103-PA	XP_026496060.1
OG0004045	DPOGS206018-PA	XP_026493878.1
OG0004047	DPOGS203844-PA	XP_026501046.1
OG0004048	DPOGS214576-PA	XP_026489667.1
OG0004049	DPOGS203635-PA	XP_026483794.1
OG0004050	DPOGS214496-PA, DPOGS214495-PA	XP_026494067.1
OG0004051	DPOGS204562-PA, DPOGS215105-PA	XP_026498318.1
OG0004052	DPOGS203586-PA	XP_026483783.1
OG0004053	DPOGS203655-PA	XP_026486399.1
OG0004055	DPOGS214635-PA	XP_026489665.1
OG0004056	DPOGS203588-PA	XP_026483691.1
OG0004057	DPOGS207375-PA	XP_026495687.1, XP_026495684.1, XP_026495685.1, XP_026495686.1
OG0004058	DPOGS203993-PA	XP_026500881.1
OG0004059	DPOGS202014-PA	XP_026496692.1, XP_026496691.1
OG0004060	DPOGS207462-PA	XP_026491403.1
OG0004061	DPOGS207608-PA	XP_026485364.1
OG0004062	DPOGS203657-PA	XP_026486394.1
OG0004063	DPOGS206704-PA	XP_026493969.1
OG0004064	DPOGS206703-PA	XP_026493971.1
OG0004065	DPOGS204502-PA	XP_026484409.1
OG0004066	DPOGS207609-PA	XP_026485383.1
OG0004067	DPOGS214952-PA	XP_026494169.1
OG0004068	DPOGS204351-PA	XP_026488268.1
OG0004069	DPOGS207474-PA	XP_026491397.1, XP_026491396.1
OG0004070	DPOGS207967-PA	XP_026486330.1, XP_026486331.1
OG0004071	DPOGS203902-PA	XP_026500830.1, XP_026500831.1
OG0004072	DPOGS210524-PA	XP_026492333.1
OG0004073	DPOGS204349-PA	XP_026488472.1
OG0004074	DPOGS210492-PA, DPOGS210491-PA	XP_026492271.1
OG0004075	DPOGS214945-PA	XP_026494374.1
OG0004076	DPOGS211674-PA, DPOGS211675-PA	XP_026483807.1
OG0004077	DPOGS203989-PA	XP_026500879.1
OG0004078	DPOGS201115-PA	XP_026494453.1
OG0004079	DPOGS206082-PA	XP_026495090.1, XP_026495089.1
OG0004080	DPOGS214045-PA	XP_026501794.1, XP_026501784.1, XP_026501786.1
OG0004081	DPOGS200543-PA	XP_026494550.1
OG0004082	DPOGS207971-PA	XP_026486332.1
OG0004083	DPOGS212192-PA, DPOGS207456-PA	XP_026491511.1
OG0004084	DPOGS210519-PA	XP_026490853.1, XP_026490844.1
OG0004085	DPOGS207476-PA	XP_026491222.1
OG0004086	DPOGS207916-PA	XP_026501754.1
OG0004087	DPOGS211671-PA	XP_026483732.1
OG0004088	DPOGS203150-PA	XP_026489777.1
OG0004089	DPOGS207478-PA	XP_026491571.1, XP_026491570.1, XP_026491569.1
OG0004090	DPOGS207452-PA	XP_026491261.1
OG0004091	DPOGS206087-PA	XP_026495120.1, XP_026495119.1
OG0004092	DPOGS206701-PA, DPOGS206702-PA	XP_026493832.1
OG0004093	DPOGS212724-PA	XP_026489088.1, XP_026489089.1
OG0004094	DPOGS210497-PA, DPOGS210513-PA	XP_026490967.1
OG0004095	DPOGS207480-PA	XP_026491198.1
OG0004096	DPOGS203663-PA	XP_026492739.1
OG0004097	DPOGS207313-PA	XP_026486920.1, XP_026486919.1
OG0004098	DPOGS201116-PA	XP_026494454.1
OG0004099	DPOGS204472-PA	XP_026484318.1
OG0004100	DPOGS203762-PA	XP_026493043.1
OG0004101	DPOGS201650-PA	XP_026484199.1
OG0004102	DPOGS203905-PA	XP_026500267.1, XP_026500268.1
OG0004103	DPOGS212291-PA	XP_026498669.1
OG0004104	DPOGS204342-PA	XP_026488277.1
OG0004105	DPOGS204330-PA	XP_026488469.1
OG0004106	DPOGS204420-PA	XP_026484866.1
OG0004107	DPOGS203666-PA	XP_026492643.1
OG0004108	DPOGS207484-PA	XP_026491276.1
OG0004109	DPOGS203667-PA	XP_026492645.1
OG0004110	DPOGS207485-PA	XP_026491282.1
OG0004111	DPOGS202480-PA	XP_026499973.1
OG0004112	DPOGS204422-PA	XP_026484501.1
OG0004113	DPOGS210500-PA	XP_026493311.1
OG0004114	DPOGS204465-PA, DPOGS204464-PA	XP_026484743.1
OG0004115	DPOGS205442-PA	XP_026483253.1
OG0004116	DPOGS203828-PA	XP_026492675.1
OG0004117	DPOGS205440-PA, DPOGS205441-PA	XP_026483262.1
OG0004118	DPOGS212536-PA, DPOGS212537-PA	XP_026484007.1
OG0004119	DPOGS215592-PA	XP_026485824.1
OG0004120	DPOGS210506-PA	XP_026492657.1
OG0004121	DPOGS200384-PA	XP_026488373.1, XP_026488374.1
OG0004122	DPOGS216037-PA	XP_026495642.1
OG0004123	DPOGS212535-PA	XP_026484008.1
OG0004124	DPOGS215595-PA	XP_026485818.1
OG0004125	DPOGS203739-PA	XP_026493600.1
OG0004126	DPOGS203738-PA	XP_026493599.1
OG0004127	DPOGS200260-PA	XP_026488387.1
OG0004128	DPOGS202343-PA	XP_026494389.1
OG0004129	DPOGS204461-PA	XP_026484641.1
OG0004130	DPOGS209327-PA	XP_026498120.1
OG0004131	DPOGS214070-PA	XP_026484435.1
OG0004132	DPOGS200443-PA	XP_026495526.1
OG0004133	DPOGS202342-PA	XP_026494363.1
OG0004134	DPOGS215598-PA	XP_026486103.1
OG0004135	DPOGS206598-PA	XP_026493913.1
OG0004136	DPOGS202242-PA	XP_026494369.1
OG0004137	DPOGS202340-PA	XP_026494343.1
OG0004138	DPOGS202339-PA	XP_026494176.1
OG0004139	DPOGS200802-PA	XP_026483239.1
OG0004140	DPOGS203735-PA	XP_026493604.1
OG0004141	DPOGS211251-PA	XP_026492373.1
OG0004142	DPOGS215080-PA	XP_026498162.1
OG0004143	DPOGS209313-PA	XP_026498147.1
OG0004144	DPOGS215079-PA	XP_026498150.1
OG0004145	DPOGS200409-PA	XP_026495525.1
OG0004146	DPOGS204456-PA, DPOGS209849-PA	XP_026485024.1
OG0004147	DPOGS206694-PA, DPOGS206695-PA	XP_026493915.1
OG0004148	DPOGS215564-PA	XP_026486104.1, XP_026486105.1
OG0004149	DPOGS214067-PA	XP_026485313.1
OG0004150	DPOGS211250-PA	XP_026492175.1
OG0004151	DPOGS202336-PA	XP_026494338.1
OG0004152	DPOGS203161-PA	XP_026498636.1, XP_026498637.1
OG0004154	DPOGS203964-PA	XP_026496153.1
OG0004155	DPOGS203965-PA	XP_026496157.1
OG0004156	DPOGS206881-PA	XP_026488841.1
OG0004157	DPOGS207050-PA	XP_026488832.1
OG0004158	DPOGS205063-PA	XP_026495231.1
OG0004159	DPOGS209314-PA	XP_026498142.1
OG0004160	DPOGS203676-PA	XP_026493682.1
OG0004161	DPOGS215562-PA	XP_026486069.1
OG0004162	DPOGS203925-PA	XP_026496223.1, XP_026496215.1
OG0004163	DPOGS211248-PA	XP_026492283.1, XP_026492282.1
OG0004164	DPOGS206431-PA	XP_026492190.1
OG0004165	DPOGS203677-PA	XP_026493723.1, XP_026493722.1
OG0004166	DPOGS206482-PA	XP_026492398.1
OG0004167	DPOGS201706-PA	XP_026489587.1
OG0004168	DPOGS200803-PA	XP_026492535.1, XP_026492537.1, XP_026492536.1
OG0004169	DPOGS208991-PA	XP_026496696.1
OG0004170	DPOGS203371-PA	XP_026500624.1
OG0004171	DPOGS213272-PA, DPOGS213273-PA	XP_026491180.1
OG0004172	DPOGS206600-PA	XP_026493875.1
OG0004173	DPOGS203335-PA	XP_026496096.1
OG0004174	DPOGS206885-PA	XP_026488929.1
OG0004175	DPOGS203771-PA	XP_026493571.1
OG0004176	DPOGS208086-PA	XP_026484712.1, XP_026484711.1
OG0004177	DPOGS200269-PA	XP_026495907.1
OG0004178	DPOGS208989-PA	XP_026497023.1
OG0004179	DPOGS206414-PA	XP_026498130.1
OG0004180	DPOGS205094-PA	XP_026495250.1
OG0004181	DPOGS200369-PA	XP_026488411.1, XP_026488412.1
OG0004182	DPOGS206425-PA	XP_026498143.1
OG0004183	DPOGS203814-PA	XP_026493705.1
OG0004184	DPOGS207597-PA	XP_026485739.1
OG0004185	DPOGS203775-PA	XP_026493572.1
OG0004186	DPOGS203686-PA	XP_026493755.1
OG0004187	DPOGS203374-PA	XP_026500536.1
OG0004188	DPOGS201088-PA	XP_026498161.1
OG0004189	DPOGS200528-PA	XP_026498224.1
OG0004190	DPOGS200620-PA	XP_026498787.1
OG0004191	DPOGS203330-PA	XP_026500538.1, XP_026500537.1
OG0004192	DPOGS209230-PA	XP_026498670.1
OG0004193	DPOGS201217-PA, DPOGS202250-PA	XP_026494177.1
OG0004194	DPOGS201654-PA	XP_026484200.1
OG0004195	DPOGS203810-PA	XP_026493730.1
OG0004196	DPOGS200565-PA	XP_026498230.1
OG0004197	DPOGS208067-PA	XP_026485082.1
OG0004198	DPOGS201069-PA, DPOGS201070-PA	XP_026498166.1
OG0004199	DPOGS206273-PA	XP_026489602.1
OG0004200	DPOGS202330-PA	XP_026494397.1
OG0004201	DPOGS206890-PA	XP_026489014.1, XP_026501317.1
OG0004202	DPOGS214062-PA	XP_026500192.1
OG0004203	DPOGS202328-PA	XP_026494230.1
OG0004204	DPOGS203378-PA	XP_026500541.1, XP_026500542.1
OG0004205	DPOGS201093-PA	XP_026498177.1
OG0004206	DPOGS202326-PA	XP_026494238.1
OG0004207	DPOGS207551-PA	XP_026485868.1
OG0004208	DPOGS203381-PA, DPOGS203382-PA	XP_026500609.1
OG0004209	DPOGS200523-PA	XP_026498294.1
OG0004210	DPOGS202257-PA, DPOGS202256-PA	XP_026494236.1
OG0004211	DPOGS204238-PA	XP_026484913.1
OG0004212	DPOGS203808-PA	XP_026493711.1
OG0004213	DPOGS208987-PA	XP_026496902.1, XP_026496901.1
OG0004214	DPOGS201096-PA	XP_026498528.1
OG0004215	DPOGS200522-PA	XP_026498305.1
OG0004216	DPOGS207902-PA	XP_026498681.1
OG0004217	DPOGS206533-PA	XP_026487691.1
OG0004218	DPOGS206265-PA	XP_026489571.1
OG0004219	DPOGS205647-PA	XP_026483957.1, XP_026483971.1
OG0004220	DPOGS209418-PA	XP_026493120.1
OG0004221	DPOGS202323-PA	XP_026494419.1
OG0004222	DPOGS201063-PA	XP_026498186.1
OG0004223	DPOGS202322-PA	XP_026494302.1
OG0004224	DPOGS207903-PA, DPOGS211750-PA	XP_026498653.1
OG0004225	DPOGS201986-PA	XP_026484016.1
OG0004226	DPOGS215988-PA	XP_026491248.1
OG0004227	DPOGS201985-PA	XP_026484029.1
OG0004228	DPOGS204304-PA	XP_026485018.1, XP_026484994.1
OG0004229	DPOGS214940-PA, DPOGS214937-PA, DPOGS214939-PA	XP_026494331.1
OG0004230	DPOGS200574-PA	XP_026498263.1
OG0004231	DPOGS205344-PA	XP_026488492.1
OG0004232	DPOGS214189-PA	XP_026487765.1
OG0004233	DPOGS207586-PA	XP_026485792.1
OG0004234	DPOGS206682-PA	XP_026493888.1
OG0004236	DPOGS206615-PA, DPOGS206614-PA	XP_026493908.1
OG0004237	DPOGS206261-PA	XP_026489596.1
OG0004238	DPOGS214191-PA	XP_026487739.1
OG0004239	DPOGS207584-PA	XP_026486242.1
OG0004240	DPOGS212295-PA, DPOGS212296-PA	XP_026498539.1
OG0004241	DPOGS214955-PA, DPOGS215950-PA	XP_026494335.1
OG0004242	DPOGS207583-PA	XP_026486239.1
OG0004243	DPOGS212294-PA	XP_026498596.1
OG0004244	DPOGS214935-PA	XP_026494391.1
OG0004245	DPOGS207034-PA	XP_026501275.1, XP_026501276.1
OG0004246	DPOGS204228-PA	XP_026484960.1
OG0004248	DPOGS207582-PA	XP_026486007.1
OG0004249	DPOGS204064-PA, DPOGS204063-PA	XP_026489584.1
OG0004250	DPOGS204227-PA	XP_026484987.1
OG0004251	DPOGS204309-PA	XP_026484884.1
OG0004252	DPOGS203804-PA	XP_026493766.1
OG0004253	DPOGS204226-PA	XP_026484910.1
OG0004254	DPOGS204068-PA	XP_026489603.1
OG0004255	DPOGS210940-PA	XP_026485494.1
OG0004256	DPOGS201990-PA	XP_026483409.1
OG0004257	DPOGS203803-PA	XP_026493790.1, XP_026493789.1
OG0004258	DPOGS204311-PA	XP_026484935.1
OG0004259	DPOGS207562-PA	XP_026486155.1
OG0004260	DPOGS214198-PA	XP_026487772.1
OG0004261	DPOGS204315-PA	XP_026485011.1, XP_026485010.1
OG0004262	DPOGS207031-PA	XP_026501329.1
OG0004263	DPOGS214201-PA	XP_026487728.1, XP_026487729.1
OG0004264	DPOGS203611-PA	XP_026488452.1
OG0004265	DPOGS201979-PA	XP_026484190.1, XP_026484198.1
OG0004266	DPOGS214318-PA, DPOGS214319-PA	XP_026495472.1
OG0004267	DPOGS212569-PA	XP_026500608.1
OG0004268	DPOGS201998-PA	XP_026484149.1
OG0004269	DPOGS203612-PA	XP_026488451.1
OG0004270	DPOGS214203-PA	XP_026487797.1
OG0004271	DPOGS204072-PA	XP_026489589.1
OG0004272	DPOGS214173-PA	XP_026487731.1
OG0004273	DPOGS209747-PA	XP_026495867.1
OG0004274	DPOGS207258-PA	XP_026486978.1
OG0004275	DPOGS212305-PA	XP_026498245.1
OG0004276	DPOGS214371-PA	XP_026495410.1
OG0004277	DPOGS204015-PA, DPOGS204014-PA	XP_026494383.1
OG0004278	DPOGS204051-PA	XP_026494388.1
OG0004279	DPOGS211584-PA	XP_026485537.1
OG0004280	DPOGS204016-PA	XP_026494386.1
OG0004281	DPOGS209708-PA	XP_026495663.1
OG0004282	DPOGS207296-PA	XP_026486804.1
OG0004283	DPOGS214315-PA	XP_026495469.1
OG0004284	DPOGS214207-PA	XP_026487705.1
OG0004285	DPOGS207024-PA	XP_026501397.1, XP_026501398.1
OG0004286	DPOGS203792-PA	XP_026493685.1
OG0004287	DPOGS200100-PA	XP_026500593.1
OG0004288	DPOGS207266-PA	XP_026486776.1
OG0004289	DPOGS211926-PA	XP_026491622.1
OG0004290	DPOGS203704-PA	XP_026493713.1
OG0004291	DPOGS206913-PA	XP_026489071.1
OG0004292	DPOGS206570-PA	XP_026492040.1
OG0004293	DPOGS207799-PA, DPOGS207797-PA	XP_026499584.1
OG0004294	DPOGS214215-PA, DPOGS214162-PA	XP_026487719.1
OG0004295	DPOGS213278-PA	XP_026491643.1
OG0004296	DPOGS209741-PA	XP_026495523.1
OG0004297	DPOGS208876-PA, DPOGS208874-PA	XP_026496955.1
OG0004298	DPOGS212255-PA	XP_026498666.1
OG0004299	DPOGS213279-PA, DPOGS211897-PA	XP_026491673.1
OG0004300	DPOGS207801-PA	XP_026499716.1
OG0004301	DPOGS209738-PA	XP_026495922.1
OG0004302	DPOGS208878-PA	XP_026497014.1
OG0004303	DPOGS210759-PA	XP_026485531.1
OG0004304	DPOGS207803-PA	XP_026499696.1
OG0004305	DPOGS206044-PA, DPOGS206043-PA	XP_026499713.1
OG0004306	DPOGS209715-PA	XP_026495612.1, XP_026495611.1
OG0004307	DPOGS204081-PA	XP_026489581.1
OG0004308	DPOGS212784-PA	XP_026488875.1
OG0004309	DPOGS205868-PA	XP_026483956.1
OG0004310	DPOGS215057-PA	XP_026488128.1
OG0004311	DPOGS211893-PA	XP_026491783.1
OG0004312	DPOGS207760-PA	XP_026499592.1
OG0004313	DPOGS208980-PA	XP_026496946.1
OG0004314	DPOGS207288-PA	XP_026486792.1, XP_026486791.1
OG0004315	DPOGS208977-PA	XP_026496945.1
OG0004316	DPOGS209733-PA	XP_026495743.1
OG0004317	DPOGS214335-PA	XP_026495437.1
OG0004318	DPOGS207432-PA	XP_026498296.1
OG0004319	DPOGS208882-PA	XP_026496943.1
OG0004320	DPOGS214158-PA	XP_026487614.1
OG0004321	DPOGS206625-PA, DPOGS206626-PA	XP_026493942.1
OG0004322	DPOGS206569-PA	XP_026492036.1
OG0004323	DPOGS206567-PA, DPOGS206568-PA	XP_026492038.1
OG0004324	DPOGS214337-PA	XP_026495474.1
OG0004325	DPOGS213028-PA	XP_026494807.1
OG0004326	DPOGS203789-PA	XP_026493673.1, XP_026493674.1
OG0004327	DPOGS208890-PA	XP_026497005.1
OG0004328	DPOGS203711-PA	XP_026493749.1
OG0004329	DPOGS211934-PA	XP_026491625.1
OG0004330	DPOGS212999-PA	XP_026495148.1
OG0004331	DPOGS206915-PA	XP_026489068.1
OG0004332	DPOGS203619-PA	XP_026488440.1
OG0004333	DPOGS206954-PA	XP_026488948.1
OG0004334	DPOGS201964-PA	XP_026485003.1
OG0004335	DPOGS202005-PA	XP_026484992.1
OG0004336	DPOGS206563-PA	XP_026492020.1
OG0004337	DPOGS206951-PA	XP_026488941.1
OG0004338	DPOGS206631-PA	XP_026494006.1
OG0004339	DPOGS204045-PA	XP_026494217.1
OG0004340	DPOGS214849-PA, DPOGS214850-PA	XP_026497532.1
OG0004341	DPOGS203069-PA	XP_026485000.1
OG0004342	DPOGS208971-PA	XP_026496904.1
OG0004343	DPOGS206559-PA	XP_026492544.1, XP_026492548.1
OG0004344	DPOGS207426-PA	XP_026498248.1
OG0004345	DPOGS203071-PA	XP_026484978.1
OG0004346	DPOGS208052-PA	XP_026493296.1
OG0004347	DPOGS214861-PA	XP_026497398.1
OG0004348	DPOGS215968-PA	XP_026491814.1
OG0004349	DPOGS203077-PA	XP_026484986.1
OG0004350	DPOGS202634-PA	XP_026494037.1
OG0004351	DPOGS204019-PA	XP_026498934.1
OG0004352	DPOGS208054-PA	XP_026493272.1
OG0004353	DPOGS206148-PA	XP_026500582.1, XP_026500581.1
OG0004354	DPOGS209070-PA	XP_026497452.1
OG0004355	DPOGS207420-PA	XP_026498271.1
OG0004356	DPOGS215962-PA	XP_026491667.1
OG0004357	DPOGS208667-PA	XP_026484965.1
OG0004358	DPOGS208975-PA	XP_026496937.1
OG0004359	DPOGS206029-PA	XP_026500571.1, XP_026500570.1
OG0004360	DPOGS207813-PA	XP_026499586.1
OG0004361	DPOGS207271-PA	XP_026486941.1
OG0004362	DPOGS207409-PA	XP_026498253.1
OG0004363	DPOGS206947-PA	XP_026489031.1
OG0004364	DPOGS202895-PA	XP_026496483.1, XP_026496482.1
OG0004365	DPOGS200480-PA	XP_026500121.1
OG0004366	DPOGS207817-PA	XP_026499647.1, XP_026499646.1
OG0004367	DPOGS208639-PA	XP_026484984.1
OG0004368	DPOGS206046-PA	XP_026499189.1, XP_026499181.1
OG0004369	DPOGS202379-PA	XP_026500063.1
OG0004370	DPOGS204037-PA	XP_026498940.1, XP_026498941.1
OG0004371	DPOGS213049-PA	XP_026495750.1
OG0004372	DPOGS204036-PA	XP_026498936.1
OG0004373	DPOGS210754-PA	XP_026485472.1
OG0004374	DPOGS208660-PA	XP_026484997.1, XP_026484998.1
OG0004375	DPOGS204034-PA	XP_026498913.1
OG0004376	DPOGS208914-PA	XP_026496751.1
OG0004377	DPOGS208659-PA	XP_026484595.1
OG0004378	DPOGS208642-PA, DPOGS208643-PA	XP_026485155.1
OG0004379	DPOGS209543-PA	XP_026493262.1
OG0004380	DPOGS215954-PA	XP_026491620.1
OG0004381	DPOGS206133-PA	XP_026499094.1
OG0004382	DPOGS208657-PA	XP_026485157.1
OG0004383	DPOGS209535-PA	XP_026497770.1
OG0004384	DPOGS207279-PA	XP_026486880.1
OG0004385	DPOGS200486-PA	XP_026500139.1
OG0004386	DPOGS204851-PA, DPOGS204852-PA	XP_026486780.1
OG0004387	DPOGS209556-PA	XP_026493421.1, XP_026497179.1, XP_026498880.1
OG0004388	DPOGS202430-PA	XP_026483943.1
OG0004389	DPOGS215953-PA	XP_026491756.1
OG0004390	DPOGS204846-PA	XP_026486867.1, XP_026486866.1
OG0004391	DPOGS213435-PA	XP_026488269.1
OG0004392	DPOGS215629-PA	XP_026487844.1
OG0004393	DPOGS208655-PA	XP_026485165.1, XP_026485166.1
OG0004394	DPOGS209029-PA	XP_026483185.1
OG0004395	DPOGS202449-PA	XP_026486058.1
OG0004396	DPOGS215787-PA	XP_026487846.1
OG0004397	DPOGS209061-PA	XP_026483183.1
OG0004398	DPOGS200489-PA, DPOGS200488-PA	XP_026500148.1
OG0004399	DPOGS215628-PA	XP_026487851.1
OG0004400	DPOGS205858-PA	XP_026498287.1
OG0004401	DPOGS209550-PA	XP_026493417.1
OG0004402	DPOGS202592-PA, DPOGS212273-PA	XP_026498558.1
OG0004403	DPOGS203970-PA	XP_026499915.1
OG0004404	DPOGS202444-PA, DPOGS202445-PA	XP_026485689.1
OG0004405	DPOGS200492-PA	XP_026501089.1
OG0004406	DPOGS205820-PA	XP_026498288.1
OG0004407	DPOGS207548-PA	XP_026485686.1, XP_026485685.1
OG0004408	DPOGS215625-PA	XP_026487845.1
OG0004409	DPOGS208654-PA	XP_026485167.1
OG0004410	DPOGS207600-PA	XP_026485697.1, XP_026485698.1
OG0004411	DPOGS207601-PA	XP_026485695.1
OG0004412	DPOGS207546-PA	XP_026485690.1
OG0004413	DPOGS207829-PA, DPOGS207830-PA	XP_026499816.1
OG0004414	DPOGS208902-PA	XP_026496933.1
OG0004415	DPOGS207836-PA	XP_026499812.1
OG0004416	DPOGS204853-PA	XP_026486781.1
OG0004417	DPOGS202596-PA	XP_026498576.1, XP_026498578.1
OG0004418	DPOGS208071-PA	XP_026484813.1
OG0004419	DPOGS209054-PA	XP_026483219.1
OG0004420	DPOGS210684-PA	XP_026485358.1
OG0004421	DPOGS208069-PA	XP_026485081.1, XP_026485080.1
OG0004422	DPOGS208079-PA	XP_026485073.1, XP_026485074.1
OG0004423	DPOGS209537-PA	XP_026497766.1
OG0004424	DPOGS211638-PA	XP_026499170.1
OG0004425	DPOGS208068-PA	XP_026485085.1
OG0004426	DPOGS206866-PA	XP_026494498.1
OG0004427	DPOGS201490-PA	XP_026496596.1
OG0004428	DPOGS207070-PA	XP_026494496.1
OG0004429	DPOGS209040-PA, DPOGS209041-PA	XP_026483198.1
OG0004430	DPOGS211646-PA, DPOGS208145-PA	XP_026499212.1
OG0004431	DPOGS204248-PA	XP_026484990.1
OG0004432	DPOGS203973-PA	XP_026499493.1
OG0004433	DPOGS214340-PA	XP_026495404.1
OG0004434	DPOGS212811-PA	XP_026498897.1
OG0004435	DPOGS211633-PA, DPOGS211632-PA	XP_026499216.1
OG0004436	DPOGS212873-PA	XP_026498909.1, XP_026498910.1
OG0004437	DPOGS210686-PA, DPOGS210687-PA	XP_026485310.1
OG0004438	DPOGS213236-PA, DPOGS213235-PA	XP_026496120.1
OG0004439	DPOGS212814-PA	XP_026498904.1
OG0004440	DPOGS212815-PA	XP_026498911.1
OG0004441	DPOGS214144-PA	XP_026487463.1
OG0004442	DPOGS208376-PA	XP_026498390.1
OG0004443	DPOGS200984-PA	XP_026495724.1
OG0004444	DPOGS212816-PA	XP_026498886.1
OG0004445	DPOGS214220-PA	XP_026487448.1
OG0004446	DPOGS205873-PA, DPOGS205872-PA	XP_026483999.1
OG0004447	DPOGS201024-PA	XP_026495723.1
OG0004448	DPOGS209895-PA	XP_026496537.1
OG0004449	DPOGS214152-PA	XP_026487375.1, XP_026487374.1
OG0004450	DPOGS213832-PA	XP_026498556.1, XP_026498555.1
OG0004451	DPOGS202111-PA	XP_026495190.1, XP_026495189.1
OG0004452	DPOGS208963-PA	XP_026496856.1, XP_026496857.1
OG0004453	DPOGS214254-PA	XP_026487548.1
OG0004454	DPOGS205881-PA, DPOGS205251-PA	XP_026483989.1
OG0004455	DPOGS213828-PA	XP_026498552.1
OG0004456	DPOGS212864-PA	XP_026486683.1
OG0004457	DPOGS211658-PA	XP_026499068.1
OG0004458	DPOGS200986-PA	XP_026495717.1, XP_026495718.1
OG0004459	DPOGS208965-PA	XP_026492771.1
OG0004460	DPOGS213826-PA, DPOGS213827-PA	XP_026498684.1
OG0004461	DPOGS209902-PA	XP_026496526.1
OG0004462	DPOGS204290-PA	XP_026484325.1
OG0004463	DPOGS211903-PA	XP_026491517.1
OG0004464	DPOGS204264-PA	XP_026484337.1
OG0004465	DPOGS209905-PA	XP_026496517.1
OG0004466	DPOGS205765-PA, DPOGS205764-PA	XP_026486068.1
OG0004467	DPOGS211910-PA	XP_026491328.1
OG0004468	DPOGS202636-PA	XP_026493921.1
OG0004469	DPOGS207713-PA	XP_026499788.1
OG0004470	DPOGS213841-PA	XP_026498672.1
OG0004471	DPOGS210747-PA	XP_026485620.1, XP_026498000.1, XP_026498325.1
OG0004472	DPOGS204284-PA	XP_026484864.1
