Orthogroup	Danaus_plexippus	Pararge_aegeria
OG0003682	DPOGS213298-PA	XP_039755717.1
OG0003683	DPOGS215767-PA	XP_039754290.1
OG0003684	DPOGS213706-PA	XP_039751644.1
OG0003685	DPOGS205738-PA	XP_039753838.1, XP_039753839.1
OG0003686	DPOGS200701-PA, DPOGS200700-PA	XP_039753503.1
OG0003687	DPOGS213766-PA	XP_039764295.1, XP_039763076.1, XP_039748119.1
OG0003688	DPOGS205222-PA, DPOGS205223-PA	XP_039762117.1
OG0003689	DPOGS205739-PA	XP_039754254.1
OG0003690	DPOGS213565-PA	XP_039755667.1
OG0003691	DPOGS209109-PA	XP_039760629.1
OG0003692	DPOGS214906-PA	XP_039763691.1
OG0003693	DPOGS205212-PA	XP_039761962.1
OG0003694	DPOGS205158-PA	XP_039745802.1
OG0003695	DPOGS212117-PA	XP_039747382.1
OG0003696	DPOGS213068-PA	XP_039765740.1
OG0003697	DPOGS210569-PA	XP_039748284.1
OG0003698	DPOGS213564-PA	XP_039755391.1
OG0003699	DPOGS203266-PA	XP_039748650.1
OG0003700	DPOGS213476-PA	XP_039749713.1
OG0003701	DPOGS216100-PA	XP_039747719.1
OG0003702	DPOGS214907-PA	XP_039764476.1
OG0003703	DPOGS204518-PA	XP_039749403.1
OG0003704	DPOGS208503-PA	XP_039751688.1
OG0003705	DPOGS214737-PA, DPOGS214736-PA	XP_039758017.1
OG0003707	DPOGS207875-PA	XP_039756857.1
OG0003708	DPOGS204520-PA	XP_039749740.1
OG0003709	DPOGS205591-PA	XP_039748074.1
OG0003710	DPOGS207521-PA	XP_039759039.1
OG0003711	DPOGS207888-PA	XP_039756862.1
OG0003712	DPOGS200702-PA	XP_039753290.1
OG0003713	DPOGS214735-PA	XP_039757573.1
OG0003714	DPOGS201350-PA, DPOGS201351-PA	XP_039765035.1
OG0003715	DPOGS216128-PA	XP_039747780.1
OG0003716	DPOGS212133-PA	XP_039746938.1
OG0003717	DPOGS215772-PA	XP_039753696.1
OG0003718	DPOGS215773-PA	XP_039756685.1
OG0003719	DPOGS202530-PA	XP_039758652.1
OG0003720	DPOGS207339-PA, DPOGS215354-PA	XP_039762423.1
OG0003721	DPOGS208499-PA	XP_039751109.1
OG0003722	DPOGS215365-PA, DPOGS207338-PA	XP_039762201.1
OG0003723	DPOGS212757-PA	XP_039752687.1
OG0003724	DPOGS201347-PA	XP_039764667.1
OG0003725	DPOGS208438-PA	XP_039756705.1
OG0003726	DPOGS202502-PA	XP_039758494.1
OG0003727	DPOGS208545-PA	XP_039751026.1
OG0003728	DPOGS215438-PA	XP_039761206.1
OG0003729	DPOGS200890-PA	XP_039763480.1
OG0003730	DPOGS204677-PA	XP_039760250.1, XP_039760249.1
OG0003731	DPOGS212378-PA	XP_039755346.1
OG0003732	DPOGS216133-PA	XP_039747977.1
OG0003733	DPOGS212274-PA	XP_039751700.1, XP_039751701.1, XP_039751702.1
OG0003734	DPOGS209761-PA	XP_039753151.1
OG0003735	DPOGS212765-PA	XP_039752537.1
OG0003736	DPOGS201346-PA	XP_039763434.1
OG0003737	DPOGS216094-PA	XP_039748003.1
OG0003738	DPOGS204680-PA	XP_039759767.1
OG0003739	DPOGS213487-PA	XP_039749358.1
OG0003740	DPOGS215636-PA	XP_039755931.1
OG0003741	DPOGS202262-PA, DPOGS202263-PA	XP_039757734.1
OG0003742	DPOGS204685-PA	XP_039760197.1
OG0003743	DPOGS201343-PA, DPOGS201344-PA	XP_039765130.1
OG0003744	DPOGS205578-PA	XP_039747883.1, XP_039747885.1
OG0003745	DPOGS208493-PA	XP_039751707.1, XP_039751708.1
OG0003746	DPOGS214728-PA	XP_039757601.1
OG0003747	DPOGS215634-PA	XP_039757600.1
OG0003748	DPOGS204684-PA, DPOGS200953-PA	XP_039760315.1
OG0003749	DPOGS213536-PA	XP_039755624.1
OG0003750	DPOGS214726-PA	XP_039757974.1
OG0003751	DPOGS202532-PA	XP_039758724.1, XP_039758723.1
OG0003752	DPOGS212693-PA	XP_039752691.1
OG0003754	DPOGS214671-PA	XP_039759237.1
OG0003755	DPOGS203358-PA	XP_039759529.1
OG0003756	DPOGS208132-PA	XP_039746866.1, XP_039746864.1
OG0003757	DPOGS211279-PA	XP_039749386.1
OG0003759	DPOGS211288-PA	XP_039750040.1
OG0003760	DPOGS210959-PA	XP_039750868.1
OG0003761	DPOGS213468-PA	XP_039746427.1
OG0003762	DPOGS204817-PA	XP_039758301.1
OG0003763	DPOGS205915-PA	XP_039754124.1
OG0003764	DPOGS208553-PA	XP_039751379.1, XP_039751378.1
OG0003765	DPOGS209768-PA	XP_039753184.1
OG0003766	DPOGS214673-PA	XP_039758996.1
OG0003767	DPOGS213493-PA	XP_039749480.1, XP_039749471.1
OG0003768	DPOGS215448-PA	XP_039761205.1, XP_039761204.1
OG0003769	DPOGS201286-PA	XP_039764481.1
OG0003770	DPOGS213077-PA	XP_039745040.1
OG0003771	DPOGS204818-PA	XP_039758388.1
OG0003772	DPOGS201327-PA	XP_039764955.1
OG0003773	DPOGS213119-PA, DPOGS213120-PA	XP_039745168.1
OG0003774	DPOGS208554-PA	XP_039751120.1
OG0003775	DPOGS210536-PA, DPOGS214674-PA	XP_039759289.1
OG0003776	DPOGS208555-PA	XP_039751241.1
OG0003777	DPOGS213118-PA	XP_039765647.1
OG0003778	DPOGS213082-PA	XP_039745092.1
OG0003779	DPOGS207479-PA	XP_039746044.1
OG0003780	DPOGS216091-PA	XP_039748199.1
OG0003781	DPOGS213117-PA	XP_039765299.1
OG0003782	DPOGS213510-PA	XP_039755323.1
OG0003783	DPOGS205192-PA	XP_039762028.1
OG0003784	DPOGS208556-PA	XP_039751174.1
OG0003785	DPOGS200810-PA	XP_039753421.1
OG0003786	DPOGS208557-PA	XP_039751678.1, XP_039751679.1
OG0003787	DPOGS205890-PA, DPOGS205889-PA	XP_039754243.1
OG0003788	DPOGS205888-PA	XP_039754232.1
OG0003789	DPOGS208558-PA	XP_039751665.1
OG0003790	DPOGS208482-PA	XP_039751663.1
OG0003791	DPOGS213622-PA	XP_039755476.1
OG0003792	DPOGS215942-PA	XP_039759326.1
OG0003793	DPOGS207863-PA, DPOGS207864-PA	XP_039756970.1
OG0003794	DPOGS215913-PA	XP_039748550.1
OG0003796	DPOGS215939-PA	XP_039758927.1
OG0003797	DPOGS200520-PA, DPOGS201683-PA	XP_039753377.1
OG0003798	DPOGS203862-PA	XP_039748042.1
OG0003799	DPOGS213463-PA	XP_039745636.1
OG0003800	DPOGS213618-PA, DPOGS213619-PA	XP_039755677.1
OG0003801	DPOGS201660-PA	XP_039753515.1
OG0003802	DPOGS202877-PA, DPOGS211942-PA	XP_039746003.1
OG0003803	DPOGS201387-PA	XP_039764018.1
OG0003804	DPOGS213462-PA	XP_039746007.1
OG0003805	DPOGS215876-PA, DPOGS203018-PA	XP_039749008.1
OG0003806	DPOGS205372-PA	XP_039762150.1
OG0003807	DPOGS213113-PA	XP_039745379.1
OG0003808	DPOGS211123-PA	XP_039763371.1
OG0003809	DPOGS210262-PA	XP_039760596.1
OG0003810	DPOGS211006-PA	XP_039750913.1
OG0003811	DPOGS206522-PA, DPOGS201768-PA	XP_039754259.1
OG0003812	DPOGS213457-PA	XP_039747739.1
OG0003813	DPOGS201367-PA	XP_039763364.1
OG0003814	DPOGS210263-PA	XP_039760719.1
OG0003815	DPOGS211178-PA	XP_039763357.1
OG0003816	DPOGS211121-PA	XP_039763609.1, XP_039763601.1
OG0003817	DPOGS211877-PA	XP_039745890.1
OG0003818	DPOGS208186-PA	XP_039759731.1
OG0003819	DPOGS211181-PA	XP_039763528.1
OG0003820	DPOGS213519-PA	XP_039755805.1
OG0003821	DPOGS213091-PA	XP_039765896.1
OG0003822	DPOGS211281-PA	XP_039749647.1
OG0003823	DPOGS211180-PA	XP_039763619.1
OG0003824	DPOGS206471-PA	XP_039753680.1
OG0003825	DPOGS213612-PA	XP_039755463.1, XP_039755464.1
OG0003826	DPOGS210407-PA, DPOGS202746-PA, DPOGS202745-PA	XP_039762859.1
OG0003827	DPOGS208184-PA	XP_039759875.1
OG0003828	DPOGS211872-PA	XP_039746006.1, XP_039746005.1
OG0003829	DPOGS212509-PA	XP_039748194.1
OG0003830	DPOGS211118-PA	XP_039763536.1
OG0003831	DPOGS211871-PA	XP_039746013.1
OG0003832	DPOGS215872-PA	XP_039749041.1
OG0003833	DPOGS204193-PA	XP_039758167.1
OG0003834	DPOGS203778-PA	XP_039759221.1
OG0003835	DPOGS201380-PA	XP_039745234.1
OG0003836	DPOGS201371-PA	XP_039763431.1
OG0003837	DPOGS212955-PA	XP_039762599.1
OG0003838	DPOGS204914-PA, DPOGS212953-PA	XP_039762601.1
OG0003839	DPOGS211869-PA	XP_039746260.1
OG0003840	DPOGS212070-PA, DPOGS204915-PA	XP_039763009.1
OG0003841	DPOGS207771-PA	XP_039753452.1
OG0003842	DPOGS213096-PA	XP_039745219.1
OG0003843	DPOGS200254-PA	XP_039760773.1
OG0003844	DPOGS215867-PA	XP_039749301.1
OG0003845	DPOGS207791-PA	XP_039753453.1
OG0003846	DPOGS208565-PA	XP_039751437.1, XP_039751526.1
OG0003847	DPOGS213860-PA	XP_039747733.1
OG0003848	DPOGS215922-PA	XP_039749305.1, XP_039749304.1
OG0003849	DPOGS213853-PA	XP_039748302.1
OG0003850	DPOGS216194-PA, DPOGS216193-PA	XP_039761128.1
OG0003851	DPOGS207789-PA	XP_039753662.1
OG0003852	DPOGS210953-PA	XP_039750581.1
OG0003853	DPOGS203203-PA	XP_039754917.1
OG0003854	DPOGS213605-PA	XP_039755541.1
OG0003855	DPOGS211015-PA	XP_039750651.1
OG0003856	DPOGS207788-PA	XP_039753342.1
OG0003857	DPOGS212950-PA, DPOGS212951-PA	XP_039762583.1
OG0003858	DPOGS216144-PA	XP_039760347.1
OG0003859	DPOGS211958-PA	XP_039745966.1
OG0003860	DPOGS203207-PA	XP_039755098.1
OG0003861	DPOGS211017-PA	XP_039764283.1, XP_039750355.1
OG0003862	DPOGS213821-PA	XP_039747142.1
OG0003863	DPOGS211865-PA	XP_039746448.1
OG0003864	DPOGS213101-PA	XP_039745263.1
OG0003865	DPOGS215803-PA	XP_039752411.1
OG0003866	DPOGS201247-PA	XP_039750039.1
OG0003867	DPOGS209221-PA	XP_039755025.1
OG0003868	DPOGS213855-PA	XP_039747697.1
OG0003869	DPOGS210947-PA	XP_039750204.1
OG0003870	DPOGS201248-PA, DPOGS201249-PA	XP_039749582.1
OG0003871	DPOGS202390-PA, DPOGS204921-PA	XP_039762550.1
OG0003872	DPOGS213856-PA	XP_039747563.1
OG0003873	DPOGS215466-PA	XP_039756445.1
OG0003874	DPOGS203439-PA	XP_039751965.1, XP_039751964.1
OG0003875	DPOGS213859-PA	XP_039747570.1
OG0003876	DPOGS200234-PA	XP_039760415.1
OG0003877	DPOGS211190-PA	XP_039764912.1
OG0003878	DPOGS201237-PA	XP_039749919.1
OG0003879	DPOGS204920-PA	XP_039762881.1
OG0003880	DPOGS215485-PA	XP_039756629.1
OG0003881	DPOGS200252-PA	XP_039760416.1
OG0003882	DPOGS212512-PA	XP_039747644.1
OG0003883	DPOGS213816-PA	XP_039746480.1
OG0003884	DPOGS215865-PA	XP_039749284.1
OG0003885	DPOGS215862-PA	XP_039749018.1
OG0003886	DPOGS212231-PA	XP_039751332.1
OG0003888	DPOGS215797-PA	XP_039754550.1
OG0003889	DPOGS212302-PA	XP_039753329.1
OG0003890	DPOGS209439-PA	XP_039751278.1
OG0003891	DPOGS213534-PA	XP_039755316.1
OG0003892	DPOGS215492-PA, DPOGS215491-PA	XP_039756017.1
OG0003893	DPOGS212520-PA, DPOGS212519-PA	XP_039747910.1
OG0003894	DPOGS210468-PA, DPOGS210469-PA	XP_039759549.1
OG0003895	DPOGS200239-PA	XP_039760418.1
OG0003896	DPOGS213244-PA	XP_039748446.1
OG0003897	DPOGS203457-PA, DPOGS203456-PA	XP_039752813.1
OG0003899	DPOGS212234-PA	XP_039746534.1
OG0003900	DPOGS213243-PA	XP_039748448.1
OG0003901	DPOGS212300-PA, DPOGS204545-PA	XP_039752944.1
OG0003902	DPOGS212523-PA	XP_039748461.1
OG0003903	DPOGS209670-PA	XP_039763499.1
OG0003904	DPOGS203219-PA	XP_039754659.1
OG0003905	DPOGS204541-PA, DPOGS204542-PA	XP_039753276.1
OG0003906	DPOGS213537-PA	XP_039755837.1
OG0003907	DPOGS211848-PA	XP_039745791.1
OG0003908	DPOGS211846-PA	XP_039763554.1
OG0003909	DPOGS207337-PA	XP_039759854.1
OG0003910	DPOGS211105-PA	XP_039764942.1, XP_039764941.1
OG0003911	DPOGS209671-PA	XP_039763957.1
OG0003912	DPOGS211205-PA	XP_039765050.1, XP_039765049.1
OG0003913	DPOGS213162-PA, DPOGS215146-PA	XP_039762517.1
OG0003914	DPOGS216071-PA	XP_039756399.1
OG0003915	DPOGS204169-PA, DPOGS204170-PA	XP_039758150.1
OG0003916	DPOGS203096-PA	XP_039752547.1
OG0003917	DPOGS208599-PA	XP_039761166.1
OG0003918	DPOGS210943-PA	XP_039750375.1
OG0003920	DPOGS207336-PA	XP_039759809.1, XP_039759810.1
OG0003921	DPOGS213591-PA	XP_039755907.1
OG0003922	DPOGS215926-PA	XP_039749138.1
OG0003923	DPOGS209672-PA	XP_039763254.1
OG0003924	DPOGS209682-PA	XP_039763257.1, XP_039746640.1
OG0003925	DPOGS207340-PA	XP_039759955.1
OG0003926	DPOGS213589-PA	XP_039755629.1
OG0003927	DPOGS204385-PA	XP_039765816.1
OG0003928	DPOGS210481-PA	XP_039759308.1, XP_039759307.1
OG0003929	DPOGS209681-PA	XP_039763954.1
OG0003930	DPOGS211101-PA	XP_039764490.1
OG0003931	DPOGS207341-PA	XP_039759884.1
OG0003932	DPOGS215927-PA	XP_039749121.1
OG0003933	DPOGS211210-PA	XP_039764881.1
OG0003934	DPOGS200884-PA, DPOGS200885-PA	XP_039752347.1
OG0003935	DPOGS201751-PA	XP_039753682.1
OG0003936	DPOGS201759-PA	XP_039753670.1, XP_039753661.1
OG0003937	DPOGS204386-PA	XP_039745116.1
OG0003938	DPOGS204178-PA	XP_039757748.1
OG0003939	DPOGS213261-PA	XP_039747691.1
OG0003940	DPOGS205407-PA	XP_039758546.1
OG0003941	DPOGS210015-PA	XP_039756992.1
OG0003942	DPOGS209876-PA	XP_039747369.1, XP_039747379.1
OG0003943	DPOGS202874-PA	XP_039757700.1
OG0003944	DPOGS211027-PA	XP_039750201.1
OG0003945	DPOGS205409-PA, DPOGS205410-PA	XP_039758690.1
OG0003946	DPOGS210004-PA	XP_039756987.1
OG0003947	DPOGS201255-PA	XP_039749922.1
OG0003948	DPOGS211243-PA, DPOGS208600-PA	XP_039761196.1
OG0003949	DPOGS203851-PA	XP_039757877.1
OG0003950	DPOGS212076-PA, DPOGS212077-PA	XP_039748479.1
OG0003951	DPOGS209249-PA	XP_039754402.1
OG0003952	DPOGS204499-PA	XP_039765468.1
OG0003953	DPOGS209867-PA	XP_039763128.1
OG0003954	DPOGS200925-PA	XP_039749050.1
OG0003955	DPOGS211215-PA	XP_039764581.1
OG0003956	DPOGS212064-PA, DPOGS212063-PA	XP_039748143.1
OG0003957	DPOGS215110-PA	XP_039762336.1
OG0003958	DPOGS211093-PA, DPOGS211092-PA	XP_039764769.1
OG0003959	DPOGS212066-PA	XP_039747817.1
OG0003960	DPOGS200928-PA	XP_039748945.1
OG0003961	DPOGS209154-PA	XP_039754667.1
OG0003962	DPOGS205973-PA	XP_039747736.1
OG0003963	DPOGS213545-PA	XP_039755569.1
OG0003964	DPOGS209248-PA	XP_039753867.1
OG0003965	DPOGS205393-PA	XP_039758522.1
OG0003966	DPOGS214453-PA	XP_039762158.1
OG0003967	DPOGS200923-PA	XP_039749081.1
OG0003968	DPOGS215984-PA	XP_039746348.1
OG0003969	DPOGS200191-PA	XP_039757765.1
OG0003970	DPOGS212081-PA, DPOGS211994-PA	XP_039748049.1
OG0003971	DPOGS211220-PA	XP_039764066.1, XP_039764057.1
OG0003972	DPOGS201259-PA	XP_039749645.1, XP_039749646.1
OG0003973	DPOGS212752-PA	XP_039752487.1
OG0003974	DPOGS209215-PA	XP_039759179.1
OG0003975	DPOGS213581-PA	XP_039755297.1
OG0003976	DPOGS206457-PA	XP_039753001.1
OG0003977	DPOGS211085-PA	XP_039765008.1
OG0003978	DPOGS205976-PA	XP_039747632.1
OG0003980	DPOGS201525-PA	XP_039759722.1
OG0003981	DPOGS206454-PA	XP_039753707.1
OG0003982	DPOGS205978-PA	XP_039747552.1
OG0003983	DPOGS211059-PA	XP_039761983.1
OG0003984	DPOGS206465-PA	XP_039752901.1
OG0003985	DPOGS201048-PA	XP_039749543.1
OG0003986	DPOGS209184-PA	XP_039754877.1
OG0003987	DPOGS205029-PA	XP_039751101.1
OG0003989	DPOGS201725-PA	XP_039747680.1
OG0003990	DPOGS212819-PA	XP_039757937.1
OG0003991	DPOGS207955-PA	XP_039748522.1, XP_039748523.1
OG0003992	DPOGS214033-PA	XP_039756984.1, XP_039756983.1
OG0003993	DPOGS208604-PA	XP_039761139.1, XP_039761138.1
OG0003994	DPOGS201726-PA	XP_039747681.1
OG0003995	DPOGS214447-PA	XP_039762092.1
OG0003996	DPOGS200422-PA	XP_039756511.1
OG0003997	DPOGS214449-PA	XP_039762414.1
OG0003998	DPOGS201674-PA	XP_039753353.1
OG0003999	DPOGS214450-PA	XP_039762220.1
OG0004000	DPOGS201665-PA	XP_039752922.1
OG0004001	DPOGS214458-PA, DPOGS214457-PA	XP_039762433.1
OG0004002	DPOGS209162-PA	XP_039754613.1
OG0004003	DPOGS213554-PA	XP_039755601.1, XP_039755600.1
OG0004004	DPOGS205790-PA	XP_039751188.1
OG0004005	DPOGS207961-PA, DPOGS206181-PA	XP_039748605.1
OG0004006	DPOGS201391-PA	XP_039763166.1
OG0004007	DPOGS213556-PA	XP_039755662.1
OG0004008	DPOGS214034-PA	XP_039756765.1
OG0004009	DPOGS209266-PA	XP_039754063.1
OG0004010	DPOGS215981-PA	XP_039745812.1
OG0004011	DPOGS214489-PA	XP_039761256.1
OG0004012	DPOGS203650-PA	XP_039759851.1, XP_039759860.1
OG0004013	DPOGS212678-PA, DPOGS209564-PA	XP_039747884.1
OG0004014	DPOGS201081-PA	XP_039758277.1
OG0004015	DPOGS215505-PA	XP_039755350.1
OG0004016	DPOGS201356-PA	XP_039763433.1, XP_039763432.1
OG0004017	DPOGS206062-PA	XP_039746844.1, XP_039746845.1, XP_039746843.1
OG0004018	DPOGS205788-PA	XP_039751661.1
OG0004019	DPOGS209332-PA	XP_039764491.1
OG0004020	DPOGS216005-PA	XP_039745822.1
OG0004021	DPOGS201821-PA	XP_039752356.1
OG0004022	DPOGS207962-PA	XP_039749210.1
OG0004023	DPOGS204485-PA	XP_039745497.1
OG0004024	DPOGS214573-PA	XP_039758176.1
OG0004025	DPOGS212696-PA	XP_039752257.1
OG0004026	DPOGS215507-PA	XP_039748404.1, XP_039748405.1
OG0004027	DPOGS207943-PA, DPOGS211686-PA	XP_039748876.1
OG0004028	DPOGS214640-PA	XP_039757679.1
OG0004029	DPOGS212767-PA	XP_039751977.1
OG0004030	DPOGS205783-PA	XP_039751261.1
OG0004031	DPOGS213971-PA, DPOGS201720-PA	XP_039747921.1
OG0004032	DPOGS209606-PA	XP_039746807.1
OG0004033	DPOGS207941-PA	XP_039749143.1
OG0004034	DPOGS205782-PA	XP_039751264.1
OG0004035	DPOGS207371-PA	XP_039756386.1, XP_039756385.1
OG0004036	DPOGS204481-PA	XP_039765788.1
OG0004037	DPOGS207390-PA	XP_039756046.1
OG0004038	DPOGS201734-PA, DPOGS201733-PA	XP_039748462.1
OG0004039	DPOGS206109-PA	XP_039747447.1, XP_039747446.1, XP_039747445.1
OG0004040	DPOGS215117-PA	XP_039762083.1
OG0004041	DPOGS215116-PA, DPOGS215115-PA	XP_039762082.1
OG0004042	DPOGS215101-PA	XP_039762180.1, XP_039762179.1
OG0004043	DPOGS203585-PA	XP_039747844.1
OG0004044	DPOGS215103-PA	XP_039761980.1
OG0004045	DPOGS206018-PA	XP_039759619.1
OG0004047	DPOGS203844-PA	XP_039759513.1
OG0004048	DPOGS214576-PA	XP_039757965.1
OG0004049	DPOGS203635-PA	XP_039747843.1
OG0004050	DPOGS214496-PA, DPOGS214495-PA	XP_039761072.1
OG0004051	DPOGS204562-PA, DPOGS215105-PA	XP_039762114.1
OG0004052	DPOGS203586-PA	XP_039748262.1
OG0004053	DPOGS203655-PA	XP_039760276.1
OG0004055	DPOGS214635-PA	XP_039757895.1
OG0004056	DPOGS203588-PA	XP_039747892.1
OG0004057	DPOGS207375-PA	XP_039756073.1
OG0004058	DPOGS203993-PA	XP_039764180.1
OG0004059	DPOGS202014-PA	XP_039749781.1
OG0004060	DPOGS207462-PA	XP_039746357.1
OG0004061	DPOGS207608-PA	XP_039750804.1
OG0004062	DPOGS203657-PA	XP_039753246.1, XP_039753237.1
OG0004063	DPOGS206704-PA	XP_039757119.1
OG0004064	DPOGS206703-PA	XP_039756914.1
OG0004065	DPOGS204502-PA	XP_039745367.1
OG0004066	DPOGS207609-PA	XP_039750803.1, XP_039750802.1
OG0004067	DPOGS214952-PA	XP_039758133.1
OG0004068	DPOGS204351-PA	XP_039754177.1
OG0004069	DPOGS207474-PA	XP_039745852.1
OG0004070	DPOGS207967-PA	XP_039749065.1
OG0004071	DPOGS203902-PA	XP_039763674.1
OG0004072	DPOGS210524-PA	XP_039759439.1
OG0004073	DPOGS204349-PA	XP_039754564.1
OG0004074	DPOGS210492-PA	XP_039759384.1
OG0004075	DPOGS214945-PA	XP_039757731.1
OG0004076	DPOGS211675-PA	XP_039764033.1
OG0004077	DPOGS203989-PA	XP_039764011.1
OG0004078	DPOGS201115-PA	XP_039746291.1
OG0004079	DPOGS206082-PA	XP_039746811.1
OG0004080	DPOGS214045-PA	XP_039751674.1
OG0004081	DPOGS200543-PA	XP_039760848.1
OG0004082	DPOGS207971-PA	XP_039749029.1, XP_039749028.1
OG0004083	DPOGS212192-PA, DPOGS207456-PA	XP_039745626.1
OG0004084	DPOGS210519-PA	XP_039759515.1
OG0004085	DPOGS207476-PA	XP_039745617.1
OG0004086	DPOGS207916-PA	XP_039761772.1
OG0004087	DPOGS211671-PA	XP_039748292.1
OG0004088	DPOGS203150-PA	XP_039755131.1, XP_039755130.1
OG0004089	DPOGS207478-PA	XP_039745670.1
OG0004090	DPOGS207452-PA	XP_039745576.1
OG0004091	DPOGS206087-PA	XP_039747208.1, XP_039747209.1
OG0004092	DPOGS206701-PA, DPOGS206702-PA	XP_039757313.1
OG0004093	DPOGS212724-PA	XP_039752167.1
OG0004094	DPOGS210497-PA, DPOGS210513-PA	XP_039759436.1
OG0004095	DPOGS207480-PA	XP_039745991.1
OG0004096	DPOGS203663-PA	XP_039761137.1
OG0004097	DPOGS207313-PA	XP_039755405.1, XP_039755406.1
OG0004098	DPOGS201116-PA, DPOGS205340-PA	XP_039754089.1
OG0004099	DPOGS204472-PA	XP_039745090.1
OG0004100	DPOGS203762-PA	XP_039761123.1
OG0004101	DPOGS201650-PA	XP_039761774.1
OG0004102	DPOGS203905-PA	XP_039763183.1, XP_039763182.1
OG0004103	DPOGS212291-PA	XP_039755164.1
OG0004104	DPOGS204342-PA	XP_039754440.1
OG0004105	DPOGS204330-PA	XP_039754338.1
OG0004106	DPOGS204420-PA	XP_039745186.1
OG0004107	DPOGS203666-PA	XP_039760500.1
OG0004108	DPOGS207484-PA	XP_039745642.1
OG0004109	DPOGS203667-PA	XP_039757691.1
OG0004110	DPOGS207485-PA	XP_039746410.1, XP_039746411.1
OG0004111	DPOGS202480-PA	XP_039754213.1
OG0004112	DPOGS204422-PA	XP_039745264.1
OG0004113	DPOGS210500-PA	XP_039759219.1
OG0004114	DPOGS204465-PA, DPOGS204464-PA	XP_039745337.1
OG0004115	DPOGS205442-PA	XP_039747654.1
OG0004116	DPOGS203828-PA	XP_039760903.1
OG0004117	DPOGS205440-PA, DPOGS205441-PA	XP_039747873.1
OG0004118	DPOGS212536-PA, DPOGS212537-PA	XP_039761585.1
OG0004119	DPOGS215592-PA	XP_039748643.1, XP_039748642.1
OG0004120	DPOGS210506-PA	XP_039759390.1
OG0004121	DPOGS200384-PA	XP_039753967.1
OG0004122	DPOGS216037-PA	XP_039756035.1
OG0004123	DPOGS212535-PA	XP_039761784.1
OG0004124	DPOGS215595-PA	XP_039748503.1
OG0004125	DPOGS203739-PA	XP_039761361.1
OG0004126	DPOGS203738-PA	XP_039761315.1
OG0004127	DPOGS200260-PA	XP_039754130.1
OG0004128	DPOGS202343-PA	XP_039758146.1
OG0004129	DPOGS204461-PA	XP_039745080.1
OG0004130	DPOGS209327-PA	XP_039746973.1
OG0004131	DPOGS214070-PA	XP_039751538.1
OG0004132	DPOGS200443-PA	XP_039756300.1
OG0004133	DPOGS202342-PA	XP_039757538.1
OG0004134	DPOGS215598-PA	XP_039748693.1
OG0004135	DPOGS206598-PA	XP_039757243.1
OG0004136	DPOGS202242-PA	XP_039757539.1
OG0004137	DPOGS202340-PA	XP_039757537.1
OG0004138	DPOGS202339-PA	XP_039757702.1
OG0004139	DPOGS200802-PA	XP_039747754.1
OG0004140	DPOGS203735-PA	XP_039761264.1
OG0004141	DPOGS211251-PA	XP_039753234.1, XP_039753235.1
OG0004142	DPOGS215080-PA	XP_039758574.1
OG0004143	DPOGS209313-PA	XP_039765638.1
OG0004144	DPOGS215079-PA	XP_039758200.1
OG0004145	DPOGS200409-PA	XP_039756490.1
OG0004146	DPOGS204456-PA, DPOGS209849-PA	XP_039765854.1
OG0004147	DPOGS206694-PA, DPOGS206695-PA	XP_039757016.1
OG0004148	DPOGS215564-PA	XP_039748826.1
OG0004149	DPOGS214067-PA	XP_039751597.1
OG0004150	DPOGS211250-PA	XP_039753278.1
OG0004151	DPOGS202336-PA	XP_039757723.1
OG0004152	DPOGS203161-PA	XP_039754800.1
OG0004154	DPOGS203964-PA	XP_039763153.1
OG0004155	DPOGS203965-PA	XP_039763157.1, XP_039763158.1
OG0004156	DPOGS206881-PA	XP_039752397.1
OG0004157	DPOGS207050-PA	XP_039752268.1
OG0004158	DPOGS205063-PA	XP_039746605.1
OG0004159	DPOGS209314-PA	XP_039745772.1
OG0004160	DPOGS203676-PA	XP_039753731.1
OG0004161	DPOGS215562-PA	XP_039748892.1
OG0004163	DPOGS211248-PA	XP_039753427.1, XP_039753428.1
OG0004164	DPOGS206431-PA	XP_039753120.1
OG0004165	DPOGS203677-PA	XP_039754669.1
OG0004166	DPOGS206482-PA	XP_039753312.1
OG0004168	DPOGS200803-PA	XP_039748157.1
OG0004169	DPOGS208991-PA	XP_039749449.1
OG0004170	DPOGS203371-PA	XP_039763322.1
OG0004171	DPOGS213272-PA, DPOGS213273-PA	XP_039745741.1
OG0004172	DPOGS206600-PA	XP_039757362.1
OG0004174	DPOGS206885-PA	XP_039751855.1
OG0004175	DPOGS203771-PA	XP_039761299.1
OG0004176	DPOGS208086-PA	XP_039765926.1
OG0004177	DPOGS200269-PA	XP_039754271.1
OG0004178	DPOGS208989-PA	XP_039749934.1
OG0004179	DPOGS206414-PA	XP_039745466.1
OG0004180	DPOGS205094-PA	XP_039747314.1, XP_039747316.1, XP_039747315.1
OG0004181	DPOGS200369-PA	XP_039753865.1
OG0004182	DPOGS206425-PA	XP_039747714.1
OG0004183	DPOGS203814-PA	XP_039760364.1
OG0004184	DPOGS207597-PA	XP_039748644.1
OG0004185	DPOGS203775-PA	XP_039761042.1
OG0004186	DPOGS203686-PA	XP_039754469.1
OG0004187	DPOGS203374-PA	XP_039763789.1, XP_039763788.1
