Orthogroup	Danaus_plexippus	Junonia_coenia
OG0004202	DPOGS214062-PA	JC_09404-RA
OG0004203	DPOGS202328-PA	JC_12551-RA
OG0004204	DPOGS203378-PA	JC_02140-RA
OG0004205	DPOGS201093-PA	JC_05882-RA, JC_05885-RA
OG0004206	DPOGS202326-PA	JC_12545-RA
OG0004207	DPOGS207551-PA	JC_04898-RA
OG0004208	DPOGS203381-PA, DPOGS203382-PA	JC_02143-RA
OG0004209	DPOGS200523-PA	JC_13818-RA, JC_13817-RA
OG0004210	DPOGS202257-PA, DPOGS202256-PA	JC_12543-RA
OG0004211	DPOGS204238-PA	JC_00321-RA
OG0004212	DPOGS203808-PA	JC_01252-RA, JC_01251-RA
OG0004213	DPOGS208987-PA	JC_08817-RA
OG0004214	DPOGS201096-PA	JC_05877-RA
OG0004215	DPOGS200522-PA	JC_13811-RA
OG0004216	DPOGS207902-PA	JC_05272-RA
OG0004217	DPOGS206533-PA	JC_08306-RA
OG0004218	DPOGS206265-PA	JC_14728-RA
OG0004219	DPOGS205647-PA	JC_09399-RA
OG0004220	DPOGS209418-PA	JC_09914-RA
OG0004221	DPOGS202323-PA	JC_12538-RA
OG0004222	DPOGS201063-PA	JC_05871-RA
OG0004223	DPOGS202322-PA	JC_12534-RA
OG0004224	DPOGS207903-PA, DPOGS211750-PA	JC_05268-RA
OG0004225	DPOGS201986-PA	JC_09398-RA
OG0004226	DPOGS215988-PA	JC_02697-RA
OG0004227	DPOGS201985-PA	JC_09397-RA
OG0004228	DPOGS204304-PA	JC_00329-RA
OG0004229	DPOGS214940-PA, DPOGS214937-PA, DPOGS214939-PA	JC_12267-RA
OG0004230	DPOGS200574-PA	JC_13807-RA
OG0004231	DPOGS205344-PA	JC_03278-RA
OG0004232	DPOGS214189-PA	JC_08316-RA
OG0004233	DPOGS207586-PA	JC_04889-RA
OG0004234	DPOGS206682-PA	JC_11238-RA
OG0004236	DPOGS206615-PA, DPOGS206614-PA	JC_11239-RA
OG0004237	DPOGS206261-PA	JC_14743-RA
OG0004238	DPOGS214191-PA, DPOGS214192-PA	JC_08318-RA
OG0004239	DPOGS207584-PA	JC_04882-RA, JC_04883-RA
OG0004240	DPOGS212295-PA, DPOGS212296-PA	JC_05261-RA
OG0004241	DPOGS214955-PA	JC_12268-RA
OG0004242	DPOGS207583-PA	JC_17028-RA, JC_04881-RA
OG0004243	DPOGS212294-PA	JC_05258-RA
OG0004244	DPOGS214935-PA	JC_12270-RA
OG0004245	DPOGS207034-PA	JC_11981-RA
OG0004246	DPOGS204228-PA	JC_00344-RA
OG0004248	DPOGS207582-PA	JC_04876-RA
OG0004249	DPOGS204064-PA	JC_14750-RA
OG0004249	DPOGS204063-PA	JC_14751-RA
OG0004251	DPOGS204309-PA	JC_00345-RA
OG0004252	DPOGS203804-PA	JC_01261-RA
OG0004253	DPOGS204226-PA	JC_00346-RA
OG0004254	DPOGS204068-PA	JC_14752-RA
OG0004255	DPOGS210940-PA	JC_06523-RA, JC_06524-RA
OG0004256	DPOGS201990-PA	JC_09392-RA
OG0004257	DPOGS203803-PA	JC_01263-RA
OG0004258	DPOGS204311-PA	JC_00349-RA
OG0004259	DPOGS207562-PA	JC_04872-RA
OG0004260	DPOGS214198-PA	JC_08324-RA
OG0004261	DPOGS204315-PA	JC_00354-RA
OG0004262	DPOGS207031-PA	JC_11985-RA
OG0004263	DPOGS214201-PA	JC_08328-RA
OG0004264	DPOGS203611-PA	JC_03272-RA
OG0004265	DPOGS201979-PA	JC_09382-RA
OG0004266	DPOGS214318-PA, DPOGS214319-PA	JC_10341-RA
OG0004267	DPOGS212569-PA	JC_02158-RA
OG0004268	DPOGS201998-PA	JC_09380-RA, JC_09381-RA
OG0004269	DPOGS203612-PA	JC_03269-RA
OG0004270	DPOGS214203-PA	JC_08331-RA
OG0004271	DPOGS204072-PA	JC_14761-RA
OG0004272	DPOGS214173-PA	JC_08333-RA
OG0004273	DPOGS209747-PA	JC_10894-RA
OG0004274	DPOGS207258-PA	JC_07125-RA
OG0004276	DPOGS214371-PA	JC_10353-RA
OG0004277	DPOGS204015-PA, DPOGS204014-PA	JC_12288-RA
OG0004278	DPOGS204051-PA	JC_12290-RA, JC_12289-RA
OG0004279	DPOGS211584-PA	JC_06529-RA
OG0004280	DPOGS204016-PA	JC_12291-RA
OG0004281	DPOGS209708-PA	JC_10897-RA
OG0004282	DPOGS207296-PA	JC_07120-RA
OG0004284	DPOGS214207-PA	JC_08346-RA
OG0004285	DPOGS207024-PA	JC_12001-RA
OG0004286	DPOGS203792-PA	JC_01275-RA
OG0004287	DPOGS200100-PA	JC_02164-RA
OG0004288	DPOGS207266-PA	JC_07113-RA
OG0004289	DPOGS211926-PA	JC_02726-RA
OG0004290	DPOGS203704-PA	JC_01277-RA
OG0004291	DPOGS206913-PA	JC_12003-RA
OG0004292	DPOGS206570-PA	JC_13675-RA
OG0004293	DPOGS207799-PA, DPOGS207797-PA	JC_07672-RA
OG0004294	DPOGS214215-PA, DPOGS214162-PA	JC_08357-RA
OG0004295	DPOGS213278-PA	JC_02730-RA
OG0004296	DPOGS209741-PA	JC_10909-RA
OG0004297	DPOGS208876-PA, DPOGS208874-PA	JC_08802-RA
OG0004298	DPOGS212255-PA	JC_05247-RA
OG0004299	DPOGS213279-PA, DPOGS211897-PA	JC_02731-RA
OG0004300	DPOGS207801-PA	JC_07674-RA
OG0004301	DPOGS209738-PA	JC_10915-RA
OG0004302	DPOGS208878-PA	JC_08800-RA
OG0004303	DPOGS210759-PA	JC_06537-RA
OG0004304	DPOGS207803-PA	JC_07679-RA
OG0004305	DPOGS206044-PA	JC_02198-RA
OG0004306	DPOGS209715-PA	JC_10916-RA
OG0004307	DPOGS204081-PA	JC_14768-RA, JC_14766-RA
OG0004308	DPOGS212784-PA	JC_12189-RA
OG0004309	DPOGS205868-PA	JC_15502-RA, JC_15503-RA
OG0004310	DPOGS215057-PA	JC_03029-RA, JC_03027-RA, JC_03028-RA
OG0004311	DPOGS211893-PA	JC_02735-RA
OG0004313	DPOGS208980-PA	JC_08792-RA
OG0004314	DPOGS207288-PA	JC_07110-RA
OG0004315	DPOGS208977-PA	JC_08791-RA
OG0004316	DPOGS209733-PA	JC_10926-RA
OG0004317	DPOGS214335-PA	JC_10366-RA
OG0004318	DPOGS207432-PA	JC_13749-RA
OG0004319	DPOGS208882-PA	JC_08789-RA
OG0004320	DPOGS214158-PA	JC_08363-RA
OG0004321	DPOGS206625-PA, DPOGS206626-PA	JC_11259-RA
OG0004322	DPOGS206569-PA	JC_13663-RA
OG0004323	DPOGS206567-PA, DPOGS206568-PA	JC_13662-RA
OG0004324	DPOGS214337-PA	JC_10370-RA
OG0004325	DPOGS213028-PA	JC_04134-RA
OG0004326	DPOGS203789-PA	JC_01283-RA
OG0004327	DPOGS208890-PA	JC_08952-RA
OG0004328	DPOGS203711-PA	JC_01284-RA
OG0004329	DPOGS211934-PA	JC_02739-RA
OG0004330	DPOGS212999-PA	JC_04136-RA
OG0004331	DPOGS206915-PA	JC_12009-RA
OG0004332	DPOGS203619-PA	JC_03253-RA
OG0004333	DPOGS206954-PA	JC_12013-RA
OG0004334	DPOGS201964-PA	JC_09369-RA
OG0004335	DPOGS202005-PA	JC_09367-RA
OG0004336	DPOGS206563-PA	JC_13653-RA
OG0004337	DPOGS206951-PA	JC_12020-RA
OG0004338	DPOGS206631-PA	JC_11265-RA
OG0004339	DPOGS204045-PA	JC_12302-RA
OG0004340	DPOGS214849-PA, DPOGS214850-PA	JC_13271-RA
OG0004341	DPOGS203069-PA	JC_00374-RA
OG0004343	DPOGS206559-PA	JC_13649-RA
OG0004344	DPOGS207426-PA	JC_13757-RA
OG0004345	DPOGS203071-PA	JC_00377-RA
OG0004346	DPOGS208052-PA	JC_05712-RA
OG0004347	DPOGS214861-PA	JC_13276-RA
OG0004348	DPOGS215968-PA	JC_02945-RA
OG0004349	DPOGS203077-PA	JC_00382-RA
OG0004350	DPOGS202634-PA	JC_11153-RA, JC_11154-RA
OG0004352	DPOGS208054-PA	JC_05719-RA
OG0004353	DPOGS206148-PA	JC_02176-RA
OG0004354	DPOGS209070-PA	JC_13285-RA, JC_06457-RA
OG0004355	DPOGS207420-PA	JC_13771-RA
OG0004356	DPOGS215962-PA	JC_02938-RA
OG0004357	DPOGS208667-PA	JC_00390-RA
OG0004358	DPOGS208975-PA	JC_08970-RA
OG0004359	DPOGS206029-PA	JC_02172-RA
OG0004360	DPOGS207813-PA	JC_07698-RA
OG0004361	DPOGS207271-PA	JC_07101-RA
OG0004362	DPOGS207409-PA	JC_13775-RA
OG0004363	DPOGS206947-PA	JC_12035-RA
OG0004364	DPOGS202895-PA	JC_10399-RA
OG0004365	DPOGS200480-PA	JC_09354-RA
OG0004366	DPOGS207817-PA	JC_07705-RA
OG0004367	DPOGS208639-PA	JC_00399-RA
OG0004368	DPOGS206046-PA	JC_02208-RA, JC_02209-RA
OG0004369	DPOGS202379-PA	JC_13638-RA
OG0004370	DPOGS204037-PA	JC_12666-RA
OG0004371	DPOGS213049-PA	JC_10944-RA
OG0004372	DPOGS204036-PA	JC_12663-RA
OG0004373	DPOGS210754-PA	JC_06668-RA
OG0004374	DPOGS208660-PA	JC_00406-RA
OG0004375	DPOGS204034-PA	JC_12654-RA, JC_12655-RA
OG0004376	DPOGS208914-PA	JC_08987-RA
OG0004377	DPOGS208659-PA	JC_00407-RA
OG0004378	DPOGS208642-PA, DPOGS208643-PA	JC_00408-RA
OG0004379	DPOGS209543-PA	JC_05764-RA
OG0004380	DPOGS215954-PA	JC_02917-RA
OG0004381	DPOGS206133-PA	JC_01891-RA
OG0004383	DPOGS209535-PA	JC_13625-RA
OG0004384	DPOGS207279-PA	JC_07089-RA
OG0004385	DPOGS200486-PA	JC_09339-RA
OG0004386	DPOGS204851-PA, DPOGS204852-PA	JC_07085-RA
OG0004387	DPOGS209556-PA	JC_05772-RA
OG0004388	DPOGS202430-PA	JC_15366-RA
OG0004389	DPOGS215953-PA	JC_02915-RA, JC_02914-RA
OG0004390	DPOGS204846-PA	JC_07082-RA, JC_07079-RA
OG0004391	DPOGS213435-PA	JC_03231-RA
OG0004392	DPOGS215629-PA	JC_01302-RA
OG0004393	DPOGS208655-PA	JC_00421-RA
OG0004395	DPOGS202449-PA	JC_04842-RA, JC_04843-RA
OG0004396	DPOGS215787-PA	JC_01305-RA, JC_01304-RA
OG0004397	DPOGS209061-PA	JC_13321-RA
OG0004398	DPOGS200488-PA	JC_09337-RA
OG0004399	DPOGS215628-PA	JC_01307-RA
OG0004400	DPOGS205858-PA	JC_13785-RA
OG0004401	DPOGS209550-PA	JC_05779-RA, JC_05780-RA
OG0004402	DPOGS202592-PA, DPOGS212273-PA	JC_05214-RA
OG0004403	DPOGS203970-PA	JC_01871-RA, JC_01872-RA
OG0004404	DPOGS202444-PA, DPOGS202445-PA	JC_04832-RA
OG0004405	DPOGS200492-PA	JC_09332-RA
OG0004406	DPOGS205820-PA	JC_13792-RA
OG0004407	DPOGS207548-PA	JC_04830-RA
OG0004408	DPOGS215625-PA	JC_01312-RA
OG0004409	DPOGS208654-PA	JC_00423-RA
OG0004410	DPOGS207600-PA	JC_04828-RA
OG0004411	DPOGS207601-PA	JC_04825-RA
OG0004412	DPOGS207546-PA	JC_04824-RA
OG0004413	DPOGS207829-PA, DPOGS207830-PA	JC_07727-RA
OG0004414	DPOGS208902-PA	JC_08995-RA
OG0004415	DPOGS207836-PA	JC_07734-RA
OG0004416	DPOGS204854-PA	JC_07071-RA
OG0004416	DPOGS204853-PA	JC_07073-RA
OG0004417	DPOGS202596-PA	JC_05203-RA
OG0004418	DPOGS208071-PA	JC_00434-RA
OG0004419	DPOGS209054-PA	JC_13324-RA
OG0004420	DPOGS210684-PA	JC_06658-RA
OG0004421	DPOGS208069-PA	JC_00437-RA
OG0004422	DPOGS208079-PA	JC_00438-RA
OG0004423	DPOGS209537-PA	JC_13595-RA
OG0004424	DPOGS211638-PA	JC_06998-RA
OG0004425	DPOGS208068-PA	JC_00439-RA
OG0004426	DPOGS206866-PA	JC_11824-RA
OG0004427	DPOGS201490-PA	JC_01064-RA, JC_01063-RA
OG0004428	DPOGS207070-PA	JC_11823-RA
OG0004429	DPOGS209041-PA	JC_13334-RA
OG0004430	DPOGS211646-PA, DPOGS208145-PA	JC_07004-RA
OG0004431	DPOGS204248-PA	JC_00309-RA
OG0004432	DPOGS203973-PA	JC_01863-RA
OG0004433	DPOGS214340-PA	JC_10377-RA
OG0004434	DPOGS212811-PA	JC_12641-RA, JC_12640-RA
OG0004435	DPOGS211633-PA, DPOGS211632-PA	JC_07011-RA
OG0004436	DPOGS212873-PA	JC_12637-RA
OG0004437	DPOGS210686-PA, DPOGS210687-PA	JC_06655-RA
OG0004438	DPOGS213236-PA, DPOGS213235-PA	JC_13930-RA
OG0004440	DPOGS212815-PA	JC_12631-RA
OG0004441	DPOGS214144-PA	JC_08390-RA
OG0004442	DPOGS208376-PA	JC_01732-RA
OG0004443	DPOGS200984-PA	JC_10969-RA
OG0004444	DPOGS212816-PA	JC_12625-RA
OG0004445	DPOGS214220-PA	JC_08374-RA
OG0004446	DPOGS205873-PA, DPOGS205872-PA	JC_15388-RA
OG0004447	DPOGS201024-PA	JC_10970-RA
OG0004448	DPOGS209895-PA	JC_09562-RA, JC_02001-RA
OG0004449	DPOGS214152-PA	JC_08371-RA
OG0004450	DPOGS213832-PA	JC_05195-RA
OG0004451	DPOGS202111-PA	JC_04164-RA
OG0004452	DPOGS208963-PA	JC_09018-RA
OG0004453	DPOGS214254-PA	JC_08428-RA
OG0004454	DPOGS205251-PA	JC_15504-RA
OG0004455	DPOGS213828-PA	JC_05188-RA
OG0004456	DPOGS212864-PA	JC_12622-RA
OG0004457	DPOGS211658-PA	JC_07032-RA
OG0004458	DPOGS200986-PA	JC_10984-RA
OG0004459	DPOGS208965-PA	JC_09024-RA
OG0004460	DPOGS213826-PA, DPOGS213827-PA	JC_05186-RA
OG0004461	DPOGS209902-PA	JC_10447-RA
OG0004462	DPOGS204290-PA	JC_00285-RA
OG0004463	DPOGS211903-PA	JC_02898-RA
OG0004464	DPOGS204264-PA	JC_00284-RA
OG0004465	DPOGS209905-PA	JC_10441-RA
OG0004466	DPOGS205765-PA, DPOGS205764-PA	JC_04818-RA
OG0004467	DPOGS211910-PA	JC_02883-RA
OG0004468	DPOGS202636-PA	JC_11147-RA, JC_11148-RA
OG0004469	DPOGS207713-PA	JC_07763-RA
OG0004470	DPOGS213841-PA	JC_05185-RA
OG0004471	DPOGS210747-PA	JC_06646-RA, JC_06645-RA
OG0004472	DPOGS204284-PA	JC_00275-RA
OG0004473	DPOGS206936-PA	JC_11750-RA
OG0004474	DPOGS201485-PA	JC_01073-RA
OG0004475	DPOGS200707-PA	JC_02880-RA
OG0004476	DPOGS213824-PA	JC_05183-RA
OG0004477	DPOGS204003-PA	JC_15489-RA
OG0004478	DPOGS202367-PA, DPOGS202366-PA	JC_13552-RA
OG0004479	DPOGS201013-PA	JC_10996-RA
OG0004480	DPOGS212825-PA	JC_12589-RA
OG0004481	DPOGS204859-PA	JC_07063-RA
OG0004482	DPOGS200999-PA	JC_11003-RA
OG0004483	DPOGS212827-PA	JC_12595-RA
OG0004484	DPOGS203950-PA	JC_01843-RA
OG0004485	DPOGS202118-PA	JC_04173-RA, JC_04171-RA
OG0004486	DPOGS201480-PA	JC_01089-RA, JC_01092-RA
OG0004487	DPOGS201476-PA	JC_01093-RA
OG0004488	DPOGS201008-PA	JC_11006-RA, JC_11047-RA
OG0004489	DPOGS201006-PA	JC_11008-RA, JC_11044-RA
OG0004490	DPOGS212830-PA	JC_12599-RA
OG0004491	DPOGS205501-PA	JC_15466-RA
OG0004492	DPOGS213630-PA	JC_06992-RA
OG0004493	DPOGS205502-PA	JC_15464-RA
OG0004494	DPOGS206934-PA	JC_11760-RA
OG0004495	DPOGS205534-PA, DPOGS205533-PA	JC_15463-RA
OG0004496	DPOGS215411-PA	JC_05836-RA
OG0004497	DPOGS213306-PA	JC_03171-RA, JC_03172-RA
OG0004498	DPOGS208928-PA	JC_09051-RA
OG0004499	DPOGS211621-PA	JC_11113-RA
OG0004500	DPOGS202104-PA	JC_04181-RA
OG0004501	DPOGS212387-PA	JC_07203-RA
OG0004502	DPOGS212388-PA	JC_07204-RA
OG0004503	DPOGS206933-PA	JC_11762-RA
OG0004504	DPOGS209977-PA	JC_05094-RA
OG0004505	DPOGS207649-PA	JC_09310-RA, JC_09774-RA
OG0004506	DPOGS207666-PA	JC_09308-RA, JC_09309-RA
OG0004507	DPOGS204280-PA	JC_00264-RA
OG0004508	DPOGS202691-PA	JC_12277-RA, JC_12278-RA
OG0004509	DPOGS204279-PA	JC_00259-RA
OG0004510	DPOGS202701-PA	JC_12279-RA
OG0004511	DPOGS210564-PA, DPOGS207857-PA	JC_07780-RA
OG0004512	DPOGS214112-PA	JC_08473-RA
OG0004513	DPOGS206927-PA	JC_11775-RA
OG0004514	DPOGS200317-PA	JC_03159-RA
OG0004515	DPOGS207010-PA	JC_11778-RA
OG0004516	DPOGS207860-PA	JC_07791-RA
OG0004517	DPOGS214111-PA	JC_08474-RA
OG0004518	DPOGS204274-PA	JC_00253-RA
OG0004519	DPOGS211414-PA	JC_04930-RA
OG0004520	DPOGS200318-PA	JC_03156-RA
OG0004521	DPOGS206925-PA	JC_11782-RA
OG0004522	DPOGS200309-PA	JC_03155-RA
OG0004523	DPOGS212557-PA	JC_01831-RA
OG0004524	DPOGS202101-PA	JC_04189-RA, JC_04188-RA
OG0004525	DPOGS207859-PA	JC_07784-RA
OG0004526	DPOGS214107-PA	JC_08482-RA
OG0004527	DPOGS207700-PA	JC_07783-RA, JC_07782-RA
OG0004528	DPOGS210734-PA	JC_06619-RA
OG0004529	DPOGS200308-PA	JC_03152-RA
OG0004530	DPOGS210732-PA	JC_06613-RA
OG0004531	DPOGS205511-PA	JC_15449-RA, JC_15448-RA
OG0004532	DPOGS202354-PA	JC_13543-RA
OG0004533	DPOGS211620-PA	JC_11112-RA
OG0004535	DPOGS215418-PA	JC_05848-RA
OG0004536	DPOGS212000-PA	JC_09285-RA
OG0004538	DPOGS201931-PA, DPOGS201930-PA	JC_01103-RA
OG0004539	DPOGS212560-PA	JC_01827-RA
OG0004540	DPOGS210722-PA	JC_06605-RA
OG0004542	DPOGS200817-PA	JC_07799-RA
OG0004544	DPOGS213959-PA	JC_00242-RA
OG0004545	DPOGS213935-PA	JC_00241-RA
OG0004546	DPOGS210306-PA	JC_13528-RA
OG0004547	DPOGS205516-PA	JC_15442-RA
OG0004548	DPOGS202363-PA	JC_13530-RA
OG0004549	DPOGS213957-PA	JC_00239-RA
OG0004550	DPOGS205518-PA	JC_15434-RA, JC_15437-RA
OG0004551	DPOGS202129-PA, DPOGS202130-PA	JC_04205-RA
OG0004552	DPOGS202094-PA	JC_04206-RA
OG0004554	DPOGS200590-PA	JC_05131-RA
OG0004556	DPOGS212396-PA, DPOGS212395-PA	JC_07214-RA
OG0004557	DPOGS205831-PA	JC_04955-RA
OG0004558	DPOGS200122-PA	JC_09080-RA
OG0004559	DPOGS214287-PA	JC_08486-RA
OG0004560	DPOGS202917-PA	JC_10422-RA
OG0004561	DPOGS202915-PA	JC_10420-RA
OG0004562	DPOGS200302-PA	JC_03137-RA
OG0004563	DPOGS202494-PA	JC_15478-RA
OG0004564	DPOGS213954-PA	JC_00234-RA
OG0004565	DPOGS212572-PA	JC_01815-RA
OG0004566	DPOGS202914-PA	JC_10417-RA
OG0004567	DPOGS203493-PA, DPOGS203494-PA	JC_11060-RA
OG0004568	DPOGS202806-PA	JC_09276-RA
OG0004569	DPOGS202911-PA	JC_10410-RA
OG0004570	DPOGS203399-PA	JC_01799-RA
OG0004571	DPOGS202807-PA	JC_09270-RA
OG0004572	DPOGS200305-PA	JC_03128-RA
OG0004573	DPOGS214911-PA	JC_13517-RA, JC_13516-RA
OG0004574	DPOGS200646-PA, DPOGS200647-PA	JC_05141-RA
OG0004575	DPOGS207917-PA	JC_15423-RA
OG0004576	DPOGS213436-PA	JC_03229-RA, JC_03227-RA, JC_03226-RA, JC_03228-RA
OG0004577	DPOGS203487-PA	JC_10515-RA, JC_11072-RA
OG0004578	DPOGS214001-PA, DPOGS200642-PA	JC_05151-RA
OG0004579	DPOGS206916-PA	JC_11801-RA
OG0004580	DPOGS212383-PA	JC_07225-RA, JC_07226-RA
OG0004581	DPOGS208720-PA, DPOGS208721-PA	JC_00220-RA
OG0004582	DPOGS203397-PA	JC_01804-RA
OG0004583	DPOGS208722-PA	JC_00219-RA
OG0004584	DPOGS200178-PA	JC_04223-RA
OG0004585	DPOGS214093-PA	JC_08495-RA
OG0004586	DPOGS207661-PA	JC_09258-RA
OG0004587	DPOGS203317-PA	JC_01806-RA, JC_01807-RA
OG0004588	DPOGS202782-PA	JC_09256-RA
OG0004589	DPOGS208726-PA	JC_00209-RA, JC_00208-RA
OG0004590	DPOGS211608-PA	JC_11085-RA, JC_11086-RA
OG0004591	DPOGS202784-PA	JC_09254-RA
OG0004592	DPOGS205854-PA	JC_04971-RA
OG0004593	DPOGS208729-PA	JC_00204-RA
OG0004594	DPOGS209563-PA	JC_05746-RA
OG0004595	DPOGS215273-PA	JC_11020-RA
OG0004596	DPOGS202833-PA	JC_09242-RA, JC_09241-RA
OG0004597	DPOGS200831-PA	JC_07829-RA
OG0004598	DPOGS200341-PA	JC_03106-RA
OG0004599	DPOGS200294-PA	JC_03105-RA
OG0004600	DPOGS200599-PA	JC_05156-RA
OG0004602	DPOGS200600-PA	JC_05158-RA, JC_05157-RA
OG0004603	DPOGS200833-PA	JC_07835-RA, JC_07834-RA
OG0004604	DPOGS200638-PA, DPOGS200639-PA	JC_05160-RA
OG0004605	DPOGS200602-PA	JC_05163-RA, JC_05162-RA
OG0004606	DPOGS205572-PA	JC_09099-RA
OG0004607	DPOGS209927-PA	JC_04978-RA
OG0004608	DPOGS215278-PA	JC_11010-RA, JC_11009-RA
OG0004609	DPOGS207619-PA	JC_08509-RA
OG0004610	DPOGS210595-PA	JC_00841-RA
OG0004611	DPOGS200352-PA	JC_03091-RA
OG0004612	DPOGS208707-PA	JC_00196-RA
OG0004613	DPOGS207071-PA	JC_11826-RA
OG0004614	DPOGS202832-PA	JC_09233-RA
OG0004615	DPOGS215394-PA	JC_05744-RA
OG0004616	DPOGS207639-PA, DPOGS207640-PA	JC_08512-RA
OG0004617	DPOGS203005-PA	JC_01646-RA
OG0004618	DPOGS207687-PA, DPOGS207688-PA	JC_15412-RA
OG0004619	DPOGS208705-PA	JC_00192-RA, JC_00191-RA
OG0004620	DPOGS200173-PA	JC_04231-RA
OG0004621	DPOGS200357-PA	JC_03082-RA
OG0004622	DPOGS205571-PA	JC_09101-RA, JC_09100-RA
OG0004623	DPOGS200714-PA	JC_02857-RA
OG0004624	DPOGS202827-PA, DPOGS203890-PA	JC_09221-RA
OG0004625	DPOGS200137-PA	JC_04234-RA
OG0004626	DPOGS200747-PA	JC_02852-RA
OG0004627	DPOGS208163-PA	JC_13486-RA
OG0004628	DPOGS200716-PA, DPOGS209331-PA	JC_02851-RA
OG0004629	DPOGS206722-PA	JC_04318-RA, JC_04317-RA
OG0004630	DPOGS200717-PA	JC_02849-RA
OG0004631	DPOGS205556-PA	JC_09102-RA
OG0004632	DPOGS200718-PA	JC_02848-RA
OG0004633	DPOGS208321-PA	JC_06576-RA
OG0004634	DPOGS204752-PA	JC_04377-RA
OG0004635	DPOGS208742-PA	JC_00173-RA
OG0004636	DPOGS200632-PA, DPOGS200633-PA	JC_05167-RA, JC_05168-RA
OG0004637	DPOGS200631-PA	JC_05169-RA
OG0004638	DPOGS202235-PA	JC_00869-RA, JC_00867-RA
OG0004639	DPOGS212374-PA	JC_07243-RA
OG0004640	DPOGS208165-PA	JC_13494-RA, JC_13489-RA
OG0004641	DPOGS200606-PA	JC_05171-RA
OG0004642	DPOGS202383-PA	JC_06571-RA
OG0004643	DPOGS204755-PA	JC_04371-RA
OG0004644	DPOGS202187-PA	JC_00872-RA, JC_00871-RA
OG0004645	DPOGS206862-PA	JC_11845-RA, JC_11844-RA
OG0004646	DPOGS202385-PA	JC_06568-RA
OG0004647	DPOGS203033-PA	JC_01717-RA, JC_01718-RA
OG0004648	DPOGS202188-PA	JC_00875-RA
OG0004649	DPOGS200359-PA	JC_03078-RA
OG0004651	DPOGS200848-PA	JC_07866-RA, JC_07865-RA
OG0004653	DPOGS208692-PA	JC_00163-RA
OG0004654	DPOGS207636-PA	JC_08521-RA
OG0004655	DPOGS200737-PA	JC_02835-RA
OG0004656	DPOGS211038-PA	JC_05174-RA
OG0004657	DPOGS214891-PA	JC_04996-RA
OG0004658	DPOGS200363-PA	JC_03071-RA
OG0004659	DPOGS208159-PA	JC_13484-RA
OG0004660	DPOGS212889-PA	JC_02834-RA
OG0004661	DPOGS200279-PA	JC_03064-RA
OG0004662	DPOGS208158-PA	JC_13481-RA, JC_13482-RA
OG0004663	DPOGS208686-PA	JC_00154-RA
OG0004664	DPOGS200366-PA	JC_03062-RA
OG0004665	DPOGS206636-PA	JC_11269-RA
OG0004666	DPOGS207085-PA	JC_11865-RA
OG0004667	DPOGS205925-PA	JC_04356-RA
OG0004669	DPOGS206861-PA	JC_11867-RA
OG0004670	DPOGS200021-PA	JC_05741-RA
OG0004671	DPOGS215069-PA	JC_03057-RA
OG0004672	DPOGS208753-PA, DPOGS208754-PA	JC_00151-RA
OG0004673	DPOGS208152-PA, DPOGS208386-PA	JC_13477-RA
OG0004674	DPOGS215035-PA	JC_03055-RA
OG0004675	DPOGS208156-PA	JC_13474-RA
OG0004676	DPOGS215066-PA	JC_03048-RA
OG0004677	DPOGS215041-PA	JC_03045-RA, JC_03046-RA
OG0004678	DPOGS206857-PA	JC_11876-RA
OG0004679	DPOGS202224-PA	JC_00891-RA
OG0004680	DPOGS202199-PA	JC_00894-RA, JC_00895-RA
OG0004681	DPOGS207092-PA	JC_11877-RA
OG0004682	DPOGS205946-PA	JC_04336-RA
OG0004683	DPOGS210210-PA	JC_09118-RA
OG0004684	DPOGS212360-PA	JC_07263-RA
OG0004685	DPOGS202766-PA	JC_09184-RA
OG0004686	DPOGS206854-PA	JC_11884-RA, JC_11886-RA
OG0004687	DPOGS202858-PA	JC_09185-RA
OG0004688	DPOGS212359-PA	JC_07265-RA
OG0004689	DPOGS215061-PA	JC_03038-RA
OG0004690	DPOGS211558-PA, DPOGS211559-PA	JC_13466-RA
OG0004691	DPOGS202222-PA	JC_00898-RA
OG0004692	DPOGS202194-PA	JC_00900-RA, JC_00901-RA
OG0004693	DPOGS211831-PA	JC_08530-RA
OG0004694	DPOGS202223-PA	JC_00902-RA
OG0004695	DPOGS205614-PA	JC_02826-RA
OG0004696	DPOGS202220-PA	JC_00905-RA
OG0004697	DPOGS202201-PA	JC_00906-RA
OG0004699	DPOGS210246-PA	JC_09133-RA
OG0004701	DPOGS215059-PA	JC_03034-RA
OG0004702	DPOGS202205-PA	JC_00914-RA
OG0004703	DPOGS206849-PA	JC_11892-RA
OG0004704	DPOGS202216-PA	JC_00916-RA
OG0004705	DPOGS212721-PA, DPOGS205617-PA	JC_02822-RA
OG0004706	DPOGS211807-PA	JC_08531-RA
OG0004707	DPOGS205694-PA	JC_07887-RA
OG0004708	DPOGS205710-PA	JC_07891-RA, JC_07889-RA
OG0004709	DPOGS210218-PA	JC_09142-RA, JC_09141-RA
OG0004710	DPOGS210243-PA	JC_09145-RA
OG0004711	DPOGS205676-PA	JC_02811-RA
OG0004712	DPOGS215044-PA	JC_03030-RA
OG0004713	DPOGS206843-PA	JC_11901-RA
OG0004714	DPOGS202180-PA	JC_00117-RA
