Orthogroup	Danaus_plexippus	Heliconius_melpomene_melpomene
OG0005937	DPOGS212140-PA	HMEL007729g1.t1
OG0005938	DPOGS205226-PA	HMEL006471g1.t1
OG0005939	DPOGS203261-PA	HMEL031841g1.t1
OG0005940	DPOGS203267-PA	HMEL015361g1.t1
OG0005941	DPOGS213133-PA	HMEL013581g1.t1
OG0005942	DPOGS203263-PA	HMEL015362g1.t1
OG0005943	DPOGS205227-PA	HMEL006469g1.t1
OG0005944	DPOGS213070-PA	HMEL013580g1.t1
OG0005945	DPOGS211935-PA	HMEL005335g1.t1
OG0005946	DPOGS215770-PA	HMEL030748g1.t1
OG0005947	DPOGS204568-PA	HMEL007447-RA
OG0005948	DPOGS215644-PA	HMEL030749g1.t1
OG0005949	DPOGS215771-PA	HMEL014101g1.t1
OG0005950	DPOGS209345-PA	HMEL006468g1.t1
OG0005951	DPOGS211949-PA	HMEL033874g1.t1
OG0005953	DPOGS213563-PA	HMEL037537g1.t1
OG0005954	DPOGS213562-PA	HMEL010867g1.t1
OG0005955	DPOGS215642-PA	HMEL030752g1.t1
OG0005956	DPOGS204515-PA	HMEL008972g1.t1
OG0005957	DPOGS210568-PA	HMEL008505-RA
OG0005958	DPOGS213571-PA	HMEL037538g1.t1
OG0005959	DPOGS213561-PA	HMEL037539g1.t1
OG0005960	DPOGS204516-PA	HMEL008973g1.t1
OG0005961	DPOGS212121-PA	HMEL007732g1.t1
OG0005962	DPOGS207515-PA	HMEL005513g1.t1
OG0005963	DPOGS212949-PA	HMEL037189g1.t1
OG0005964	DPOGS212948-PA	HMEL010735g1.t1
OG0005965	DPOGS202512-PA	HMEL007445g1.t1
OG0005966	DPOGS207525-PA	HMEL005515g1.t1
OG0005967	DPOGS209108-PA	HMEL014462g1.t1
OG0005968	DPOGS212122-PA	HMEL007734g1.t1
OG0005969	DPOGS207516-PA	HMEL005516g1.t1
OG0005970	DPOGS212137-PA	HMEL035044g1.t1
OG0005971	DPOGS212958-PA	HMEL010736g1.t1
OG0005972	DPOGS204512-PA	HMEL008979g1.t1
OG0005973	DPOGS215640-PA	HMEL014099g1.t1
OG0005974	DPOGS207517-PA	HMEL005520g1.t1
OG0005975	DPOGS208428-PA	HMEL007207g1.t1
OG0005976	DPOGS207519-PA	HMEL005522g1.t1
OG0005977	DPOGS208537-PA	HMEL034841g1.t1
OG0005978	DPOGS208538-PA	HMEL008747g1.t1
OG0005979	DPOGS208441-PA	HMEL007208g1.t1
OG0005980	DPOGS208501-PA	HMEL008748g1.t1
OG0005981	DPOGS202526-PA	HMEL007439g1.t1
OG0005982	DPOGS205013-PA	HMEL014635g1.t1
OG0005983	DPOGS200891-PA	HMEL012730g1.t1
OG0005984	DPOGS201276-PA	HMEL030208g1.t1
OG0005985	DPOGS201277-PA	HMEL012380g1.t1
OG0005986	DPOGS207874-PA	HMEL010236g1.t1
OG0005987	DPOGS202527-PA	HMEL007437g1.t1
OG0005988	DPOGS208440-PA	HMEL007209g1.t1
OG0005989	DPOGS200914-PA	HMEL012729g1.t1
OG0005990	DPOGS204510-PA	HMEL008903g1.t1
OG0005991	DPOGS201278-PA	HMEL012382g1.t1
OG0005993	DPOGS200913-PA	HMEL007337g1.t1
OG0005994	DPOGS213574-PA	HMEL008556g1.t1
OG0005995	DPOGS207821-PA	HMEL011980g1.t1
OG0005996	DPOGS201352-PA	HMEL012383g1.t1
OG0005997	DPOGS207873-PA	HMEL010238g1.t1
OG0005998	DPOGS213575-PA	HMEL037542g1.t1
OG0006000	DPOGS213483-PA	HMEL016851g1.t1
OG0006001	DPOGS201348-PA	HMEL030210g1.t1
OG0006002	DPOGS208439-PA	HMEL007210g1.t1
OG0006003	DPOGS200893-PA	HMEL012225g1.t1
OG0006004	DPOGS213073-PA	HMEL006523g1.t1
OG0006005	DPOGS214716-PA	HMEL037855g1.t1
OG0006006	DPOGS213128-PA	HMEL006522g1.t1
OG0006007	DPOGS214733-PA	HMEL037854g1.t1
OG0006008	DPOGS204509-PA	HMEL003609g1.t1
OG0006009	DPOGS200894-PA	HMEL012224g1.t1
OG0006010	DPOGS207871-PA	HMEL010239g1.t1
OG0006012	DPOGS211939-PA	HMEL012812g1.t1
OG0006013	DPOGS214719-PA	HMEL009162g1.t1
OG0006014	DPOGS207890-PA	HMEL010241g1.t1
OG0006015	DPOGS207891-PA	HMEL010242g1.t1
OG0006016	DPOGS215890-PA	HMEL009038g1.t1
OG0006017	DPOGS205911-PA	HMEL013011g1.t1
OG0006018	DPOGS205904-PA	HMEL013008g1.t1
OG0006019	DPOGS208542-PA	HMEL008754g1.t1
OG0006020	DPOGS207892-PA	HMEL010244g1.t1
OG0006021	DPOGS208627-PA	HMEL034473g1.t1
OG0006022	DPOGS204673-PA	HMEL030393g1.t1
OG0006023	DPOGS201952-PA	HMEL003826g1.t1
OG0006025	DPOGS201945-PA	HMEL003827g1.t1
OG0006026	DPOGS215891-PA	HMEL031844g1.t1
OG0006027	DPOGS207868-PA	HMEL010245g1.t1
OG0006028	DPOGS208543-PA	HMEL008757g1.t1
OG0006029	DPOGS204675-PA	HMEL014643g1.t1
OG0006030	DPOGS215444-PA	HMEL016324g1.t1
OG0006031	DPOGS208497-PA	HMEL008759g1.t1
OG0006032	DPOGS208430-PA	HMEL007215-RA
OG0006033	DPOGS204676-PA	HMEL014645g1.t1
OG0006034	DPOGS204688-PA	HMEL014646g1.t1
OG0006035	DPOGS204687-PA	HMEL017595g1.t1
OG0006036	DPOGS212945-PA	HMEL010738g1.t1
OG0006037	DPOGS202501-PA	HMEL007430g1.t1
OG0006038	DPOGS212338-PA	HMEL003946g1.t1
OG0006039	DPOGS207866-PA	HMEL010248g1.t1
OG0006040	DPOGS204686-PA	HMEL017600g1.t1
OG0006041	DPOGS213486-PA	HMEL016849g1.t1
OG0006042	DPOGS216095-PA	HMEL032200g1.t1
OG0006043	DPOGS201279-PA	HMEL030213g1.t1
OG0006044	DPOGS209758-PA	HMEL011906g1.t1
OG0006045	DPOGS215437-PA	HMEL016321g1.t1
OG0006046	DPOGS201781-PA	HMEL008337g1.t1
OG0006047	DPOGS204678-PA	HMEL017601g1.t1
OG0006048	DPOGS201820-PA	HMEL008338g1.t1
OG0006049	DPOGS207895-PA	HMEL010250g1.t1
OG0006050	DPOGS209757-PA	HMEL011908g1.t1
OG0006051	DPOGS214730-PA	HMEL008592g1.t1
OG0006052	DPOGS208546-PA	HMEL008763g1.t1
OG0006053	DPOGS212891-PA	HMEL003828g1.t1
OG0006054	DPOGS215635-PA	HMEL004519g1.t1
OG0006055	DPOGS212191-PA	HMEL016180g1.t1, HMEL032493g1.t1
OG0006056	DPOGS215779-PA	HMEL006533g1.t1
OG0006057	DPOGS205374-PA	HMEL005221g1.t1
OG0006058	DPOGS214667-PA	HMEL032498g1.t1
OG0006059	DPOGS204681-PA	HMEL030396g1.t1
OG0006060	DPOGS209755-PA	HMEL011910-RA
OG0006061	DPOGS213471-PA	HMEL016844g1.t1
OG0006062	DPOGS201280-PA	HMEL012393g1.t1
OG0006063	DPOGS214668-PA	HMEL032499g1.t1
OG0006064	DPOGS204682-PA	HMEL014453g1.t1
OG0006066	DPOGS201340-PA	HMEL012394g1.t1
OG0006067	DPOGS201282-PA	HMEL012395g1.t1
OG0006068	DPOGS201339-PA	HMEL012396g1.t1
OG0006069	DPOGS209764-PA	HMEL011911g1.t1
OG0006070	DPOGS208547-PA	HMEL008765g1.t1
OG0006071	DPOGS211277-PA	HMEL037056g1.t1
OG0006072	DPOGS201283-PA	HMEL012397g1.t1
OG0006073	DPOGS201338-PA	HMEL030215g1.t1
OG0006074	DPOGS211290-PA	HMEL002650g1.t1
OG0006075	DPOGS215633-PA	HMEL030765g1.t1
OG0006076	DPOGS211892-PA	HMEL003192g1.t1
OG0006077	DPOGS200956-PA	HMEL014451g1.t1
OG0006078	DPOGS215783-PA	HMEL008544g1.t1
OG0006079	DPOGS214664-PA	HMEL032500g1.t1
OG0006080	DPOGS215882-PA	HMEL031855g1.t1
OG0006081	DPOGS212692-PA	HMEL033193g1.t1
OG0006082	DPOGS208491-PA	HMEL017883g1.t1
OG0006083	DPOGS208549-PA	HMEL034878g1.t1
OG0006084	DPOGS208550-PA	HMEL016603g1.t1
OG0006085	DPOGS208133-PA	HMEL006223g1.t1
OG0006086	DPOGS215447-PA	HMEL016318g1.t1
OG0006087	DPOGS208110-PA	HMEL006221g1.t1
OG0006088	DPOGS209767-PA	HMEL011916g1.t1
OG0006089	DPOGS214802-PA	HMEL010434g1.t1, HMEL005723g1.t1
OG0006090	DPOGS208552-PA	HMEL016434g1.t1
OG0006091	DPOGS214619-PA	HMEL002763g1.t1
OG0006092	DPOGS215436-PA	HMEL016317g1.t1
OG0006093	DPOGS201285-PA	HMEL030217g1.t1
OG0006094	DPOGS208488-PA	HMEL016437g1.t1
OG0006095	DPOGS208435-PA	HMEL007225g1.t1
OG0006096	DPOGS205898-PA	HMEL032834g1.t1
OG0006097	DPOGS213076-PA	HMEL009768g1.t1
OG0006098	DPOGS205916-PA	HMEL032835g1.t1
OG0006099	DPOGS200916-PA	HMEL007976g1.t1
OG0006101	DPOGS215784-PA	HMEL030769g1.t1
OG0006102	DPOGS208487-PA	HMEL016438g1.t1
OG0006103	DPOGS214661-PA	HMEL010473g1.t1
OG0006104	DPOGS205897-PA	HMEL032836g1.t1
OG0006105	DPOGS205917-PA	HMEL005511g1.t1
OG0006106	DPOGS214803-PA	HMEL037725g1.t1
OG0006107	DPOGS204816-PA	HMEL007426g1.t1
OG0006108	DPOGS203198-PA	HMEL003843-RA, HMEL009157-RA
OG0006109	DPOGS201287-PA	HMEL030219g1.t1
OG0006110	DPOGS201326-PA	HMEL012404g1.t1
OG0006111	DPOGS215786-PA	HMEL008541g1.t1
OG0006112	DPOGS216135-PA	HMEL012214g1.t1
OG0006113	DPOGS205894-PA	HMEL032826g1.t1
OG0006114	DPOGS200811-PA	HMEL011919g1.t1
OG0006115	DPOGS213083-PA	HMEL009774g1.t1
OG0006116	DPOGS208485-PA	HMEL016442g1.t1
OG0006117	DPOGS205918-PA	HMEL005574g1.t1
OG0006118	DPOGS211886-PA	HMEL005162g1.t1
OG0006119	DPOGS214658-PA	HMEL032506g1.t1
OG0006120	DPOGS211885-PA	HMEL005163g1.t1
OG0006121	DPOGS203243-PA	HMEL032814g1.t1
OG0006122	DPOGS206525-PA	HMEL005573g1.t1
OG0006123	DPOGS214677-PA	HMEL007687g1.t1
OG0006124	DPOGS208484-PA	HMEL034821g1.t1
OG0006125	DPOGS215911-PA	HMEL007991g1.t1
OG0006126	DPOGS200812-PA	HMEL011922g1.t1
OG0006127	DPOGS203783-PA	HMEL008537g1.t1
OG0006128	DPOGS214657-PA	HMEL007686g1.t1
OG0006129	DPOGS207899-PA	HMEL006404g1.t1
OG0006130	DPOGS215449-PA	HMEL016313g1.t1
OG0006131	DPOGS207317-PA	HMEL015709g1.t1
OG0006132	DPOGS203864-PA	HMEL008488g1.t1
OG0006133	DPOGS213084-PA	HMEL031184g1.t1
OG0006134	DPOGS214678-PA	HMEL007685g1.t1
OG0006135	DPOGS213116-PA	HMEL031183g1.t1
OG0006136	DPOGS213085-PA	HMEL009782g1.t1
OG0006137	DPOGS208481-PA	HMEL003264g1.t1
OG0006138	DPOGS205191-PA	HMEL034139g1.t1
OG0006139	DPOGS208559-PA	HMEL003265g1.t1
OG0006140	DPOGS213511-PA	HMEL007781g1.t1
OG0006141	DPOGS209856-PA	HMEL016971g1.t1
OG0006142	DPOGS215938-PA	HMEL007681g1.t1
OG0006143	DPOGS201363-PA	HMEL002142g1.t1
OG0006144	DPOGS208189-PA	HMEL015710g1.t1
OG0006145	DPOGS213512-PA	HMEL007780g1.t1
OG0006146	DPOGS214598-PA	HMEL037879g1.t1
OG0006147	DPOGS213496-PA	HMEL031367g1.t1
OG0006148	DPOGS214597-PA	HMEL037880g1.t1
OG0006149	DPOGS201681-PA	HMEL011926g1.t1
OG0006150	DPOGS205371-PA	HMEL013444g1.t1
OG0006151	DPOGS203784-PA	HMEL030774g1.t1
OG0006152	DPOGS211881-PA	HMEL007706g1.t1
OG0006153	DPOGS213115-PA	HMEL009786g1.t1
OG0006154	DPOGS203721-PA	HMEL008534g1.t1
OG0006155	DPOGS213088-PA	HMEL009787g1.t1
OG0006156	DPOGS203724-PA	HMEL008533g1.t1
OG0006157	DPOGS210258-PA	HMEL016978g1.t1
OG0006158	DPOGS215937-PA	HMEL032510g1.t1
OG0006159	DPOGS203782-PA	HMEL008532g1.t1
OG0006160	DPOGS213498-PA	HMEL016828g1.t1
OG0006161	DPOGS213514-PA	HMEL017845g1.t1
OG0006162	DPOGS203781-PA	HMEL008530g1.t1
OG0006163	DPOGS211879-PA	HMEL007704g1.t1
OG0006164	DPOGS203726-PA	HMEL008529g1.t1
OG0006165	DPOGS201324-PA	HMEL012411g1.t1
OG0006166	DPOGS211944-PA	HMEL007703g1.t1
OG0006167	DPOGS201292-PA	HMEL012412g1.t1
OG0006168	DPOGS215947-PA	HMEL007674g1.t1
OG0006169	DPOGS214625-PA	HMEL037882g1.t1
OG0006170	DPOGS213460-PA	HMEL016826g1.t1
OG0006171	DPOGS210279-PA	HMEL016979g1.t1
OG0006172	DPOGS215933-PA	HMEL022255g1.t1
OG0006173	DPOGS213246-PA	HMEL011763g1.t1
OG0006174	DPOGS201366-PA	HMEL025039g1.t1
OG0006175	DPOGS211124-PA	HMEL012415g1.t1
OG0006176	DPOGS210277-PA	HMEL008626g1.t1
OG0006177	DPOGS211177-PA	HMEL012416g1.t1
OG0006178	DPOGS201386-PA	HMEL025040g1.t1
OG0006179	DPOGS204811-PA	HMEL014386g1.t1
OG0006180	DPOGS208166-PA	HMEL015839g1.t1
OG0006181	DPOGS210438-PA	HMEL015112g1.t1
OG0006182	DPOGS203246-PA	HMEL008706g1.t1
OG0006183	DPOGS210276-PA	HMEL008624g1.t1
OG0006184	DPOGS203242-PA	HMEL008705g1.t1
OG0006185	DPOGS208169-PA	HMEL015713-RA
OG0006186	DPOGS210275-PA	HMEL034605g1.t1
OG0006187	DPOGS211122-PA	HMEL012419g1.t1
OG0006188	DPOGS201385-PA	HMEL025042g1.t1
OG0006189	DPOGS213112-PA	HMEL009794g1.t1
OG0006190	DPOGS213456-PA	HMEL016824g1.t1
OG0006191	DPOGS208187-PA	HMEL015714g1.t1
OG0006192	DPOGS214589-PA	HMEL037890g1.t1
OG0006193	DPOGS208170-PA	HMEL015715g1.t1
OG0006194	DPOGS208114-PA	HMEL012265g1.t1
OG0006195	DPOGS201368-PA	HMEL035796g1.t1
OG0006197	DPOGS208115-PA	HMEL035062g1.t1
OG0006198	DPOGS211009-PA	HMEL010129g1.t1
OG0006199	DPOGS203248-PA	HMEL032812g1.t1
OG0006200	DPOGS201664-PA	HMEL011934g1.t1
OG0006201	DPOGS203240-PA	HMEL032811g1.t1
OG0006202	DPOGS213615-PA	HMEL013692g1.t1
OG0006203	DPOGS203643-PA	HMEL010310g1.t1
OG0006204	DPOGS211875-PA	HMEL033877g1.t1
OG0006205	DPOGS210956-PA	HMEL010128g1.t1
OG0006206	DPOGS208185-PA	HMEL015717g1.t1
OG0006207	DPOGS208174-PA	HMEL015720g1.t1
OG0006208	DPOGS211947-PA	HMEL017758g1.t1
OG0006209	DPOGS215873-PA	HMEL004893g1.t1
OG0006210	DPOGS211874-PA	HMEL033876g1.t1
OG0006211	DPOGS211283-PA	HMEL003216g1.t1
OG0006212	DPOGS213611-PA	HMEL037577g1.t1
OG0006213	DPOGS211948-PA	HMEL017761g1.t1
OG0006214	DPOGS213520-PA	HMEL013684g1.t1
OG0006215	DPOGS206472-PA	HMEL031570g1.t1
OG0006216	DPOGS208175-PA	HMEL015723g1.t1
OG0006217	DPOGS213610-PA	HMEL013683g1.t1
OG0006218	DPOGS208117-PA	HMEL012268g1.t1
OG0006219	DPOGS211873-PA	HMEL017760g1.t1
OG0006220	DPOGS213521-PA	HMEL013682g1.t1
OG0006221	DPOGS211745-PA	HMEL016822g1.t1
OG0006222	DPOGS211870-PA	HMEL017770g1.t1
OG0006223	DPOGS208119-PA	HMEL035068g1.t1
OG0006224	DPOGS206658-PA	HMEL006409g1.t1
OG0006225	DPOGS208127-PA	HMEL035067g1.t1
OG0006226	DPOGS211998-PA	HMEL007125g1.t1
OG0006227	DPOGS208120-PA	HMEL012272g1.t1
OG0006228	DPOGS213609-PA	HMEL013681g1.t1
OG0006229	DPOGS213523-PA	HMEL013680g1.t1
OG0006230	DPOGS211743-PA	HMEL031364g1.t1
OG0006231	DPOGS215870-PA	HMEL021221g1.t1
OG0006232	DPOGS213111-PA	HMEL006541g1.t1
OG0006233	DPOGS210451-PA	HMEL032522g1.t1
OG0006234	DPOGS206473-PA	HMEL011939g1.t1
OG0006235	DPOGS204826-PA	HMEL014388g1.t1
OG0006236	DPOGS213092-PA	HMEL006543g1.t1
OG0006237	DPOGS215869-PA	HMEL031880g1.t1, HMEL021222g1.t1
OG0006238	DPOGS206449-PA	HMEL011940g1.t1
OG0006239	DPOGS211010-PA	HMEL008091g1.t1
OG0006240	DPOGS208183-PA	HMEL006652g1.t1
OG0006241	DPOGS211952-PA	HMEL017774g1.t1
OG0006242	DPOGS213110-PA	HMEL006544g1.t1
OG0006243	DPOGS211953-PA	HMEL017775g1.t1
OG0006244	DPOGS210955-PA	HMEL008090g1.t1
OG0006246	DPOGS213093-PA	HMEL006545g1.t1
OG0006247	DPOGS205239-PA	HMEL002733g1.t1
OG0006248	DPOGS208125-PA	HMEL012274g1.t1
OG0006249	DPOGS201373-PA	HMEL002161g1.t1
OG0006250	DPOGS215921-PA	HMEL031882g1.t1
OG0006251	DPOGS207913-PA, DPOGS204910-PA	HMEL010826g1.t1
OG0006252	DPOGS213607-PA	HMEL013677g1.t1
OG0006253	DPOGS213822-PA	HMEL012275g1.t1
OG0006254	DPOGS203171-PA	HMEL005789g1.t1
OG0006255	DPOGS213104-PA	HMEL006553g1.t1
OG0006256	DPOGS211012-PA	HMEL006040g1.t1
OG0006257	DPOGS203201-PA	HMEL034330g1.t1
OG0006258	DPOGS208475-PA	HMEL004305g1.t1
OG0006259	DPOGS207790-PA	HMEL017572g1.t1
OG0006260	DPOGS203170-PA	HMEL005787g1.t1
OG0006261	DPOGS215805-PA	HMEL005816g1.t1
OG0006262	DPOGS215923-PA	HMEL031883g1.t1
OG0006263	DPOGS207772-PA	HMEL031627g1.t1
OG0006264	DPOGS208567-PA	HMEL004301g1.t1
OG0006265	DPOGS203169-PA	HMEL015752g1.t1
OG0006266	DPOGS211014-PA	HMEL006042g1.t1
OG0006267	DPOGS213604-PA	HMEL037572g1.t1
OG0006268	DPOGS214863-PA	HMEL015014g1.t1
OG0006269	DPOGS210951-PA	HMEL036105g1.t1
OG0006270	DPOGS203237-PA	HMEL008064g1.t1
OG0006271	DPOGS208569-PA	HMEL004297g1.t1
OG0006272	DPOGS201246-PA	HMEL003210g1.t1
OG0006273	DPOGS213102-PA	HMEL006555g1.t1
OG0006274	DPOGS213097-PA	HMEL006556g1.t1
OG0006275	DPOGS208470-PA	HMEL004295g1.t1
OG0006276	DPOGS203167-PA	HMEL015745g1.t1
OG0006277	DPOGS211186-PA	HMEL012429g1.t1
OG0006278	DPOGS208468-PA	HMEL004294g1.t1
OG0006279	DPOGS208571-PA	HMEL004293g1.t1
OG0006280	DPOGS213415-PA	HMEL016810g1.t1
OG0006281	DPOGS203441-PA	HMEL015032g1.t1
OG0006282	DPOGS215608-PA	HMEL030781g1.t1
OG0006283	DPOGS209232-PA	HMEL034325g1.t1
OG0006284	DPOGS203440-PA	HMEL015031g1.t1
OG0006285	DPOGS204808-PA	HMEL014395g1.t1
OG0006286	DPOGS208572-PA	HMEL004291g1.t1
OG0006287	DPOGS215609-PA	HMEL005811g1.t1
OG0006288	DPOGS203235-PA	HMEL032804g1.t1
OG0006289	DPOGS204832-PA	HMEL014396g1.t1
OG0006290	DPOGS211020-PA	HMEL036109g1.t1
OG0006291	DPOGS211116-PA	HMEL012430g1.t1
OG0006292	DPOGS209689-PA	HMEL035650g1.t1
OG0006294	DPOGS200233-PA	HMEL010658g1.t1
OG0006295	DPOGS211115-PA	HMEL012431g1.t1
OG0006296	DPOGS213794-PA	HMEL012280g1.t1
OG0006297	DPOGS213820-PA	HMEL012281g1.t1
OG0006298	DPOGS211114-PA	HMEL012433g1.t1
OG0006299	DPOGS213795-PA	HMEL012283g1.t1
OG0006300	DPOGS215611-PA	HMEL005916g1.t1
OG0006301	DPOGS215931-PA	HMEL004160g1.t1
OG0006302	DPOGS204503-PA	HMEL013077g1.t1
OG0006303	DPOGS201238-PA	HMEL037049g1.t1
OG0006304	DPOGS211113-PA	HMEL012435g1.t1
OG0006305	DPOGS213429-PA	HMEL016807g1.t1
OG0006306	DPOGS211189-PA	HMEL012436g1.t1
OG0006307	DPOGS211966-PA	HMEL017731g1.t1
OG0006308	DPOGS208465-PA	HMEL008053g1.t1
OG0006309	DPOGS201251-PA	HMEL037047g1.t1, HMEL037048g1.t1
OG0006310	DPOGS215948-PA	HMEL032530g1.t1
OG0006311	DPOGS211860-PA	HMEL017734g1.t1
OG0006312	DPOGS211859-PA	HMEL017735g1.t1
OG0006313	DPOGS215800-PA	HMEL030792g1.t1
OG0006314	DPOGS208464-PA	HMEL020015g1.t1
OG0006315	DPOGS210435-PA	HMEL032531g1.t1
OG0006316	DPOGS213098-PA	HMEL006560g1.t1
OG0006317	DPOGS215614-PA	HMEL005921g1.t1
OG0006318	DPOGS209100-PA	HMEL014271g1.t1
OG0006319	DPOGS211191-PA	HMEL012438g1.t1
OG0006320	DPOGS210460-PA	HMEL004164g1.t1
OG0006321	DPOGS209101-PA	HMEL014269g1.t1
OG0006322	DPOGS211112-PA	HMEL030234g1.t1
OG0006324	DPOGS207780-PA	HMEL017583g1.t1
OG0006325	DPOGS211193-PA	HMEL012442g1.t1
OG0006326	DPOGS211110-PA	HMEL012443g1.t1
OG0006327	DPOGS212479-PA	HMEL009322g1.t1
OG0006328	DPOGS215617-PA	HMEL005923g1.t1
OG0006329	DPOGS211194-PA	HMEL030235g1.t1
OG0006330	DPOGS208106-PA	HMEL014267g1.t1
OG0006331	DPOGS206649-PA	HMEL011131g1.t1
OG0006332	DPOGS215464-PA	HMEL008346g1.t1
OG0006333	DPOGS208107-PA	HMEL037226g1.t1
OG0006334	DPOGS215486-PA	HMEL008347g1.t1
OG0006335	DPOGS215463-PA	HMEL008348g1.t1
OG0006336	DPOGS215864-PA	HMEL010106g1.t1
OG0006338	DPOGS203437-PA	HMEL035314g1.t1
OG0006339	DPOGS204167-PA	HMEL013965g1.t1
OG0006340	DPOGS200237-PA, DPOGS200236-PA	HMEL010665g1.t1
OG0006341	DPOGS213530-PA	HMEL007897g1.t1
OG0006342	DPOGS211109-PA	HMEL012444g1.t1
OG0006343	DPOGS215619-PA	HMEL005924-RA
OG0006344	DPOGS211108-PA	HMEL012447g1.t1
OG0006345	DPOGS209666-PA	HMEL008455g1.t1
OG0006346	DPOGS213531-PA	HMEL007899g1.t1
OG0006347	DPOGS215461-PA	HMEL008350g1.t1
OG0006348	DPOGS204171-PA	HMEL005626g1.t1
OG0006349	DPOGS200250-PA	HMEL010667g1.t1
OG0006350	DPOGS213532-PA	HMEL007900g1.t1
OG0006351	DPOGS213815-PA	HMEL016160g1.t1
OG0006352	DPOGS215459-PA	HMEL008352g1.t1
OG0006353	DPOGS210430-PA	HMEL013411g1.t1
OG0006354	DPOGS212478-PA	HMEL009326g1.t1
OG0006355	DPOGS200249-PA	HMEL010668g1.t1
OG0006356	DPOGS206662-PA	HMEL033550g1.t1
OG0006358	DPOGS207778-PA	HMEL017584g1.t1
OG0006359	DPOGS210505-PA	HMEL009245g1.t1
OG0006360	DPOGS216188-PA	HMEL016328g1.t1
OG0006361	DPOGS206646-PA	HMEL033547g1.t1
OG0006362	DPOGS215356-PA	HMEL004573g1.t1
OG0006363	DPOGS215861-PA	HMEL010103g1.t1
OG0006364	DPOGS200238-PA	HMEL010669g1.t1
OG0006365	DPOGS215363-PA	HMEL004572g1.t1
OG0006366	DPOGS212299-PA	HMEL017586g1.t1
OG0006367	DPOGS208460-PA	HMEL008057g1.t1
OG0006368	DPOGS215796-PA	HMEL005929g1.t1
OG0006369	DPOGS212474-PA	HMEL009330g1.t1
OG0006370	DPOGS213421-PA	HMEL016801g1.t1
OG0006371	DPOGS201252-PA	HMEL002777g1.t1
OG0006372	DPOGS209687-PA	HMEL008459g1.t1
OG0006373	DPOGS215494-PA	HMEL008356g1.t1
OG0006374	DPOGS201232-PA	HMEL002778g1.t1
OG0006375	DPOGS210470-PA	HMEL032541g1.t1
OG0006376	DPOGS215495-PA	HMEL036637g1.t1
OG0006377	DPOGS212221-PA	HMEL016799g1.t1
OG0006378	DPOGS215457-PA	HMEL036636g1.t1
OG0006379	DPOGS200585-PA	HMEL004570g1.t1
OG0006380	DPOGS210427-PA	HMEL012775g1.t1
OG0006381	DPOGS206663-PA	HMEL011137g1.t1
OG0006382	DPOGS206664-PA	HMEL011139g1.t1
OG0006383	DPOGS213812-PA	HMEL016159g1.t1
OG0006384	DPOGS200240-PA	HMEL010676g1.t1
OG0006385	DPOGS216064-PA	HMEL008921g1.t1
OG0006386	DPOGS206665-PA	HMEL011140g1.t1
OG0006387	DPOGS203435-PA	HMEL011570g1.t1
OG0006388	DPOGS200241-PA	HMEL010678g1.t1
OG0006389	DPOGS203097-PA	HMEL004547g1.t1
OG0006390	DPOGS210471-PA	HMEL012776g1.t1
OG0006391	DPOGS216043-PA	HMEL036680g1.t1
OG0006392	DPOGS212469-PA	HMEL009338g1.t1
OG0006393	DPOGS206643-PA	HMEL011142g1.t1
OG0006394	DPOGS213797-PA	HMEL035080g1.t1
OG0006395	DPOGS206642-PA	HMEL033545g1.t1
OG0006396	DPOGS213810-PA	HMEL035081g1.t1
OG0006397	DPOGS201230-PA	HMEL005348g1.t1
OG0006398	DPOGS210425-PA	HMEL021570g1.t1
OG0006399	DPOGS201229-PA	HMEL005349g1.t1
OG0006400	DPOGS216067-PA	HMEL008926g1.t1
OG0006401	DPOGS210474-PA	HMEL016097g1.t1
OG0006402	DPOGS211975-PA	HMEL033856g1.t1
OG0006403	DPOGS216068-PA	HMEL036683g1.t1
OG0006404	DPOGS211976-PA	HMEL018052g1.t1
OG0006405	DPOGS216038-PA	HMEL036684g1.t1
OG0006406	DPOGS204383-PA	HMEL013078g1.t1
OG0006407	DPOGS211106-PA	HMEL012452g1.t1
OG0006408	DPOGS211847-PA	HMEL018051g1.t1
OG0006409	DPOGS215856-PA	HMEL031890g1.t1
OG0006410	DPOGS211845-PA	HMEL018048g1.t1
OG0006411	DPOGS211201-PA	HMEL012453g1.t1
OG0006412	DPOGS208579-PA	HMEL004933g1.t1
OG0006413	DPOGS213594-PA	HMEL007905g1.t1
OG0006414	DPOGS211979-PA	HMEL018046g1.t1
OG0006415	DPOGS204182-PA	HMEL010223g1.t1, HMEL009964g1.t1
OG0006416	DPOGS208580-PA	HMEL034809g1.t1
OG0006417	DPOGS213240-PA	HMEL032184g1.t1
OG0006418	DPOGS206187-PA	HMEL010683g1.t1
OG0006419	DPOGS216013-PA	HMEL018045g1.t1
OG0006420	DPOGS216069-PA	HMEL008930g1.t1
OG0006421	DPOGS213799-PA, DPOGS210194-PA	HMEL035092g1.t1
OG0006422	DPOGS206185-PA	HMEL010685g1.t1
OG0006423	DPOGS212526-PA	HMEL009341g1.t1
OG0006424	DPOGS211024-PA	HMEL022156g1.t1
OG0006425	DPOGS201762-PA	HMEL006698g1.t1
OG0006426	DPOGS201226-PA	HMEL005352g1.t1
OG0006427	DPOGS201761-PA	HMEL030862g1.t1
