Orthogroup	Danaus_plexippus	Heliconius_erato_lativitta
OG0004412	DPOGS207546-PA	HEL_010988-RA
OG0004413	DPOGS207829-PA, DPOGS207830-PA	HEL_012225-RA, HEL_012224-RA
OG0004414	DPOGS208902-PA	HEL_010605-RA
OG0004415	DPOGS207836-PA	HEL_012231-RA
OG0004417	DPOGS202596-PA	HEL_005475-RA
OG0004418	DPOGS208071-PA	HEL_001438-RA
OG0004419	DPOGS209054-PA	HEL_013460-RA
OG0004420	DPOGS210684-PA	HEL_012383-RA
OG0004421	DPOGS208069-PA	HEL_001440-RA
OG0004422	DPOGS208079-PA	HEL_001441-RA
OG0004423	DPOGS209537-PA	HEL_006837-RA
OG0004424	DPOGS211638-PA	HEL_000955-RA
OG0004425	DPOGS208068-PA	HEL_001442-RA
OG0004426	DPOGS206866-PA	HEL_008288-RA
OG0004428	DPOGS207070-PA	HEL_008287-RA
OG0004429	DPOGS209040-PA	HEL_013454-RA
OG0004431	DPOGS204248-PA	HEL_001323-RA
OG0004432	DPOGS203973-PA	HEL_007022-RA
OG0004433	DPOGS214340-PA	HEL_008181-RA
OG0004434	DPOGS212811-PA	HEL_003870-RA
OG0004435	DPOGS211633-PA, DPOGS211632-PA	HEL_000959-RA
OG0004436	DPOGS212873-PA	HEL_003873-RA
OG0004437	DPOGS210686-PA, DPOGS210687-PA	HEL_012381-RA
OG0004438	DPOGS213236-PA, DPOGS213235-PA	HEL_000339-RA
OG0004439	DPOGS212814-PA	HEL_003875-RA
OG0004440	DPOGS212815-PA	HEL_003878-RA, HEL_003877-RA
OG0004441	DPOGS214144-PA	HEL_003076-RA
OG0004442	DPOGS208376-PA	HEL_007156-RA
OG0004443	DPOGS200984-PA	HEL_013583-RA
OG0004444	DPOGS212816-PA	HEL_003882-RA
OG0004445	DPOGS214220-PA	HEL_003063-RA
OG0004446	DPOGS205873-PA, DPOGS205872-PA	HEL_005942-RA
OG0004447	DPOGS201024-PA	HEL_013582-RA
OG0004448	DPOGS209895-PA	HEL_011524-RA
OG0004449	DPOGS214152-PA	HEL_003060-RA
OG0004452	DPOGS208963-PA	HEL_010622-RA
OG0004453	DPOGS214254-PA	HEL_003109-RA, HEL_003112-RA
OG0004454	DPOGS205881-PA, DPOGS205251-PA	HEL_005936-RA
OG0004455	DPOGS213828-PA	HEL_005467-RA
OG0004456	DPOGS212864-PA	HEL_003885-RA
OG0004457	DPOGS211658-PA	HEL_000972-RA, HEL_000971-RA
OG0004458	DPOGS200986-PA	HEL_013566-RA
OG0004459	DPOGS208965-PA	HEL_010626-RA
OG0004460	DPOGS213826-PA, DPOGS213827-PA	HEL_005466-RA
OG0004461	DPOGS209902-PA	HEL_008113-RA, HEL_008112-RA
OG0004462	DPOGS204290-PA	HEL_001308-RA, HEL_001309-RA
OG0004463	DPOGS211903-PA	HEL_004387-RA
OG0004464	DPOGS204264-PA	HEL_001307-RA
OG0004465	DPOGS209905-PA	HEL_008123-RA, HEL_008122-RA
OG0004466	DPOGS205764-PA	HEL_010984-RA
OG0004467	DPOGS211910-PA	HEL_004403-RA
OG0004468	DPOGS202636-PA	HEL_012456-RA
OG0004469	DPOGS207713-PA	HEL_012586-RA, HEL_012587-RA
OG0004470	DPOGS213841-PA	HEL_005465-RA
OG0004472	DPOGS204284-PA	HEL_001299-RA, HEL_001298-RA
OG0004473	DPOGS206936-PA	HEL_013383-RA
OG0004474	DPOGS201485-PA	HEL_006801-RA
OG0004475	DPOGS211912-PA	HEL_004407-RA
OG0004476	DPOGS213824-PA	HEL_005463-RA
OG0004477	DPOGS204003-PA	HEL_005918-RA
OG0004478	DPOGS202367-PA, DPOGS202366-PA	HEL_014423-RA
OG0004479	DPOGS201013-PA	HEL_012000-RA
OG0004480	DPOGS212825-PA	HEL_003908-RA
OG0004481	DPOGS204859-PA	HEL_001012-RA
OG0004482	DPOGS200999-PA	HEL_012006-RA
OG0004483	DPOGS212827-PA	HEL_003914-RA
OG0004484	DPOGS203950-PA	HEL_007040-RA
OG0004486	DPOGS201480-PA	HEL_006814-RA
OG0004487	DPOGS201476-PA	HEL_006815-RA
OG0004488	DPOGS201008-PA	HEL_012008-RA
OG0004489	DPOGS201006-PA	HEL_012018-RA
OG0004490	DPOGS212830-PA	HEL_003919-RA
OG0004491	DPOGS205501-PA	HEL_005905-RA
OG0004492	DPOGS213630-PA	HEL_000947-RA
OG0004493	DPOGS205502-PA	HEL_005903-RA
OG0004494	DPOGS206934-PA	HEL_013369-RA, HEL_013370-RA
OG0004495	DPOGS205534-PA, DPOGS205533-PA	HEL_005902-RA
OG0004496	DPOGS215411-PA	HEL_007211-RA, HEL_007212-RA
OG0004497	DPOGS213306-PA	HEL_013436-RA
OG0004498	DPOGS208928-PA	HEL_010656-RA
OG0004499	DPOGS211621-PA	HEL_008609-RA, HEL_008608-RA
OG0004501	DPOGS212387-PA	HEL_009777-RA
OG0004502	DPOGS212388-PA	HEL_009776-RA, HEL_001054-RA
OG0004503	DPOGS206933-PA	HEL_013366-RA
OG0004505	DPOGS207649-PA	HEL_006257-RA
OG0004506	DPOGS207666-PA	HEL_006256-RA
OG0004507	DPOGS204280-PA	HEL_001287-RA, HEL_001282-RA
OG0004508	DPOGS202691-PA	HEL_003795-RA
OG0004509	DPOGS204279-PA	HEL_001280-RA
OG0004510	DPOGS202701-PA	HEL_003798-RA, HEL_003797-RA
OG0004511	DPOGS210564-PA, DPOGS207857-PA	HEL_012610-RA
OG0004512	DPOGS214112-PA	HEL_003148-RA
OG0004513	DPOGS206927-PA	HEL_014169-RA
OG0004514	DPOGS200317-PA	HEL_014611-RA, HEL_013431-RA
OG0004515	DPOGS207010-PA	HEL_014172-RA, HEL_014171-RA
OG0004516	DPOGS207860-PA	HEL_012620-RA
OG0004517	DPOGS214111-PA	HEL_003152-RA, HEL_003150-RA
OG0004518	DPOGS204274-PA	HEL_001275-RA, HEL_001276-RA
OG0004519	DPOGS211414-PA	HEL_000076-RA, HEL_000075-RA
OG0004520	DPOGS200318-PA	HEL_013429-RA, HEL_014609-RA
OG0004521	DPOGS206925-PA	HEL_014176-RA
OG0004523	DPOGS212557-PA	HEL_007047-RA
OG0004524	DPOGS202101-PA	HEL_011590-RA
OG0004525	DPOGS207859-PA	HEL_012615-RA
OG0004526	DPOGS214107-PA	HEL_003160-RA
OG0004527	DPOGS207700-PA	HEL_012614-RA
OG0004528	DPOGS210734-PA	HEL_014269-RA, HEL_014268-RA
OG0004529	DPOGS200308-PA	HEL_013426-RA
OG0004530	DPOGS210732-PA	HEL_014284-RA, HEL_014283-RA
OG0004531	DPOGS205511-PA	HEL_005893-RA
OG0004532	DPOGS202354-PA	HEL_012958-RA
OG0004533	DPOGS211620-PA	HEL_008613-RA
OG0004534	DPOGS202356-PA	HEL_012955-RA, HEL_012956-RA
OG0004535	DPOGS215418-PA	HEL_007196-RA
OG0004536	DPOGS202821-PA, DPOGS212000-PA	HEL_014126-RA
OG0004538	DPOGS201931-PA, DPOGS201930-PA	HEL_002937-RA
OG0004539	DPOGS212560-PA	HEL_007052-RA, HEL_007051-RA
OG0004540	DPOGS210722-PA	HEL_014289-RA
OG0004541	DPOGS202803-PA	HEL_014132-RA, HEL_014133-RA
OG0004542	DPOGS200817-PA	HEL_012626-RA
OG0004543	DPOGS202361-PA	HEL_012946-RA
OG0004544	DPOGS213959-PA	HEL_001267-RA
OG0004545	DPOGS213935-PA	HEL_001266-RA
OG0004546	DPOGS210306-PA	HEL_012940-RA
OG0004547	DPOGS205516-PA	HEL_005887-RA
OG0004548	DPOGS202363-PA	HEL_012942-RA
OG0004549	DPOGS213957-PA	HEL_001264-RA
OG0004550	DPOGS205518-PA	HEL_005884-RA
OG0004551	DPOGS202129-PA, DPOGS202130-PA	HEL_011597-RA
OG0004552	DPOGS202094-PA	HEL_011598-RA
OG0004553	DPOGS207014-PA	HEL_014184-RA, HEL_014181-RA, HEL_014182-RA
OG0004556	DPOGS212396-PA, DPOGS212395-PA	HEL_009763-RA
OG0004557	DPOGS205831-PA	HEL_000106-RA, HEL_000105-RA
OG0004558	DPOGS200122-PA	HEL_010682-RA
OG0004559	DPOGS214287-PA	HEL_003164-RA
OG0004560	DPOGS202917-PA, DPOGS202916-PA	HEL_008139-RA
OG0004561	DPOGS202915-PA	HEL_008141-RA
OG0004562	DPOGS200302-PA	HEL_011517-RA, HEL_011518-RA
OG0004563	DPOGS202494-PA	HEL_005926-RA
OG0004564	DPOGS213954-PA	HEL_001260-RA
OG0004565	DPOGS212572-PA	HEL_007058-RA
OG0004566	DPOGS202914-PA	HEL_008145-RA
OG0004567	DPOGS203493-PA, DPOGS203494-PA	HEL_008659-RA
OG0004568	DPOGS202806-PA	HEL_014139-RA, HEL_014137-RA
OG0004569	DPOGS202911-PA	HEL_008148-RA
OG0004570	DPOGS203399-PA	HEL_007076-RA
OG0004571	DPOGS202807-PA	HEL_014144-RA
OG0004572	DPOGS200305-PA	HEL_011514-RA
OG0004573	DPOGS214911-PA	HEL_012933-RA
OG0004576	DPOGS213436-PA	HEL_007401-RA
OG0004577	DPOGS203487-PA	HEL_008644-RA
OG0004579	DPOGS206916-PA	HEL_008251-RA
OG0004580	DPOGS212383-PA	HEL_009823-RA
OG0004581	DPOGS208720-PA, DPOGS208721-PA	HEL_001249-RA
OG0004582	DPOGS203397-PA	HEL_007073-RA
OG0004583	DPOGS208722-PA	HEL_001248-RA
OG0004584	DPOGS200178-PA	HEL_011618-RA
OG0004585	DPOGS214093-PA	HEL_003173-RA
OG0004586	DPOGS207661-PA	HEL_006199-RA
OG0004587	DPOGS203317-PA	HEL_007071-RA
OG0004588	DPOGS202782-PA	HEL_006202-RA
OG0004589	DPOGS208726-PA	HEL_001242-RA
OG0004591	DPOGS202784-PA	HEL_006206-RA
OG0004594	DPOGS209563-PA	HEL_007273-RA, HEL_007279-RA, HEL_007277-RA
OG0004595	DPOGS215273-PA	HEL_012033-RA
OG0004596	DPOGS202833-PA	HEL_006215-RA
OG0004597	DPOGS200831-PA	HEL_011928-RA
OG0004598	DPOGS200341-PA	HEL_011493-RA
OG0004599	DPOGS200294-PA	HEL_011492-RA
OG0004600	DPOGS200599-PA	HEL_005438-RA
OG0004602	DPOGS200600-PA	HEL_005439-RA
OG0004603	DPOGS200833-PA	HEL_011933-RA
OG0004604	DPOGS200638-PA, DPOGS200639-PA	HEL_005441-RA
OG0004606	DPOGS205572-PA	HEL_010302-RA
OG0004607	DPOGS209927-PA	HEL_000130-RA, HEL_000131-RA
OG0004608	DPOGS215278-PA	HEL_012025-RA
OG0004609	DPOGS207619-PA	HEL_003189-RA
OG0004610	DPOGS210595-PA	HEL_006625-RA, HEL_006623-RA
OG0004611	DPOGS200352-PA	HEL_011473-RA
OG0004612	DPOGS208707-PA	HEL_001230-RA
OG0004613	DPOGS207071-PA	HEL_008292-RA, HEL_008290-RA
OG0004614	DPOGS202832-PA	HEL_006223-RA, HEL_006222-RA
OG0004615	DPOGS215394-PA	HEL_007275-RA
OG0004616	DPOGS207639-PA, DPOGS207640-PA	HEL_003192-RA
OG0004617	DPOGS203005-PA	HEL_010416-RA
OG0004618	DPOGS207687-PA, DPOGS207688-PA	HEL_005868-RA
OG0004619	DPOGS208705-PA	HEL_001226-RA
OG0004620	DPOGS200173-PA	HEL_011623-RA
OG0004621	DPOGS200357-PA	HEL_011463-RA, HEL_011462-RA
OG0004622	DPOGS205571-PA	HEL_010305-RA
OG0004623	DPOGS200714-PA	HEL_004414-RA
OG0004624	DPOGS202827-PA, DPOGS203890-PA	HEL_006237-RA
OG0004625	DPOGS200137-PA	HEL_011627-RA, HEL_011626-RA
OG0004626	DPOGS200747-PA	HEL_004417-RA
OG0004627	DPOGS208163-PA	HEL_008566-RA
OG0004628	DPOGS200716-PA, DPOGS209331-PA	HEL_004418-RA
OG0004630	DPOGS200717-PA	HEL_004420-RA
OG0004631	DPOGS205556-PA	HEL_010306-RA
OG0004632	DPOGS200718-PA	HEL_004421-RA
OG0004633	DPOGS208321-PA	HEL_012892-RA, HEL_012891-RA
OG0004634	DPOGS204752-PA	HEL_010046-RA
OG0004635	DPOGS208742-PA	HEL_001210-RA, HEL_001211-RA
OG0004636	DPOGS200632-PA, DPOGS200633-PA	HEL_005446-RA
OG0004637	DPOGS200631-PA	HEL_005448-RA
OG0004638	DPOGS202235-PA	HEL_006643-RA
OG0004639	DPOGS212374-PA	HEL_009840-RA, HEL_009839-RA
OG0004640	DPOGS208165-PA	HEL_008564-RA
OG0004641	DPOGS200606-PA	HEL_005450-RA
OG0004643	DPOGS204755-PA	HEL_010043-RA
OG0004644	DPOGS202187-PA	HEL_006645-RA
OG0004646	DPOGS202385-PA	HEL_013072-RA
OG0004648	DPOGS202188-PA	HEL_006647-RA
OG0004649	DPOGS200359-PA	HEL_011460-RA
OG0004651	DPOGS200848-PA	HEL_011959-RA
OG0004652	DPOGS202990-PA	HEL_010403-RA
OG0004653	DPOGS208692-PA	HEL_001202-RA
OG0004654	DPOGS207636-PA	HEL_003209-RA
OG0004655	DPOGS200737-PA	HEL_004434-RA
OG0004656	DPOGS211038-PA	HEL_005456-RA
OG0004657	DPOGS214891-PA	HEL_000148-RA
OG0004658	DPOGS200363-PA	HEL_011455-RA, HEL_011454-RA
OG0004659	DPOGS208159-PA	HEL_008562-RA, HEL_008563-RA
OG0004660	DPOGS212889-PA, DPOGS200736-PA	HEL_004436-RA
OG0004661	DPOGS200279-PA	HEL_011450-RA
OG0004662	DPOGS208158-PA	HEL_008561-RA
OG0004663	DPOGS208686-PA	HEL_001191-RA
OG0004664	DPOGS200366-PA	HEL_011444-RA
OG0004665	DPOGS206636-PA	HEL_012266-RA
OG0004666	DPOGS207085-PA	HEL_008321-RA
OG0004669	DPOGS206861-PA	HEL_008322-RA
OG0004670	DPOGS200021-PA	HEL_007282-RA
OG0004671	DPOGS215069-PA	HEL_011438-RA, HEL_011441-RA
OG0004672	DPOGS208753-PA, DPOGS208754-PA	HEL_001187-RA
OG0004673	DPOGS208152-PA, DPOGS208386-PA	HEL_008547-RA
OG0004674	DPOGS215035-PA	HEL_011434-RA, HEL_011433-RA, HEL_011435-RA
OG0004675	DPOGS208156-PA	HEL_008545-RA
OG0004676	DPOGS215066-PA	HEL_011424-RA, HEL_011423-RA
OG0004677	DPOGS215041-PA	HEL_011421-RA
OG0004678	DPOGS206857-PA	HEL_008329-RA
OG0004679	DPOGS202224-PA	HEL_006655-RA
OG0004680	DPOGS202199-PA	HEL_006658-RA
OG0004681	DPOGS207092-PA	HEL_008330-RA
OG0004683	DPOGS210210-PA	HEL_010323-RA
OG0004684	DPOGS212360-PA	HEL_014599-RA, HEL_014600-RA
OG0004685	DPOGS202766-PA	HEL_009590-RA
OG0004686	DPOGS206854-PA	HEL_008335-RA
OG0004687	DPOGS202858-PA	HEL_009589-RA
OG0004688	DPOGS212359-PA	HEL_014601-RA, HEL_014602-RA
OG0004689	DPOGS215061-PA	HEL_011416-RA
OG0004690	DPOGS211558-PA, DPOGS211559-PA	HEL_008537-RA
OG0004691	DPOGS202222-PA	HEL_006661-RA
OG0004692	DPOGS202194-PA	HEL_006663-RA
OG0004693	DPOGS211831-PA	HEL_003225-RA
OG0004694	DPOGS202223-PA	HEL_006664-RA
OG0004695	DPOGS205614-PA	HEL_004450-RA, HEL_004451-RA
OG0004696	DPOGS202220-PA	HEL_006668-RA
OG0004697	DPOGS202201-PA	HEL_006670-RA, HEL_006669-RA
OG0004699	DPOGS210246-PA	HEL_010342-RA, HEL_010341-RA
OG0004700	DPOGS211377-PA	HEL_000157-RA, HEL_000156-RA
OG0004701	DPOGS215059-PA	HEL_011414-RA, HEL_001957-RA
OG0004702	DPOGS202205-PA	HEL_006676-RA
OG0004704	DPOGS202216-PA	HEL_006677-RA
OG0004705	DPOGS212721-PA, DPOGS205617-PA	HEL_004453-RA
OG0004706	DPOGS211807-PA	HEL_003227-RA
OG0004707	DPOGS205694-PA	HEL_011980-RA
OG0004708	DPOGS205710-PA	HEL_011982-RA
OG0004709	DPOGS210218-PA	HEL_010351-RA
OG0004710	DPOGS210243-PA	HEL_010352-RA
OG0004711	DPOGS205676-PA	HEL_004460-RA
OG0004713	DPOGS206843-PA	HEL_008348-RA
OG0004714	DPOGS202180-PA	HEL_001168-RA
OG0004715	DPOGS202982-PA	HEL_010392-RA
OG0004716	DPOGS212916-PA	HEL_008510-RA
OG0004717	DPOGS212911-PA, DPOGS212913-PA	HEL_008509-RA
OG0004718	DPOGS201405-PA	HEL_006691-RA
OG0004720	DPOGS202464-PA	HEL_000192-RA, HEL_000193-RA
OG0004721	DPOGS203031-PA	HEL_010390-RA
OG0004722	DPOGS202981-PA	HEL_010389-RA
OG0004723	DPOGS205673-PA	HEL_004462-RA
OG0004724	DPOGS215053-PA	HEL_012860-RA
OG0004725	DPOGS201546-PA	HEL_006693-RA
OG0004726	DPOGS201408-PA	HEL_006701-RA
OG0004727	DPOGS201410-PA	HEL_006704-RA, HEL_006705-RA
OG0004730	DPOGS201838-PA	HEL_003315-RA
OG0004731	DPOGS201896-PA	HEL_003313-RA
OG0004732	DPOGS206816-PA	HEL_008425-RA
OG0004733	DPOGS202167-PA	HEL_001145-RA
OG0004734	DPOGS201415-PA	HEL_006711-RA
OG0004737	DPOGS206818-PA	HEL_008421-RA
OG0004738	DPOGS203021-PA	HEL_010400-RA
OG0004740	DPOGS207133-PA	HEL_008412-RA
OG0004741	DPOGS212439-PA	HEL_011665-RA
OG0004742	DPOGS201884-PA	HEL_003303-RA
OG0004743	DPOGS202413-PA	HEL_013119-RA
OG0004744	DPOGS202414-PA	HEL_013114-RA
OG0004745	DPOGS212447-PA	HEL_011655-RA
OG0004746	DPOGS201848-PA, DPOGS201850-PA	HEL_003297-RA
OG0004747	DPOGS201878-PA, DPOGS201879-PA	HEL_003296-RA
OG0004748	DPOGS212403-PA	HEL_011652-RA
OG0004749	DPOGS201851-PA, DPOGS201849-PA	HEL_003295-RA
OG0004750	DPOGS212451-PA, DPOGS212450-PA	HEL_011650-RA, HEL_011651-RA
OG0004751	DPOGS205841-PA	HEL_000207-RA, HEL_000211-RA
OG0004752	DPOGS201873-PA	HEL_003288-RA, HEL_003287-RA
OG0004753	DPOGS202401-PA	HEL_013110-RA
OG0004754	DPOGS209367-PA	HEL_012819-RA
OG0004755	DPOGS207121-PA	HEL_008396-RA
OG0004756	DPOGS209368-PA	HEL_012820-RA
OG0004757	DPOGS206830-PA	HEL_008394-RA, HEL_008395-RA
OG0004758	DPOGS209369-PA	HEL_012823-RA
OG0004759	DPOGS206835-PA	HEL_008384-RA
OG0004760	DPOGS201859-PA	HEL_003271-RA, HEL_003270-RA
OG0004761	DPOGS207116-PA	HEL_008382-RA, HEL_008381-RA, HEL_008383-RA, HEL_008380-RA
OG0004762	DPOGS201864-PA	HEL_003269-RA, HEL_003268-RA
OG0004763	DPOGS201532-PA	HEL_006735-RA
OG0004764	DPOGS207112-PA	HEL_008370-RA
OG0004765	DPOGS201861-PA	HEL_003265-RA
OG0004766	DPOGS201565-PA	HEL_003264-RA
OG0004768	DPOGS201526-PA	HEL_006739-RA
OG0004769	DPOGS201555-PA	HEL_003251-RA
OG0004770	DPOGS201570-PA, DPOGS201571-PA	HEL_003245-RA
OG0004771	DPOGS200167-PA	HEL_011636-RA
OG0004772	DPOGS206516-PA, DPOGS214831-PA	HEL_008459-RA
OG0004773	DPOGS206515-PA	HEL_008458-RA, HEL_008457-RA
OG0004774	DPOGS205646-PA, DPOGS205645-PA	HEL_004518-RA
OG0004775	DPOGS208369-PA	HEL_007157-RA
OG0004776	DPOGS212653-PA	HEL_008443-RA, HEL_008444-RA
OG0004777	DPOGS212456-PA, DPOGS212457-PA	HEL_013420-RA
OG0004778	DPOGS208375-PA, DPOGS208374-PA	HEL_007158-RA
OG0004779	DPOGS212647-PA	HEL_008438-RA, HEL_008439-RA, HEL_008440-RA, HEL_008437-RA
OG0004780	DPOGS211803-PA	HEL_003229-RA, HEL_003230-RA, HEL_003231-RA
OG0004782	DPOGS203414-PA	HEL_007111-RA
OG0004783	DPOGS203410-PA	HEL_007119-RA
OG0004784	DPOGS203409-PA	HEL_007106-RA
OG0004785	DPOGS203406-PA	HEL_007101-RA
OG0004786	DPOGS201444-PA	HEL_006772-RA, HEL_006773-RA
OG0004787	DPOGS201764-PA	HEL_002927-RA, HEL_002925-RA
OG0004788	DPOGS203304-PA	HEL_007093-RA
OG0004789	DPOGS203402-PA	HEL_007092-RA
OG0004790	DPOGS203306-PA	HEL_007091-RA
OG0004791	DPOGS203401-PA	HEL_007090-RA, HEL_007089-RA
OG0004792	DPOGS214085-PA	HEL_003560-RA
OG0004793	DPOGS208089-PA	HEL_004671-RA
OG0004794	DPOGS203075-PA	HEL_001454-RA
OG0004796	DPOGS208091-PA, DPOGS214879-PA	HEL_012968-RA, HEL_012969-RA
OG0004797	DPOGS204646-PA, DPOGS204645-PA	HEL_006607-RA
OG0004798	DPOGS209096-PA	HEL_011386-RA
OG0004799	DPOGS206958-PA	HEL_008259-RA
OG0004799	DPOGS203474-PA	HEL_001273-RA
OG0004800	DPOGS215936-PA	HEL_006510-RA
OG0004803	DPOGS205525-PA	HEL_005885-RA
OG0004804	DPOGS206012-PA	HEL_012771-RA
OG0004805	DPOGS211454-PA	HEL_013402-RA
OG0004806	DPOGS200025-PA	HEL_007252-RA, HEL_007250-RA
OG0004807	DPOGS201470-PA	HEL_006806-RA
OG0004808	DPOGS204724-PA	HEL_008912-RA, HEL_008909-RA, HEL_008908-RA, HEL_008913-RA
OG0004809	DPOGS205715-PA, DPOGS205716-PA	HEL_011993-RA
OG0004812	DPOGS201996-PA	HEL_006299-RA
OG0004813	DPOGS207865-PA	HEL_012307-RA, HEL_012309-RA, HEL_012308-RA
OG0004814	DPOGS200169-PA	HEL_011633-RA
OG0004815	DPOGS205626-PA	HEL_004477-RA
OG0004816	DPOGS209595-PA	HEL_010510-RA
OG0004817	DPOGS200115-PA	HEL_005398-RA
OG0004818	DPOGS203598-PA	HEL_007415-RA
OG0004819	DPOGS202023-PA	HEL_006114-RA
OG0004820	DPOGS213744-PA	HEL_000434-RA
OG0004820	DPOGS213745-PA	HEL_000433-RA
OG0004821	DPOGS215959-PA	HEL_014158-RA
OG0004822	DPOGS205618-PA	HEL_004455-RA
OG0004824	DPOGS207837-PA	HEL_012232-RA
OG0004825	DPOGS207838-PA	HEL_012235-RA, HEL_012234-RA
OG0004826	DPOGS206613-PA	HEL_013753-RA, HEL_013752-RA
OG0004827	DPOGS210115-PA	HEL_007657-RA, HEL_007658-RA
OG0004828	DPOGS204500-PA	HEL_001564-RA
OG0004829	DPOGS203706-PA	HEL_002743-RA
OG0004830	DPOGS214777-PA, DPOGS214776-PA	HEL_007370-RA
OG0004831	DPOGS214267-PA	HEL_003136-RA
OG0004832	DPOGS214284-PA	HEL_003159-RA
OG0004849	DPOGS215555-PA	HEL_011824-RA
OG0004850	DPOGS213294-PA	HEL_000835-RA
OG0004851	DPOGS207168-PA	HEL_013234-RA
OG0004852	DPOGS216113-PA	HEL_000445-RA
OG0004853	DPOGS215535-PA	HEL_011823-RA
OG0004854	DPOGS204983-PA	HEL_001908-RA, HEL_001913-RA
OG0004855	DPOGS213886-PA	HEL_010477-RA
OG0004856	DPOGS216111-PA	HEL_000446-RA
OG0004859	DPOGS203140-PA	HEL_005363-RA
OG0004860	DPOGS204994-PA	HEL_001907-RA, HEL_001912-RA
OG0004861	DPOGS213654-PA	HEL_005367-RA
OG0004862	DPOGS204993-PA	HEL_001910-RA
OG0004863	DPOGS203379-PA	HEL_010471-RA
OG0004864	DPOGS211476-PA	HEL_007725-RA
OG0004865	DPOGS206769-PA	HEL_011850-RA
OG0004866	DPOGS208034-PA	HEL_007348-RA
OG0004867	DPOGS214973-PA	HEL_004079-RA
OG0004868	DPOGS211052-PA	HEL_002224-RA
OG0004869	DPOGS204992-PA	HEL_001901-RA
OG0004871	DPOGS213159-PA	HEL_001694-RA
OG0004872	DPOGS208035-PA	HEL_007347-RA
OG0004873	DPOGS213635-PA	HEL_005369-RA
OG0004874	DPOGS210114-PA	HEL_007656-RA
OG0004875	DPOGS203137-PA	HEL_005358-RA
OG0004876	DPOGS213188-PA	HEL_012501-RA, HEL_012503-RA
OG0004877	DPOGS203528-PA	HEL_003425-RA
OG0004878	DPOGS203325-PA	HEL_004481-RA
OG0004879	DPOGS208038-PA	HEL_007339-RA
OG0004880	DPOGS211497-PA	HEL_004165-RA
OG0004881	DPOGS212595-PA	HEL_008065-RA
OG0004883	DPOGS208223-PA	HEL_011009-RA
OG0004884	DPOGS208031-PA	HEL_007338-RA
OG0004885	DPOGS203229-PA	HEL_005356-RA
OG0004886	DPOGS211041-PA	HEL_002228-RA
OG0004887	DPOGS210041-PA	HEL_007654-RA
OG0004888	DPOGS213191-PA	HEL_012505-RA
OG0004889	DPOGS208041-PA	HEL_007334-RA
OG0004890	DPOGS209781-PA	HEL_007746-RA
OG0004891	DPOGS206362-PA	HEL_003494-RA
OG0004892	DPOGS212605-PA	HEL_008067-RA
OG0004894	DPOGS211772-PA	HEL_014066-RA
OG0004895	DPOGS213182-PA	HEL_012508-RA
OG0004896	DPOGS206781-PA	HEL_009697-RA
OG0004897	DPOGS210344-PA	HEL_000692-RA
OG0004898	DPOGS213889-PA	HEL_010481-RA
OG0004899	DPOGS210110-PA	HEL_007642-RA
OG0004900	DPOGS208296-PA	HEL_011016-RA
OG0004901	DPOGS210801-PA	HEL_009464-RA
OG0004902	DPOGS209194-PA	HEL_005349-RA
OG0004904	DPOGS216080-PA	HEL_003488-RA
OG0004905	DPOGS214700-PA, DPOGS214701-PA	HEL_005076-RA
OG0004906	DPOGS204091-PA	HEL_012679-RA
OG0004907	DPOGS213632-PA	HEL_002188-RA
OG0004908	DPOGS207191-PA	HEL_009687-RA
OG0004909	DPOGS212604-PA	HEL_008071-RA
OG0004910	DPOGS212498-PA	HEL_001892-RA
OG0004911	DPOGS212485-PA	HEL_001891-RA
OG0004912	DPOGS208227-PA	HEL_011018-RA
OG0004913	DPOGS213631-PA	HEL_002189-RA
OG0004914	DPOGS213502-PA	HEL_002190-RA
OG0004915	DPOGS208295-PA	HEL_011019-RA
OG0004916	DPOGS210108-PA	HEL_007637-RA
OG0004917	DPOGS200464-PA	HEL_012682-RA
OG0004918	DPOGS210804-PA	HEL_009468-RA
OG0004919	DPOGS200451-PA	HEL_012684-RA
OG0004920	DPOGS210864-PA	HEL_009469-RA
OG0004921	DPOGS210045-PA	HEL_007636-RA
OG0004922	DPOGS210046-PA	HEL_007635-RA
OG0004923	DPOGS213200-PA	HEL_012509-RA
OG0004925	DPOGS212488-PA	HEL_001878-RA
OG0004926	DPOGS211775-PA	HEL_014065-RA
OG0004927	DPOGS202956-PA	HEL_006979-RA
OG0004928	DPOGS208043-PA	HEL_007325-RA
OG0004929	DPOGS212494-PA	HEL_001877-RA
OG0004930	DPOGS211784-PA	HEL_014064-RA
OG0004931	DPOGS211776-PA	HEL_014063-RA
OG0004932	DPOGS215143-PA	HEL_013003-RA
OG0004933	DPOGS200449-PA	HEL_012689-RA
OG0004934	DPOGS209857-PA	HEL_009296-RA
OG0004935	DPOGS209195-PA	HEL_005342-RA
OG0004936	DPOGS211783-PA	HEL_014062-RA
OG0004937	DPOGS210398-PA	HEL_008958-RA
OG0004938	DPOGS200467-PA	HEL_012690-RA
OG0004939	DPOGS201038-PA	HEL_007745-RA
OG0004940	DPOGS213368-PA	HEL_003413-RA
OG0004941	DPOGS213928-PA	HEL_005371-RA
OG0004942	DPOGS210356-PA	HEL_000693-RA
OG0004943	DPOGS213230-PA	HEL_009293-RA
OG0004944	DPOGS210862-PA	HEL_009471-RA
